KPN_04245	STM4119
KPN_00838	STM2351
KPN_00838	STM0828
KPN_01927	STM1226
KPN_01927	STM0878
KPN_01927	STM0428
KPN_00840	STM0830
KPN_04190	STM1570
KPN_04190	STM4037
KPN_01912	STM0661
KPN_01906	STM0150
KPN_01906	STM4398
KPN_01906	STM0568
KPN_01906	STM1584
KPN_00817	STM0812
KPN_04189	STM1569
KPN_04189	STM4036
KPN_04188	STM1568
KPN_04188	STM4035
KPN_00800	STM0794
KPN_00801	STM0795
KPN_00803	STM1489
KPN_00803	STM0797
KPN_04178	STM4007
KPN_04170	STM3997
KPN_04175	STM4004
KPN_03909	STM3644
KPN_02812	STM2489
KPN_03904	STM3635
KPN_00880	STM0872
KPN_02820	STM2497
KPN_02821	STM2498
KPN_00885	STM0877
KPN_01974	STM1450
KPN_00864	STM0850
KPN_00865	STM0851
KPN_00865	STM3628
KPN_02801	STM2477
KPN_02805	STM2483
KPN_00869	STM0861
KPN_01958	STM1463
KPN_00871	STM0863
KPN_00871	STM2062
KPN_00871	STM0637
KPN_00873	STM0865
KPN_00632	STM3334
KPN_02810	STM2487
KPN_00874	STM0866
KPN_00611	STM0595
KPN_00612	STM0596
KPN_00613	STM0597
KPN_00856	STM0840
KPN_00856	STM0842
KPN_00614	STM0598
KPN_00861	STM0847
KPN_00862	STM0848
KPN_01952	STM1627
KPN_00863	STM0849
KPN_00608	STM0592
KPN_00609	STM0593
KPN_00842	STM0832
KPN_00601	STM0584
KPN_00602	STM0585
KPN_00602	STM2777
KPN_00603	STM0586
KPN_00605	STM0588
KPN_00606	STM0590
KPN_00606	STM0192
KPN_00607	STM0591
KPN_00610	STM0594
