KPN_04245	b3956
KPN_01906	b0112
KPN_01906	b1453
KPN_00817	b0789
KPN_04189	b3893
KPN_04189	b1475
KPN_04188	b1476
KPN_04188	b3892
KPN_00800	b0775
KPN_00801	b0776
KPN_00803	b0778
KPN_04178	b3870
KPN_04170	b3860
KPN_04175	b3867
KPN_03909	b1872
KPN_03909	b3551
KPN_02812	b2478
KPN_02814	b2480
KPN_03904	b3546
KPN_00880	b0849
KPN_02820	b2497
KPN_02821	b2498
KPN_00885	b0854
KPN_01974	b1636
KPN_00864	b0831
KPN_00865	b0832
KPN_00865	b3478
KPN_00865	b3542
KPN_02801	b2467
KPN_02805	b2472
KPN_00869	b0837
KPN_01958	b1623
KPN_00871	b2010
KPN_00871	b0839
KPN_00871	b0632
KPN_00873	b0841
KPN_00632	b0337
KPN_02810	b2476
KPN_00874	b0842
KPN_00874	b4337
KPN_00611	b0593
KPN_01700	b4085
KPN_00612	b0594
KPN_00613	b0595
KPN_00856	b0822
KPN_00856	b0844
KPN_00614	b0596
KPN_00861	b0828
KPN_00862	b0829
KPN_00862	b1483
KPN_01952	b0356
KPN_00863	b0830
KPN_00608	b0590
KPN_00609	b0591
KPN_00842	b0813
KPN_00601	b0583
KPN_00602	b0584
KPN_00603	b0585
KPN_00605	b0586
KPN_00606	b4287
KPN_00606	b0151
KPN_00606	b0588
KPN_00607	b0589
KPN_00610	b0592
