Orthogroup	BA7	BDBR229	CFB2957	GMI1000_2	K60	MOLK2	GMI1000	PSI07	PSS4	R24	RUN2340	UW551
OG0003346	RSBA7_04436		RSCFB2957_03818, RSCFB2957_04995	RSGMI1000_00876	RSK60_02009	RSMOLK2_04366	RSc0857	RSPSI07_00225	RSPSS4_00879	RSR24_03284	RSRUN2340_02361, RSRUN2340_03322	
OG0003345	RSBA7_04435		RSCFB2957_03819, RSCFB2957_04996	RSGMI1000_00877	RSK60_02010	RSMOLK2_04365	RSc0858	RSPSI07_00226	RSPSS4_00880	RSR24_03283	RSRUN2340_02360, RSRUN2340_03321	
OG0003344	RSBA7_04434		RSCFB2957_03820, RSCFB2957_04997	RSGMI1000_00878	RSK60_02011	RSMOLK2_04364	RSc0859	RSPSI07_00227	RSPSS4_00881	RSR24_03282	RSRUN2340_02359, RSRUN2340_03320	
OG0003343	RSBA7_04433		RSCFB2957_03821, RSCFB2957_04998	RSGMI1000_00879	RSK60_02012	RSMOLK2_04363	RSc0860	RSPSI07_00228	RSPSS4_00882	RSR24_03281	RSRUN2340_02358, RSRUN2340_03319	
OG0003342	RSBA7_04432		RSCFB2957_03822, RSCFB2957_04999	RSGMI1000_00880	RSK60_02013	RSMOLK2_04362	RSc0861	RSPSI07_00229	RSPSS4_00883	RSR24_03280	RSRUN2340_02357, RSRUN2340_03318	
OG0003341	RSBA7_04431		RSCFB2957_03823, RSCFB2957_05000	RSGMI1000_00881	RSK60_02014	RSMOLK2_04361	RSc0862	RSPSI07_00230	RSPSS4_00884	RSR24_03279	RSRUN2340_02356, RSRUN2340_03317	
OG0003340	RSBA7_04430		RSCFB2957_03824, RSCFB2957_05001	RSGMI1000_00882	RSK60_02018	RSMOLK2_04360	RSc0863	RSPSI07_00231	RSPSS4_00885	RSR24_03278	RSRUN2340_02355, RSRUN2340_03316	
OG0003339	RSBA7_04429		RSCFB2957_03825, RSCFB2957_05002	RSGMI1000_00883	RSK60_02019	RSMOLK2_04359	RSc0864	RSPSI07_00232	RSPSS4_00886	RSR24_03277	RSRUN2340_02354, RSRUN2340_03315	
OG0004223				RSGMI1000_00884	RSK60_02020	RSMOLK2_04358	RSc0865	RSPSI07_00233	RSPSS4_00887	RSR24_03276	RSRUN2340_03314	
OG0003338	RSBA7_04428		RSCFB2957_03826, RSCFB2957_05003	RSGMI1000_00885	RSK60_02021	RSMOLK2_04357	RSc0866	RSPSI07_00234	RSPSS4_00888	RSR24_03275	RSRUN2340_02353, RSRUN2340_03313	
OG0000013	RSBA7_03161, RSBA7_04424, RSBA7_04427, RSBA7_04473, RSBA7_04731	RSBDBR229_03363	RSCFB2957_02326, RSCFB2957_03257, RSCFB2957_03542, RSCFB2957_03827, RSCFB2957_04393, RSCFB2957_05004	RSGMI1000_00886, RSGMI1000_03522, RSGMI1000_03807, RSGMI1000_04557	RSK60_02022, RSK60_03649, RSK60_03894, RSK60_04621	RSMOLK2_00868, RSMOLK2_01552, RSMOLK2_02736, RSMOLK2_04356, RSMOLK2_04919	RSc0867, RSp0029, RSp0335, RSp1098	RSPSI07_00235, RSPSI07_03293, RSPSI07_03537, RSPSI07_04293	RSPSS4_00889, RSPSS4_03615, RSPSS4_03951, RSPSS4_04699	RSR24_01013, RSR24_01686, RSR24_03552, RSR24_03770, RSR24_04405	RSRUN2340_00219, RSRUN2340_02349, RSRUN2340_02352, RSRUN2340_03312, RSRUN2340_03577, RSRUN2340_03860, RSRUN2340_04631	RSUW551_03428, RSUW551_03595, RSUW551_04518
OG0004359	RSBA7_04426			RSGMI1000_00887	RSK60_02023, RSK60_02026		RSc0868		RSPSS4_00890		RSRUN2340_02351	
OG0004414				RSGMI1000_00889		RSMOLK2_04355	RSc0869	RSPSI07_00237	RSPSS4_00892		RSRUN2340_02348, RSRUN2340_03311	
OG0002813	RSBA7_04418		RSCFB2957_03832	RSGMI1000_00890	RSK60_02030	RSMOLK2_04354	RSc0871	RSPSI07_00238	RSPSS4_00893	RSR24_03273	RSRUN2340_02347, RSRUN2340_03310	
OG0003621	RSBA7_04417		RSCFB2957_03833	RSGMI1000_00891	RSK60_02031	RSMOLK2_04353	RSc0872	RSPSI07_00239	RSPSS4_00894	RSR24_03272	RSRUN2340_02346, RSRUN2340_03309	
OG0003337	RSBA7_04416		RSCFB2957_03834, RSCFB2957_05007	RSGMI1000_00892	RSK60_02032	RSMOLK2_04352	RSc0873	RSPSI07_00240	RSPSS4_00895	RSR24_03271	RSRUN2340_02345, RSRUN2340_03308	
OG0003336	RSBA7_04415		RSCFB2957_03835, RSCFB2957_05008	RSGMI1000_00893	RSK60_02033	RSMOLK2_04351	RSc0874	RSPSI07_00241	RSPSS4_00896	RSR24_03270	RSRUN2340_02344, RSRUN2340_03307	
OG0003335	RSBA7_04414		RSCFB2957_03837, RSCFB2957_05010	RSGMI1000_00894	RSK60_02034	RSMOLK2_04349	RSc0875	RSPSI07_00243	RSPSS4_00897	RSR24_03269	RSRUN2340_02343, RSRUN2340_03306	
OG0003334	RSBA7_04413		RSCFB2957_03838, RSCFB2957_05011	RSGMI1000_00895	RSK60_02035	RSMOLK2_04348	RSc0876	RSPSI07_00244	RSPSS4_00898	RSR24_03268	RSRUN2340_02342, RSRUN2340_03305	
OG0003333	RSBA7_04412		RSCFB2957_03839, RSCFB2957_05012	RSGMI1000_00896	RSK60_02036	RSMOLK2_04347	RSc0877	RSPSI07_00245	RSPSS4_00899	RSR24_03267	RSRUN2340_02341, RSRUN2340_03304	
OG0002735	RSBA7_04220, RSBA7_04411		RSCFB2957_03840, RSCFB2957_05013	RSGMI1000_00897	RSK60_02037	RSMOLK2_04346	RSc0878	RSPSI07_00246	RSPSS4_00900	RSR24_03266	RSRUN2340_02340, RSRUN2340_03303	
OG0000214	RSBA7_02675, RSBA7_04219, RSBA7_04410	RSBDBR229_02538	RSCFB2957_03748, RSCFB2957_03772, RSCFB2957_03841, RSCFB2957_05014	RSGMI1000_00898, RSGMI1000_03257	RSK60_02038	RSMOLK2_04345	RSc0879, RSc3198	RSPSI07_00247, RSPSI07_03594	RSPSS4_00901, RSPSS4_03355	RSR24_03265	RSRUN2340_02339, RSRUN2340_03267, RSRUN2340_03302	
OG0000431	RSBA7_02676, RSBA7_04218, RSBA7_04409	RSBDBR229_02540	RSCFB2957_03773, RSCFB2957_03842, RSCFB2957_05015	RSGMI1000_00899, RSGMI1000_03256	RSK60_02040	RSMOLK2_04344	RSc0880, RSc3196	RSPSI07_00248, RSPSI07_03592	RSPSS4_00902, RSPSS4_03354	RSR24_03264	RSRUN2340_02338, RSRUN2340_03301	
OG0000671	RSBA7_04217, RSBA7_04408		RSCFB2957_03774, RSCFB2957_03843, RSCFB2957_05016	RSGMI1000_00900, RSGMI1000_03255	RSK60_02041	RSMOLK2_04343	RSc0881, RSc3195	RSPSI07_00249	RSPSS4_00903, RSPSS4_03353	RSR24_03263	RSRUN2340_02337, RSRUN2340_03300	
OG0000670	RSBA7_04216, RSBA7_04407		RSCFB2957_03775, RSCFB2957_03844, RSCFB2957_05017	RSGMI1000_00901, RSGMI1000_03254	RSK60_02042	RSMOLK2_04342	RSc0882, RSc3194	RSPSI07_00250	RSPSS4_00904, RSPSS4_03352	RSR24_03262	RSRUN2340_02336, RSRUN2340_03299	
OG0000432	RSBA7_03357, RSBA7_04215, RSBA7_04406	RSBDBR229_04391	RSCFB2957_03776, RSCFB2957_03845, RSCFB2957_05018	RSGMI1000_00902, RSGMI1000_03252	RSK60_02043	RSMOLK2_04341	RSc0883, RSc3192	RSPSI07_00251	RSPSS4_00905, RSPSS4_03351	RSR24_03261	RSRUN2340_02335, RSRUN2340_03298	
OG0000091	RSBA7_04214, RSBA7_04405	RSBDBR229_04515	RSCFB2957_02998, RSCFB2957_03849	RSGMI1000_00903, RSGMI1000_03251, RSGMI1000_03273	RSK60_00853, RSK60_01968, RSK60_02044	RSMOLK2_02686, RSMOLK2_04340	RSc0884, RSc3191, RSc3214	RSPSI07_00252, RSPSI07_04667	RSPSS4_00906, RSPSS4_03350, RSPSS4_03371	RSR24_03259, RSR24_03993, RSR24_04741	RSRUN2340_00884, RSRUN2340_02334, RSRUN2340_02431, RSRUN2340_03297	RSUW551_03024
OG0000036	RSBA7_02853, RSBA7_04213, RSBA7_04404	RSBDBR229_00704	RSCFB2957_02899, RSCFB2957_02999, RSCFB2957_03850	RSGMI1000_00904, RSGMI1000_03149, RSGMI1000_03250, RSGMI1000_03274	RSK60_00854, RSK60_01967, RSK60_02045, RSK60_02149, RSK60_05066	RSMOLK2_02685, RSMOLK2_04339, RSMOLK2_04821	RSc0885, RSc3085, RSc3190, RSc3215	RSPSI07_00253, RSPSI07_00369	RSPSS4_00907, RSPSS4_03251, RSPSS4_03349, RSPSS4_03372	RSR24_02530, RSR24_03150, RSR24_03258	RSRUN2340_00883, RSRUN2340_02333, RSRUN2340_02430, RSRUN2340_03181, RSRUN2340_03296, RSRUN2340_04075	RSUW551_02924, RSUW551_03025
OG0003802	RSBA7_04403		RSCFB2957_04958	RSGMI1000_00905	RSK60_02046	RSMOLK2_04338	RSc0886	RSPSI07_00254	RSPSS4_00908		RSRUN2340_03295	
OG0000788	RSBA7_03456		RSCFB2957_03757, RSCFB2957_03761	RSGMI1000_00906, RSGMI1000_04012	RSK60_02047	RSMOLK2_01638	RSc0887, RSp0540		RSPSS4_04496	RSR24_03254, RSR24_04054	RSRUN2340_04036, RSRUN2340_04038	RSUW551_04614
OG0000492			RSCFB2957_03760, RSCFB2957_03762	RSGMI1000_00907, RSGMI1000_04017	RSK60_02049, RSK60_02051	RSMOLK2_01634	RSc0888, RSp0550	RSPSI07_00258	RSPSS4_04492	RSR24_03252, RSR24_04055	RSRUN2340_04042	RSUW551_04608, RSUW551_04609
OG0005043				RSGMI1000_00908	RSK60_02052		RSc0889			RSR24_03676, RSR24_04056		
OG0001654	RSBA7_04397		RSCFB2957_03865, RSCFB2957_04963	RSGMI1000_00909	RSK60_00814	RSMOLK2_01066, RSMOLK2_01077, RSMOLK2_04330	RSc0890		RSPSS4_00916		RSRUN2340_02325, RSRUN2340_02393, RSRUN2340_04047	RSUW551_03314
OG0000051	RSBA7_04396		RSCFB2957_02991, RSCFB2957_03009, RSCFB2957_03782, RSCFB2957_03866, RSCFB2957_04964	RSGMI1000_00910, RSGMI1000_03236, RSGMI1000_03305	RSK60_00812, RSK60_00813, RSK60_01935, RSK60_01976, RSK60_04074	RSMOLK2_01068, RSMOLK2_01078, RSMOLK2_02672, RSMOLK2_04329	RSc0891, RSc3171, RSc3247	RSPSI07_00191	RSPSS4_00917, RSPSS4_03335, RSPSS4_03401	RSR24_00896, RSR24_03239, RSR24_03240, RSR24_03317	RSRUN2340_00859, RSRUN2340_02324, RSRUN2340_02392, RSRUN2340_03357, RSRUN2340_04048	
OG0000503	RSBA7_04395	RSBDBR229_03609	RSCFB2957_03783, RSCFB2957_03867, RSCFB2957_04965	RSGMI1000_00911	RSK60_00811	RSMOLK2_04328	RSc0892	RSPSI07_02404, RSPSI07_02411, RSPSI07_04669	RSPSS4_00918	RSR24_00897, RSR24_04742	RSRUN2340_00860, RSRUN2340_02323, RSRUN2340_02391, RSRUN2340_04049	
OG0004007		RSBDBR229_02492, RSBDBR229_03910, RSBDBR229_04581, RSBDBR229_04682		RSGMI1000_00912			RSc0893	RSPSI07_01539, RSPSI07_03866, RSPSI07_04699				
OG0005551				RSGMI1000_00913			RSc0894	RSPSI07_04560			RSRUN2340_04993	
OG0002954	RSBA7_00875	RSBDBR229_04278	RSCFB2957_00826	RSGMI1000_00916	RSK60_00809	RSMOLK2_04326	RSc0896	RSPSI07_02400	RSPSS4_00920	RSR24_00905	RSRUN2340_02321	RSUW551_02204
OG0000709	RSBA7_00876	RSBDBR229_04277	RSCFB2957_00827	RSGMI1000_00917	RSK60_00808	RSMOLK2_04325	RSc0897	RSPSI07_02399	RSPSS4_00921	RSR24_00906	RSRUN2340_02320	RSUW551_02203
OG0000360	RSBA7_00877	RSBDBR229_04276	RSCFB2957_00828	RSGMI1000_00918	RSK60_00807	RSMOLK2_04324	RSc0898	RSPSI07_02398	RSPSS4_00922	RSR24_00907	RSRUN2340_02319	RSUW551_02202
OG0001894	RSBA7_00878	RSBDBR229_04275	RSCFB2957_00829	RSGMI1000_00919	RSK60_00806	RSMOLK2_04323	RSc0899	RSPSI07_02397	RSPSS4_00923	RSR24_00908	RSRUN2340_02318	RSUW551_02201
OG0000606	RSBA7_00879	RSBDBR229_04274	RSCFB2957_00830	RSGMI1000_00920	RSK60_00805	RSMOLK2_04322	RSc0900	RSPSI07_02396	RSPSS4_00924	RSR24_00909	RSRUN2340_02317	RSUW551_02200
OG0000904	RSBA7_00880	RSBDBR229_04273	RSCFB2957_00831	RSGMI1000_00921	RSK60_00804	RSMOLK2_04321	RSc0901	RSPSI07_02395	RSPSS4_00925	RSR24_00910	RSRUN2340_02316	RSUW551_02199
OG0001876	RSBA7_00881	RSBDBR229_04272	RSCFB2957_00832	RSGMI1000_00922	RSK60_00803	RSMOLK2_04320	RSc0902	RSPSI07_02394	RSPSS4_00926	RSR24_00911	RSRUN2340_02315	RSUW551_02198
OG0000261	RSBA7_00882	RSBDBR229_04271	RSCFB2957_00833	RSGMI1000_00923	RSK60_00802	RSMOLK2_04319	RSc0903	RSPSI07_02393	RSPSS4_00927	RSR24_00912	RSRUN2340_02314	RSUW551_02197
OG0000710	RSBA7_00883	RSBDBR229_04270	RSCFB2957_00834	RSGMI1000_00924	RSK60_00801	RSMOLK2_04318	RSc0904	RSPSI07_02392	RSPSS4_00928	RSR24_00913	RSRUN2340_02313	RSUW551_02196
OG0001302	RSBA7_00884	RSBDBR229_04269	RSCFB2957_00835	RSGMI1000_00925	RSK60_00800	RSMOLK2_04317	RSc0905	RSPSI07_02391	RSPSS4_00929	RSR24_00914	RSRUN2340_02312	RSUW551_02195
OG0001877	RSBA7_00885	RSBDBR229_04268	RSCFB2957_00836	RSGMI1000_00926	RSK60_00799	RSMOLK2_04316	RSc0906	RSPSI07_02390	RSPSS4_00930	RSR24_00915	RSRUN2340_02311	RSUW551_02194
OG0000607	RSBA7_00886	RSBDBR229_04267	RSCFB2957_00837	RSGMI1000_00927	RSK60_00798	RSMOLK2_04315	RSc0907	RSPSI07_02389	RSPSS4_00931	RSR24_00916	RSRUN2340_02310	RSUW551_02193
OG0000245	RSBA7_00887	RSBDBR229_04266	RSCFB2957_00838	RSGMI1000_00928	RSK60_00797	RSMOLK2_04314	RSc0908	RSPSI07_02388	RSPSS4_00932	RSR24_00917	RSRUN2340_02309	RSUW551_02192
OG0000905	RSBA7_00888	RSBDBR229_04265	RSCFB2957_00839	RSGMI1000_00929	RSK60_00796	RSMOLK2_04313	RSc0909	RSPSI07_02387	RSPSS4_00933	RSR24_00918	RSRUN2340_02308	RSUW551_02191
OG0000906	RSBA7_00889	RSBDBR229_04264	RSCFB2957_00840	RSGMI1000_00930	RSK60_00795	RSMOLK2_04312	RSc0910	RSPSI07_02386	RSPSS4_00934	RSR24_00919	RSRUN2340_02307	RSUW551_02190
OG0001878	RSBA7_00890	RSBDBR229_04263	RSCFB2957_00841	RSGMI1000_00931	RSK60_00793	RSMOLK2_04311	RSc0911	RSPSI07_02385	RSPSS4_00935	RSR24_00920	RSRUN2340_02306	RSUW551_02189
OG0001879	RSBA7_00891	RSBDBR229_04262	RSCFB2957_00842	RSGMI1000_00932	RSK60_00792	RSMOLK2_04310	RSc0912	RSPSI07_02384	RSPSS4_00936	RSR24_00921	RSRUN2340_02305	RSUW551_02188
OG0000576	RSBA7_00892	RSBDBR229_04261	RSCFB2957_00843	RSGMI1000_00933	RSK60_00791	RSMOLK2_04309	RSc0913	RSPSI07_02383	RSPSS4_00937	RSR24_00922	RSRUN2340_02304	RSUW551_02187
OG0000608	RSBA7_00893	RSBDBR229_04260	RSCFB2957_00844	RSGMI1000_00934	RSK60_00790	RSMOLK2_04308	RSc0914	RSPSI07_02382	RSPSS4_00938	RSR24_00923	RSRUN2340_02303	RSUW551_02186
OG0000609	RSBA7_00894	RSBDBR229_04259	RSCFB2957_00845	RSGMI1000_00935	RSK60_00789	RSMOLK2_04307	RSc0915	RSPSI07_02381	RSPSS4_00939	RSR24_00924	RSRUN2340_02302	RSUW551_02185
OG0000907	RSBA7_00895	RSBDBR229_04258	RSCFB2957_00846	RSGMI1000_00936	RSK60_00788	RSMOLK2_04306	RSc0916	RSPSI07_02380	RSPSS4_00940	RSR24_00925	RSRUN2340_02301	RSUW551_02184
OG0000109	RSBA7_00896	RSBDBR229_04257	RSCFB2957_00847	RSGMI1000_00937	RSK60_00787	RSMOLK2_04305	RSc0917	RSPSI07_02379	RSPSS4_00941	RSR24_00926	RSRUN2340_02300	RSUW551_02183
OG0000361	RSBA7_00897	RSBDBR229_04256	RSCFB2957_00848	RSGMI1000_00938	RSK60_00786	RSMOLK2_04304	RSc0918	RSPSI07_02378	RSPSS4_00942	RSR24_00927	RSRUN2340_02299	RSUW551_02182
OG0000908	RSBA7_00898	RSBDBR229_04255	RSCFB2957_00849	RSGMI1000_00939	RSK60_00785	RSMOLK2_04303	RSc0919	RSPSI07_02377	RSPSS4_00943	RSR24_00928	RSRUN2340_02298	RSUW551_02180, RSUW551_02181
OG0000294	RSBA7_00899	RSBDBR229_04254	RSCFB2957_00850	RSGMI1000_00940	RSK60_00784	RSMOLK2_04302	RSc0920	RSPSI07_02376	RSPSS4_00944	RSR24_00929	RSRUN2340_02297	RSUW551_01957
OG0000169	RSBA7_00900	RSBDBR229_04253	RSCFB2957_00851	RSGMI1000_00941	RSK60_00783	RSMOLK2_04301	RSc0921	RSPSI07_02375	RSPSS4_00945	RSR24_00930	RSRUN2340_02296	RSUW551_01956
OG0000056	RSBA7_00901, RSBA7_03080	RSBDBR229_00198, RSBDBR229_04252	RSCFB2957_00852, RSCFB2957_03157	RSGMI1000_00942, RSGMI1000_03447	RSK60_00782, RSK60_01790	RSMOLK2_02523, RSMOLK2_04300	RSc0922, RSc3386	RSPSI07_00051, RSPSI07_02374	RSPSS4_00946, RSPSS4_03542	RSR24_00931, RSR24_03459	RSRUN2340_02295, RSRUN2340_03496	RSUW551_01955, RSUW551_03184
OG0000610	RSBA7_00902	RSBDBR229_04251	RSCFB2957_00853	RSGMI1000_00943	RSK60_00781	RSMOLK2_04299	RSc0923	RSPSI07_02373	RSPSS4_00947	RSR24_00932, RSR24_02963	RSRUN2340_02294	RSUW551_01954
OG0000611	RSBA7_00903	RSBDBR229_04250	RSCFB2957_00854	RSGMI1000_00944	RSK60_00780	RSMOLK2_04298	RSc0924	RSPSI07_02372	RSPSS4_00948	RSR24_00933, RSR24_02964	RSRUN2340_02293	RSUW551_01953
OG0000909	RSBA7_00904	RSBDBR229_04249	RSCFB2957_00855	RSGMI1000_00945	RSK60_00779	RSMOLK2_04297	RSc0925	RSPSI07_02371	RSPSS4_00949	RSR24_00934	RSRUN2340_02292	RSUW551_01952
OG0000207	RSBA7_00905	RSBDBR229_04248	RSCFB2957_00856	RSGMI1000_00946	RSK60_00778	RSMOLK2_04296	RSc0926	RSPSI07_02370	RSPSS4_00950	RSR24_00935	RSRUN2340_02288	RSUW551_01951
OG0001368	RSBA7_00906	RSBDBR229_04247	RSCFB2957_00857	RSGMI1000_00947	RSK60_00777	RSMOLK2_04295	RSc0927	RSPSI07_02369	RSPSS4_00951	RSR24_00936	RSRUN2340_02287	RSUW551_01950
OG0000711	RSBA7_00917	RSBDBR229_04246	RSCFB2957_00868, RSCFB2957_00869	RSGMI1000_00948	RSK60_00776	RSMOLK2_04294	RSc0928	RSPSI07_02368	RSPSS4_00952	RSR24_00937	RSRUN2340_02286	RSUW551_01949
OG0001881	RSBA7_00918	RSBDBR229_04245	RSCFB2957_00870	RSGMI1000_00949	RSK60_00775	RSMOLK2_04293	RSc0929	RSPSI07_02367	RSPSS4_00953	RSR24_00938	RSRUN2340_02285	RSUW551_01948
OG0003525	RSBA7_00919	RSBDBR229_04244	RSCFB2957_00871	RSGMI1000_00950		RSMOLK2_04292	RSc0930	RSPSI07_02366	RSPSS4_00954	RSR24_00939	RSRUN2340_02284	RSUW551_01947
OG0001882	RSBA7_00920	RSBDBR229_04243	RSCFB2957_00872	RSGMI1000_00951	RSK60_00774	RSMOLK2_04291	RSc0931	RSPSI07_02365	RSPSS4_00955	RSR24_00940	RSRUN2340_02283	RSUW551_01946
OG0001883	RSBA7_00921	RSBDBR229_04242	RSCFB2957_00873	RSGMI1000_00952	RSK60_00773	RSMOLK2_04290	RSc0932	RSPSI07_02364	RSPSS4_00956	RSR24_00941	RSRUN2340_02282	RSUW551_01945
OG0000911	RSBA7_00922	RSBDBR229_04241	RSCFB2957_00874	RSGMI1000_00953	RSK60_00772	RSMOLK2_04289	RSc0933	RSPSI07_02363	RSPSS4_00957	RSR24_00942	RSRUN2340_02281	RSUW551_01944
OG0001884	RSBA7_00923	RSBDBR229_04240	RSCFB2957_00875	RSGMI1000_00954	RSK60_00771	RSMOLK2_04288	RSc0934	RSPSI07_02362	RSPSS4_00958	RSR24_00943	RSRUN2340_02280	RSUW551_01943
OG0000912	RSBA7_00924	RSBDBR229_04239	RSCFB2957_00876	RSGMI1000_00955	RSK60_00770	RSMOLK2_04287	RSc0935	RSPSI07_02361	RSPSS4_00959	RSR24_00944	RSRUN2340_02279	RSUW551_01942
OG0000913	RSBA7_00925	RSBDBR229_04238	RSCFB2957_00877	RSGMI1000_00956	RSK60_00769	RSMOLK2_04286	RSc0936	RSPSI07_02360	RSPSS4_00960	RSR24_00945	RSRUN2340_02278	RSUW551_01941
OG0000914	RSBA7_00926	RSBDBR229_04237	RSCFB2957_00878	RSGMI1000_00957	RSK60_00768	RSMOLK2_04285	RSc0937	RSPSI07_02359	RSPSS4_00961	RSR24_00946	RSRUN2340_02277	RSUW551_01940
OG0002205	RSBA7_00927	RSBDBR229_04236	RSCFB2957_00879	RSGMI1000_00958	RSK60_00767	RSMOLK2_04284	RSc0938	RSPSI07_02358	RSPSS4_00962	RSR24_00947	RSRUN2340_02276	RSUW551_01939
OG0002204	RSBA7_00928	RSBDBR229_04235	RSCFB2957_00880	RSGMI1000_00959	RSK60_00766	RSMOLK2_04283	RSc0939	RSPSI07_02357	RSPSS4_00963	RSR24_00948	RSRUN2340_02275	RSUW551_01938
OG0002203	RSBA7_00929	RSBDBR229_04234	RSCFB2957_00881	RSGMI1000_00960	RSK60_00765	RSMOLK2_04282	RSc0940	RSPSI07_02356	RSPSS4_00964	RSR24_00949	RSRUN2340_02274	RSUW551_01937
OG0002202	RSBA7_00930	RSBDBR229_04233	RSCFB2957_00882	RSGMI1000_00961	RSK60_00764	RSMOLK2_04281	RSc0941	RSPSI07_02355	RSPSS4_00965	RSR24_00950	RSRUN2340_02273	RSUW551_01936
OG0001085	RSBA7_00931	RSBDBR229_04232	RSCFB2957_00883	RSGMI1000_00962	RSK60_00763	RSMOLK2_04280	RSc0942	RSPSI07_02354	RSPSS4_00966	RSR24_00951	RSRUN2340_02272	RSUW551_01935
OG0001467	RSBA7_00932	RSBDBR229_04231	RSCFB2957_00884	RSGMI1000_00963	RSK60_00762	RSMOLK2_04279	RSc0943	RSPSI07_02353	RSPSS4_00967	RSR24_00952	RSRUN2340_02271	RSUW551_01934
OG0001084	RSBA7_00933	RSBDBR229_04230	RSCFB2957_00885	RSGMI1000_00964	RSK60_00761	RSMOLK2_04278	RSc0944	RSPSI07_02352	RSPSS4_00968	RSR24_00953	RSRUN2340_02270	RSUW551_01933
OG0001083	RSBA7_00934	RSBDBR229_04229	RSCFB2957_00886	RSGMI1000_00965	RSK60_00760	RSMOLK2_04277	RSc0945	RSPSI07_02351	RSPSS4_00969	RSR24_00954	RSRUN2340_02269	RSUW551_01932
OG0000199	RSBA7_00935	RSBDBR229_04228	RSCFB2957_00887	RSGMI1000_00966	RSK60_00759	RSMOLK2_04276	RSc0946	RSPSI07_02350	RSPSS4_00970	RSR24_00960	RSRUN2340_02268	RSUW551_01930, RSUW551_01931
OG0000327	RSBA7_00936	RSBDBR229_04227	RSCFB2957_00888	RSGMI1000_00967	RSK60_00758	RSMOLK2_04275	RSc0947	RSPSI07_02349	RSPSS4_00971	RSR24_00961	RSRUN2340_02267	RSUW551_01929
OG0002955	RSBA7_00937	RSBDBR229_04226	RSCFB2957_00889	RSGMI1000_00968	RSK60_00757	RSMOLK2_04274	RSc0948	RSPSI07_02348	RSPSS4_00972	RSR24_00962	RSRUN2340_02266	RSUW551_01928
OG0002201	RSBA7_00938	RSBDBR229_04225	RSCFB2957_00890	RSGMI1000_00969	RSK60_00756	RSMOLK2_04273	RSc0949	RSPSI07_02347	RSPSS4_00973	RSR24_00963	RSRUN2340_02265	RSUW551_01927
OG0001466	RSBA7_00939	RSBDBR229_04224	RSCFB2957_00891	RSGMI1000_00970	RSK60_00755	RSMOLK2_04272	RSc0950	RSPSI07_02346	RSPSS4_00974	RSR24_00964	RSRUN2340_02264	RSUW551_01926
OG0002200	RSBA7_00940	RSBDBR229_04223	RSCFB2957_00892	RSGMI1000_00971	RSK60_00754	RSMOLK2_04271	RSc0951	RSPSI07_02345	RSPSS4_00975	RSR24_00965	RSRUN2340_02263	RSUW551_01925
OG0002199	RSBA7_00941	RSBDBR229_04222	RSCFB2957_00893	RSGMI1000_00972	RSK60_00753	RSMOLK2_04270	RSc0952	RSPSI07_02344	RSPSS4_00976	RSR24_00966	RSRUN2340_02262	RSUW551_01924
OG0002956	RSBA7_00942	RSBDBR229_04221	RSCFB2957_00894	RSGMI1000_00973	RSK60_00752	RSMOLK2_04269	RSc0953	RSPSI07_02343	RSPSS4_00977	RSR24_00967	RSRUN2340_02261	RSUW551_01923
OG0006176				RSGMI1000_00974			RSc0955		RSPSS4_00978			
OG0000178		RSBDBR229_01472	RSCFB2957_03293, RSCFB2957_04312	RSGMI1000_00975, RSGMI1000_01993, RSGMI1000_03581	RSK60_03683, RSK60_03862, RSK60_03863, RSK60_05058	RSMOLK2_04732	RSc0958, RSc1944, RSp0103	RSPSI07_02186, RSPSI07_04656	RSPSS4_00979, RSPSS4_02095, RSPSS4_03080, RSPSS4_03676	RSR24_01129		RSUW551_01920, RSUW551_03531
OG0003446			RSCFB2957_03295, RSCFB2957_04311	RSGMI1000_00976, RSGMI1000_03582	RSK60_03685, RSK60_03861		RSc0959, RSp0104		RSPSS4_00980, RSPSS4_03079, RSPSS4_03677			RSUW551_01919
OG0000676			RSCFB2957_03296, RSCFB2957_04310	RSGMI1000_00977, RSGMI1000_01991, RSGMI1000_03583	RSK60_03686, RSK60_03687, RSK60_03860, RSK60_04534		RSc0960, RSc1942, RSp0105		RSPSS4_00981, RSPSS4_02093, RSPSS4_03078, RSPSS4_03678			RSUW551_01918
OG0000021	RSBA7_02977, RSBA7_03203, RSBA7_04025, RSBA7_04330	RSBDBR229_02462, RSBDBR229_03674	RSCFB2957_03064, RSCFB2957_03298, RSCFB2957_03700, RSCFB2957_04033, RSCFB2957_04308	RSGMI1000_00978, RSGMI1000_03276, RSGMI1000_03682, RSGMI1000_03987, RSGMI1000_04229	RSK60_00082, RSK60_00856, RSK60_01462, RSK60_01888, RSK60_03689, RSK60_03858, RSK60_04025, RSK60_04259	RSMOLK2_01239, RSMOLK2_02620, RSMOLK2_02762, RSMOLK2_02775, RSMOLK2_04924	RSc0961, RSc3217, RSp0204, RSp0515, RSp0765	RSPSI07_03662, RSPSI07_03884, RSPSI07_04535	RSPSS4_00982, RSPSS4_03374, RSPSS4_04276, RSPSS4_04521, RSPSS4_04823	RSR24_01233, RSR24_04640		RSUW551_03463, RSUW551_03966, RSUW551_04166
