XFCFBP8418_010140	RSUW551_01901
XFCFBP8418_014290	RSUW551_01026
XFCFBP8418_019500	RSUW551_02400
XFCFBP8418_009940	RSUW551_00130
XFCFBP8418_004250	RSUW551_02454
XFCFBP8418_007520	RSUW551_02176
XFCFBP8418_026260	RSUW551_01954
XFCFBP8418_016360	RSUW551_01215
XFCFBP8418_016360	RSUW551_04457
XFCFBP8418_020860	RSUW551_01415
XFCFBP8418_015270	RSUW551_02078
XFCFBP8418_017690	RSUW551_00370
XFCFBP8418_015030	RSUW551_02388
XFCFBP8418_013090	RSUW551_03846
XFCFBP8418_018300	RSUW551_02595
XFCFBP8418_004140	RSUW551_02290
XFCFBP8418_005230	RSUW551_01715
XFCFBP8418_007410	RSUW551_01494
XFCFBP8418_003050	RSUW551_03342
XFCFBP8418_006320	RSUW551_02596
XFCFBP8418_007650	RSUW551_02781
XFCFBP8418_016370	RSUW551_00534
XFCFBP8418_018790	RSUW551_03449
XFCFBP8418_020850	RSUW551_03125
XFCFBP8418_014190	RSUW551_00087
XFCFBP8418_005240	RSUW551_01716
XFCFBP8418_009840	RSUW551_02734
XFCFBP8418_009600	RSUW551_00450
XFCFBP8418_004150	RSUW551_04088
XFCFBP8418_008750	RSUW551_01994
XFCFBP8418_005000	RSUW551_01577
XFCFBP8418_015050	RSUW551_01944
XFCFBP8418_019650	RSUW551_01218
XFCFBP8418_020400	RSUW551_02405
XFCFBP8418_016380	RSUW551_02349
XFCFBP8418_023910	RSUW551_01847
XFCFBP8418_019410	RSUW551_03896
XFCFBP8418_008520	RSUW551_01525
XFCFBP8418_005010	RSUW551_01576
XFCFBP8418_006340	RSUW551_00154
XFCFBP8418_005250	RSUW551_01367
XFCFBP8418_004160	RSUW551_02792
XFCFBP8418_011920	RSUW551_00600
XFCFBP8418_011920	RSUW551_00599
XFCFBP8418_007670	RSUW551_01842
XFCFBP8418_009850	RSUW551_04203
XFCFBP8418_019420	RSUW551_01104
XFCFBP8418_020870	RSUW551_02160
XFCFBP8418_020630	RSUW551_01036
XFCFBP8418_023900	RSUW551_01849
XFCFBP8418_016390	RSUW551_02348
XFCFBP8418_006110	RSUW551_01871
XFCFBP8418_011930	RSUW551_02642
XFCFBP8418_006590	RSUW551_02184
XFCFBP8418_004170	RSUW551_02791
XFCFBP8418_007680	RSUW551_03173
XFCFBP8418_008530	RSUW551_02414
XFCFBP8418_009860	RSUW551_01742
XFCFBP8418_020420	RSUW551_00353
XFCFBP8418_023930	RSUW551_01763
XFCFBP8418_019430	RSUW551_01105
XFCFBP8418_021510	RSUW551_01001
XFCFBP8418_019670	RSUW551_00531
XFCFBP8418_018340	RSUW551_01144
XFCFBP8418_015070	RSUW551_01942
XFCFBP8418_011940	RSUW551_02624
XFCFBP8418_006360	RSUW551_02813
XFCFBP8418_004180	RSUW551_03101
XFCFBP8418_007690	RSUW551_03172
XFCFBP8418_008780	RSUW551_00834
XFCFBP8418_009870	RSUW551_01224
XFCFBP8418_021760	RSUW551_02158
XFCFBP8418_018110	RSUW551_00384
XFCFBP8418_021500	RSUW551_01002
XFCFBP8418_019440	RSUW551_01106
XFCFBP8418_020410	RSUW551_02406
XFCFBP8418_019680	RSUW551_00866
XFCFBP8418_015080	RSUW551_01941
XFCFBP8418_005040	RSUW551_00978
XFCFBP8418_006370	RSUW551_00671
XFCFBP8418_007460	RSUW551_02061
XFCFBP8418_009880	RSUW551_01223
XFCFBP8418_008550	RSUW551_04113
XFCFBP8418_009640	RSUW551_01866
XFCFBP8418_023950	RSUW551_01097
XFCFBP8418_019450	RSUW551_01107
XFCFBP8418_015090	RSUW551_01457
XFCFBP8418_000830	RSUW551_02413
XFCFBP8418_011970	RSUW551_00597
XFCFBP8418_011720	RSUW551_01154
XFCFBP8418_010630	RSUW551_01666
XFCFBP8418_011960	RSUW551_00596
XFCFBP8418_006380	RSUW551_00672
XFCFBP8418_007470	RSUW551_00076
XFCFBP8418_023960	RSUW551_01096
XFCFBP8418_021520	RSUW551_01000
XFCFBP8418_020430	RSUW551_02305
XFCFBP8418_023700	RSUW551_01968
XFCFBP8418_019220	RSUW551_02415
XFCFBP8418_018130	RSUW551_00381
XFCFBP8418_000840	RSUW551_00372
XFCFBP8418_017040	RSUW551_03449
XFCFBP8418_010890	RSUW551_00553
XFCFBP8418_011730	RSUW551_01153
XFCFBP8418_010640	RSUW551_01665
XFCFBP8418_006150	RSUW551_02176
XFCFBP8418_012820	RSUW551_02864
XFCFBP8418_012820	RSUW551_02843
XFCFBP8418_007480	RSUW551_02058
XFCFBP8418_007240	RSUW551_01657
XFCFBP8418_024820	RSUW551_01453
XFCFBP8418_023730	RSUW551_01932
XFCFBP8418_019230	RSUW551_00835
XFCFBP8418_017050	RSUW551_03448
XFCFBP8418_000610	RSUW551_01186
XFCFBP8418_018380	RSUW551_00458
XFCFBP8418_011750	RSUW551_01152
XFCFBP8418_010660	RSUW551_01664
XFCFBP8418_011990	RSUW551_04492
XFCFBP8418_009670	RSUW551_01732
XFCFBP8418_007250	RSUW551_01658
XFCFBP8418_021560	RSUW551_04587
XFCFBP8418_023740	RSUW551_01933
XFCFBP8418_021320	RSUW551_03395
XFCFBP8418_021320	RSUW551_00752
XFCFBP8418_021320	RSUW551_04458
XFCFBP8418_021300	RSUW551_01433
XFCFBP8418_020210	RSUW551_01181
XFCFBP8418_023720	RSUW551_01967
XFCFBP8418_019240	RSUW551_00696
XFCFBP8418_019480	RSUW551_00554
XFCFBP8418_018390	RSUW551_00457
XFCFBP8418_012850	RSUW551_00419
XFCFBP8418_011760	RSUW551_01151
XFCFBP8418_012840	RSUW551_02719
XFCFBP8418_012600	RSUW551_02585
XFCFBP8418_007260	RSUW551_02579
XFCFBP8418_000870	RSUW551_00560
XFCFBP8418_023970	RSUW551_01094
XFCFBP8418_020220	RSUW551_01181
XFCFBP8418_021550	RSUW551_00480
XFCFBP8418_023510	RSUW551_02837
XFCFBP8418_002810	RSUW551_00490
XFCFBP8418_003900	RSUW551_01136
XFCFBP8418_000630	RSUW551_03126
XFCFBP8418_019490	RSUW551_02700
XFCFBP8418_012860	RSUW551_00420
XFCFBP8418_011530	RSUW551_00469
XFCFBP8418_010440	RSUW551_01221
XFCFBP8418_011770	RSUW551_01150
XFCFBP8418_010680	RSUW551_04568
XFCFBP8418_000880	RSUW551_00562
XFCFBP8418_009690	RSUW551_01543
XFCFBP8418_000640	RSUW551_02580
XFCFBP8418_025940	RSUW551_00986
XFCFBP8418_022430	RSUW551_01437
XFCFBP8418_024850	RSUW551_01450
XFCFBP8418_023520	RSUW551_02838
XFCFBP8418_021100	RSUW551_02197
XFCFBP8418_024830	RSUW551_01452
XFCFBP8418_023500	RSUW551_02836
XFCFBP8418_000400	RSUW551_00412
XFCFBP8418_003910	RSUW551_01474
XFCFBP8418_001730	RSUW551_01062
XFCFBP8418_012870	RSUW551_00421
XFCFBP8418_010210	RSUW551_04073
XFCFBP8418_011540	RSUW551_00468
XFCFBP8418_011780	RSUW551_01149
XFCFBP8418_012620	RSUW551_01904
XFCFBP8418_007280	RSUW551_01643
XFCFBP8418_000890	RSUW551_00868
XFCFBP8418_023750	RSUW551_02492
XFCFBP8418_021570	RSUW551_04588
XFCFBP8418_025710	RSUW551_00930
XFCFBP8418_026800	RSUW551_01707
XFCFBP8418_002830	RSUW551_00093
XFCFBP8418_003920	RSUW551_00400
XFCFBP8418_007290	RSUW551_01645
XFCFBP8418_011790	RSUW551_01148
XFCFBP8418_012640	RSUW551_01290
XFCFBP8418_011310	RSUW551_02668
XFCFBP8418_010460	RSUW551_00296
XFCFBP8418_011300	RSUW551_02667
XFCFBP8418_000660	RSUW551_02316
XFCFBP8418_018180	RSUW551_00334
XFCFBP8418_002840	RSUW551_00094
XFCFBP8418_023780	RSUW551_02036
XFCFBP8418_020270	RSUW551_02768
XFCFBP8418_025720	RSUW551_00929
XFCFBP8418_022210	RSUW551_01748
XFCFBP8418_023300	RSUW551_02814
XFCFBP8418_024870	RSUW551_01448
XFCFBP8418_023540	RSUW551_02840
XFCFBP8418_025700	RSUW551_00931
XFCFBP8418_024610	RSUW551_00997
XFCFBP8418_001510	RSUW551_02311
XFCFBP8418_003930	RSUW551_03785
XFCFBP8418_012410	RSUW551_00382
XFCFBP8418_012890	RSUW551_00423
XFCFBP8418_011560	RSUW551_00849
XFCFBP8418_002850	RSUW551_00106
XFCFBP8418_000670	RSUW551_03296
XFCFBP8418_020260	RSUW551_02767
XFCFBP8418_024620	RSUW551_00996
XFCFBP8418_023530	RSUW551_02839
XFCFBP8418_025950	RSUW551_00574
XFCFBP8418_025950	RSUW551_02676
XFCFBP8418_022200	RSUW551_01239
XFCFBP8418_021350	RSUW551_01809
XFCFBP8418_022440	RSUW551_01436
XFCFBP8418_027910	RSUW551_00073
XFCFBP8418_027910	RSUW551_04208
XFCFBP8418_002610	RSUW551_02002
XFCFBP8418_003700	RSUW551_02737
XFCFBP8418_011330	RSUW551_02670
XFCFBP8418_003950	RSUW551_00141
XFCFBP8418_024890	RSUW551_01445
XFCFBP8418_023560	RSUW551_02842
XFCFBP8418_002620	RSUW551_02001
XFCFBP8418_022230	RSUW551_01751
XFCFBP8418_023320	RSUW551_02816
XFCFBP8418_026810	RSUW551_02570
XFCFBP8418_027900	RSUW551_03572
XFCFBP8418_027900	RSUW551_00074
XFCFBP8418_027900	RSUW551_04207
XFCFBP8418_003710	RSUW551_02736
XFCFBP8418_004800	RSUW551_02079
XFCFBP8418_004800	RSUW551_03399
XFCFBP8418_011580	RSUW551_02448
XFCFBP8418_011100	RSUW551_03321
XFCFBP8418_024880	RSUW551_01446
XFCFBP8418_023790	RSUW551_02035
XFCFBP8418_003720	RSUW551_02735
XFCFBP8418_022460	RSUW551_01935
XFCFBP8418_002870	RSUW551_00188
XFCFBP8418_000210	RSUW551_01062
XFCFBP8418_002630	RSUW551_02000
XFCFBP8418_021370	RSUW551_01661
XFCFBP8418_023310	RSUW551_02815
XFCFBP8418_025730	RSUW551_00928
XFCFBP8418_023550	RSUW551_02841
XFCFBP8418_022220	RSUW551_01749
XFCFBP8418_025970	RSUW551_02753
