XFCFBP8418_010140	RSBA7_00952
XFCFBP8418_026240	RSBA7_00732
XFCFBP8418_025390	RSBA7_02530
XFCFBP8418_006650	RSBA7_02335
XFCFBP8418_016460	RSBA7_00353
XFCFBP8418_020720	RSBA7_02819
XFCFBP8418_013190	RSBA7_02994
XFCFBP8418_006660	RSBA7_02233
XFCFBP8418_003150	RSBA7_02116
XFCFBP8418_026270	RSBA7_00903
XFCFBP8418_004000	RSBA7_01463
XFCFBP8418_014290	RSBA7_01806
XFCFBP8418_019500	RSBA7_00729
XFCFBP8418_009940	RSBA7_00080
XFCFBP8418_004250	RSBA7_02331
XFCFBP8418_007520	RSBA7_04447
XFCFBP8418_026260	RSBA7_00902
XFCFBP8418_016360	RSBA7_01616
XFCFBP8418_016360	RSBA7_03688
XFCFBP8418_015270	RSBA7_02057
XFCFBP8418_017690	RSBA7_00343
XFCFBP8418_015030	RSBA7_00746
XFCFBP8418_013090	RSBA7_03369
XFCFBP8418_018300	RSBA7_02472
XFCFBP8418_004140	RSBA7_00840
XFCFBP8418_005230	RSBA7_01118
XFCFBP8418_008740	RSBA7_03785
XFCFBP8418_007410	RSBA7_01330
XFCFBP8418_003050	RSBA7_04943
XFCFBP8418_006320	RSBA7_02473
XFCFBP8418_007650	RSBA7_02720
XFCFBP8418_016370	RSBA7_00507
XFCFBP8418_018790	RSBA7_03188
XFCFBP8418_020850	RSBA7_03023
XFCFBP8418_014190	RSBA7_00001
XFCFBP8418_005240	RSBA7_01117
XFCFBP8418_009840	RSBA7_02612
XFCFBP8418_009600	RSBA7_00423
XFCFBP8418_004150	RSBA7_04116
XFCFBP8418_008750	RSBA7_01974
XFCFBP8418_005000	RSBA7_01254
XFCFBP8418_015050	RSBA7_00922
XFCFBP8418_019650	RSBA7_01613
XFCFBP8418_020400	RSBA7_00724
XFCFBP8418_016380	RSBA7_00784
XFCFBP8418_023910	RSBA7_01002
XFCFBP8418_019410	RSBA7_03419
XFCFBP8418_008520	RSBA7_01303
XFCFBP8418_005010	RSBA7_01255
XFCFBP8418_006340	RSBA7_00106
XFCFBP8418_005250	RSBA7_01464
XFCFBP8418_004160	RSBA7_02731
XFCFBP8418_011920	RSBA7_00580
XFCFBP8418_011920	RSBA7_00581
XFCFBP8418_007670	RSBA7_01007
XFCFBP8418_009850	RSBA7_03971
XFCFBP8418_019420	RSBA7_01739
XFCFBP8418_020870	RSBA7_02104
XFCFBP8418_018570	RSBA7_01725
XFCFBP8418_020630	RSBA7_01797
XFCFBP8418_023900	RSBA7_01000
XFCFBP8418_016390	RSBA7_00785
XFCFBP8418_006110	RSBA7_00979
XFCFBP8418_011930	RSBA7_02520
XFCFBP8418_006590	RSBA7_00895
XFCFBP8418_004170	RSBA7_02730
XFCFBP8418_007680	RSBA7_03069
XFCFBP8418_008530	RSBA7_00715
XFCFBP8418_009860	RSBA7_01093
XFCFBP8418_020420	RSBA7_00289
XFCFBP8418_023930	RSBA7_01072
XFCFBP8418_019430	RSBA7_01738
XFCFBP8418_021510	RSBA7_01831
XFCFBP8418_019670	RSBA7_00504
XFCFBP8418_018340	RSBA7_01669
XFCFBP8418_015070	RSBA7_00924
XFCFBP8418_011940	RSBA7_02501
XFCFBP8418_006360	RSBA7_02752
XFCFBP8418_004180	RSBA7_02995
XFCFBP8418_007690	RSBA7_03068
XFCFBP8418_008780	RSBA7_02162
XFCFBP8418_009870	RSBA7_01607
XFCFBP8418_018110	RSBA7_00357
XFCFBP8418_021500	RSBA7_01830
XFCFBP8418_019440	RSBA7_01737
XFCFBP8418_020410	RSBA7_00723
XFCFBP8418_019680	RSBA7_02129
XFCFBP8418_015080	RSBA7_00925
XFCFBP8418_005040	RSBA7_01854
XFCFBP8418_006370	RSBA7_00669
XFCFBP8418_007460	RSBA7_02040
XFCFBP8418_009880	RSBA7_01608
XFCFBP8418_008550	RSBA7_04090
XFCFBP8418_009640	RSBA7_00984
XFCFBP8418_023710	RSBA7_03303
XFCFBP8418_023950	RSBA7_01746
XFCFBP8418_019450	RSBA7_01736
XFCFBP8418_015090	RSBA7_01363
XFCFBP8418_000830	RSBA7_00716
XFCFBP8418_011970	RSBA7_00578
XFCFBP8418_011720	RSBA7_01659
XFCFBP8418_010630	RSBA7_01169
XFCFBP8418_011960	RSBA7_00577
XFCFBP8418_006380	RSBA7_00670
XFCFBP8418_007470	RSBA7_00012
XFCFBP8418_023960	RSBA7_01747
XFCFBP8418_021520	RSBA7_01832
XFCFBP8418_020430	RSBA7_00825
XFCFBP8418_023700	RSBA7_01949
XFCFBP8418_019220	RSBA7_00714
XFCFBP8418_018130	RSBA7_00354
XFCFBP8418_000840	RSBA7_00345
XFCFBP8418_017040	RSBA7_03188
XFCFBP8418_010890	RSBA7_00524
XFCFBP8418_011730	RSBA7_01660
XFCFBP8418_010640	RSBA7_01170
XFCFBP8418_006150	RSBA7_04447
XFCFBP8418_012820	RSBA7_02803
XFCFBP8418_012820	RSBA7_02782
XFCFBP8418_007480	RSBA7_02038
XFCFBP8418_007240	RSBA7_01177
XFCFBP8418_024820	RSBA7_01367
XFCFBP8418_023730	RSBA7_00934
XFCFBP8418_019230	RSBA7_02160
XFCFBP8418_017050	RSBA7_03187
XFCFBP8418_000610	RSBA7_01648
XFCFBP8418_018380	RSBA7_00431
XFCFBP8418_011750	RSBA7_01661
XFCFBP8418_010660	RSBA7_01171
XFCFBP8418_011990	RSBA7_03653
XFCFBP8418_009670	RSBA7_01102
XFCFBP8418_007250	RSBA7_01176
XFCFBP8418_021560	RSBA7_04544
XFCFBP8418_023740	RSBA7_00933
XFCFBP8418_021320	RSBA7_03131
XFCFBP8418_021320	RSBA7_02245
XFCFBP8418_021320	RSBA7_03687
XFCFBP8418_021300	RSBA7_01384
XFCFBP8418_020210	RSBA7_01653
XFCFBP8418_023720	RSBA7_01948
XFCFBP8418_019240	RSBA7_02297
XFCFBP8418_019480	RSBA7_00525
XFCFBP8418_018390	RSBA7_00430
XFCFBP8418_012850	RSBA7_00392
XFCFBP8418_011760	RSBA7_01662
XFCFBP8418_011510	RSBA7_01724
XFCFBP8418_012840	RSBA7_02597
XFCFBP8418_012600	RSBA7_02463
XFCFBP8418_007260	RSBA7_02457
XFCFBP8418_000870	RSBA7_00531
XFCFBP8418_023970	RSBA7_01749
XFCFBP8418_008110	RSBA7_03357
XFCFBP8418_008110	RSBA7_04215
XFCFBP8418_008110	RSBA7_04406
XFCFBP8418_020220	RSBA7_01653
XFCFBP8418_021550	RSBA7_00453
XFCFBP8418_023510	RSBA7_02776
XFCFBP8418_002810	RSBA7_00463
XFCFBP8418_003900	RSBA7_01677
XFCFBP8418_000630	RSBA7_03024
XFCFBP8418_019490	RSBA7_02578
XFCFBP8418_012860	RSBA7_00393
XFCFBP8418_011530	RSBA7_00442
XFCFBP8418_010440	RSBA7_01610
XFCFBP8418_011770	RSBA7_01663
XFCFBP8418_010680	RSBA7_04526
XFCFBP8418_011520	RSBA7_01725
XFCFBP8418_000880	RSBA7_00533
XFCFBP8418_009690	RSBA7_01285
XFCFBP8418_000640	RSBA7_02458
XFCFBP8418_025940	RSBA7_01846
XFCFBP8418_022430	RSBA7_01380
XFCFBP8418_024850	RSBA7_01370
XFCFBP8418_023520	RSBA7_02777
XFCFBP8418_021100	RSBA7_00882
XFCFBP8418_024830	RSBA7_01368
XFCFBP8418_023500	RSBA7_02775
XFCFBP8418_000400	RSBA7_00385
XFCFBP8418_003910	RSBA7_01347
XFCFBP8418_001730	RSBA7_01772
XFCFBP8418_012870	RSBA7_00394
XFCFBP8418_010210	RSBA7_04129
XFCFBP8418_011540	RSBA7_00441
XFCFBP8418_011780	RSBA7_01664
XFCFBP8418_012620	RSBA7_00949
XFCFBP8418_007280	RSBA7_01191
XFCFBP8418_000890	RSBA7_02126
XFCFBP8418_023750	RSBA7_02370
XFCFBP8418_021570	RSBA7_04545
XFCFBP8418_025710	RSBA7_01904
XFCFBP8418_026800	RSBA7_01126
XFCFBP8418_002830	RSBA7_00047
XFCFBP8418_003920	RSBA7_00373
XFCFBP8418_007290	RSBA7_01189
XFCFBP8418_011790	RSBA7_01665
XFCFBP8418_012640	RSBA7_01540
XFCFBP8418_013730	RSBA7_04403
XFCFBP8418_011310	RSBA7_02545
XFCFBP8418_010460	RSBA7_00235
XFCFBP8418_011300	RSBA7_02544
XFCFBP8418_000660	RSBA7_00815
XFCFBP8418_018180	RSBA7_00270
XFCFBP8418_002840	RSBA7_00048
XFCFBP8418_023780	RSBA7_02016
XFCFBP8418_020270	RSBA7_02706
XFCFBP8418_025720	RSBA7_01905
XFCFBP8418_022210	RSBA7_01087
XFCFBP8418_023300	RSBA7_02753
XFCFBP8418_024870	RSBA7_01372
XFCFBP8418_023540	RSBA7_02779
XFCFBP8418_025700	RSBA7_01903
XFCFBP8418_024610	RSBA7_01835
XFCFBP8418_001510	RSBA7_00821
XFCFBP8418_003930	RSBA7_03288
XFCFBP8418_012650	RSBA7_04277
XFCFBP8418_012410	RSBA7_00355
XFCFBP8418_012890	RSBA7_00396
XFCFBP8418_011560	RSBA7_02146
XFCFBP8418_002850	RSBA7_00057
XFCFBP8418_000670	RSBA7_03490
XFCFBP8418_020260	RSBA7_02705
XFCFBP8418_024620	RSBA7_01836
XFCFBP8418_023530	RSBA7_02778
XFCFBP8418_025950	RSBA7_02552
XFCFBP8418_025950	RSBA7_00544
XFCFBP8418_022200	RSBA7_01591
XFCFBP8418_021350	RSBA7_01040
XFCFBP8418_022440	RSBA7_01381
XFCFBP8418_027910	RSBA7_00015
XFCFBP8418_027910	RSBA7_03967
XFCFBP8418_027910	RSBA7_03966
XFCFBP8418_002610	RSBA7_01982
XFCFBP8418_003700	RSBA7_02615
XFCFBP8418_011330	RSBA7_02547
XFCFBP8418_003950	RSBA7_00093
XFCFBP8418_024890	RSBA7_01375
XFCFBP8418_023560	RSBA7_02781
XFCFBP8418_002620	RSBA7_01981
XFCFBP8418_022230	RSBA7_01084
XFCFBP8418_023320	RSBA7_02755
XFCFBP8418_026810	RSBA7_02448
XFCFBP8418_027900	RSBA7_03968
XFCFBP8418_027900	RSBA7_00014
XFCFBP8418_027900	RSBA7_04846
XFCFBP8418_003710	RSBA7_02614
XFCFBP8418_004800	RSBA7_02058
XFCFBP8418_004800	RSBA7_03135
XFCFBP8418_011580	RSBA7_02325
XFCFBP8418_011100	RSBA7_03452
XFCFBP8418_024880	RSBA7_01374
XFCFBP8418_023790	RSBA7_02015
XFCFBP8418_003720	RSBA7_02613
XFCFBP8418_022460	RSBA7_00931
XFCFBP8418_002870	RSBA7_00135
XFCFBP8418_000210	RSBA7_01772
XFCFBP8418_002630	RSBA7_01980
XFCFBP8418_021370	RSBA7_01174
XFCFBP8418_023310	RSBA7_02754
XFCFBP8418_025730	RSBA7_01906
XFCFBP8418_023550	RSBA7_02780
XFCFBP8418_022220	RSBA7_01086
XFCFBP8418_025970	RSBA7_02691
