XFCFBP8418_010140	RSBDBR229_04212
XFCFBP8418_014460	RSBDBR229_00762
XFCFBP8418_015550	RSBDBR229_00477
XFCFBP8418_016880	RSBDBR229_03052
XFCFBP8418_015310	RSBDBR229_03760
XFCFBP8418_025360	RSBDBR229_00049
XFCFBP8418_023180	RSBDBR229_00956
XFCFBP8418_024030	RSBDBR229_04158
XFCFBP8418_025120	RSBDBR229_02003
XFCFBP8418_006600	RSBDBR229_03001
XFCFBP8418_003330	RSBDBR229_02889
XFCFBP8418_005750	RSBDBR229_01429
XFCFBP8418_003570	RSBDBR229_00361
XFCFBP8418_004660	RSBDBR229_03788
XFCFBP8418_005990	RSBDBR229_01316
XFCFBP8418_027300	RSBDBR229_01436
XFCFBP8418_012290	RSBDBR229_01897
XFCFBP8418_016890	RSBDBR229_04436
XFCFBP8418_013140	RSBDBR229_02963
XFCFBP8418_015560	RSBDBR229_03022
XFCFBP8418_017980	RSBDBR229_03395
XFCFBP8418_003580	RSBDBR229_00360
XFCFBP8418_001160	RSBDBR229_04030
XFCFBP8418_026440	RSBDBR229_01728
XFCFBP8418_006610	RSBDBR229_03004
XFCFBP8418_027770	RSBDBR229_04638
XFCFBP8418_003100	RSBDBR229_00478
XFCFBP8418_004670	RSBDBR229_03805
XFCFBP8418_005760	RSBDBR229_01431
XFCFBP8418_017990	RSBDBR229_03396
XFCFBP8418_014480	RSBDBR229_04178
XFCFBP8418_020920	RSBDBR229_01434
XFCFBP8418_014240	RSBDBR229_03321
XFCFBP8418_004680	RSBDBR229_03804
XFCFBP8418_026470	RSBDBR229_01725
XFCFBP8418_026230	RSBDBR229_03183
XFCFBP8418_014490	RSBDBR229_02827
XFCFBP8418_015580	RSBDBR229_03021
XFCFBP8418_016430	RSBDBR229_04638
XFCFBP8418_015100	RSBDBR229_01885
XFCFBP8418_004690	RSBDBR229_03803
XFCFBP8418_005780	RSBDBR229_01434
XFCFBP8418_003360	RSBDBR229_03781
XFCFBP8418_026460	RSBDBR229_01726
XFCFBP8418_024040	RSBDBR229_01016
XFCFBP8418_025370	RSBDBR229_00003
XFCFBP8418_023190	RSBDBR229_00955
XFCFBP8418_026220	RSBDBR229_03181
XFCFBP8418_004450	RSBDBR229_03260
XFCFBP8418_027310	RSBDBR229_01434
XFCFBP8418_015350	RSBDBR229_00504
XFCFBP8418_020700	RSBDBR229_02952
XFCFBP8418_019710	RSBDBR229_02629
XFCFBP8418_002280	RSBDBR229_02738
XFCFBP8418_005790	RSBDBR229_01436
XFCFBP8418_027340	RSBDBR229_01429
XFCFBP8418_026250	RSBDBR229_03180
XFCFBP8418_009910	RSBDBR229_01228
XFCFBP8418_005310	RSBDBR229_01974
XFCFBP8418_004220	RSBDBR229_02604
XFCFBP8418_012090	RSBDBR229_01891
XFCFBP8418_020930	RSBDBR229_01436
XFCFBP8418_015120	RSBDBR229_01883
XFCFBP8418_007740	RSBDBR229_03023
XFCFBP8418_008830	RSBDBR229_01347
XFCFBP8418_009920	RSBDBR229_01229
XFCFBP8418_003380	RSBDBR229_01156
XFCFBP8418_026240	RSBDBR229_03182
XFCFBP8418_025390	RSBDBR229_02719
XFCFBP8418_027330	RSBDBR229_01431
XFCFBP8418_006650	RSBDBR229_01128
XFCFBP8418_016460	RSBDBR229_00355
XFCFBP8418_020720	RSBDBR229_02959
XFCFBP8418_013190	RSBDBR229_03313
XFCFBP8418_006660	RSBDBR229_03800
XFCFBP8418_003150	RSBDBR229_03681
XFCFBP8418_026270	RSBDBR229_04250
XFCFBP8418_004000	RSBDBR229_02041
XFCFBP8418_020950	RSBDBR229_01437
XFCFBP8418_014290	RSBDBR229_04445
XFCFBP8418_019500	RSBDBR229_03179
XFCFBP8418_009940	RSBDBR229_00078
XFCFBP8418_004250	RSBDBR229_01132
XFCFBP8418_007520	RSBDBR229_01957
XFCFBP8418_026260	RSBDBR229_04251
XFCFBP8418_016360	RSBDBR229_00857
XFCFBP8418_016360	RSBDBR229_04609
XFCFBP8418_015270	RSBDBR229_01302
XFCFBP8418_017690	RSBDBR229_00365
XFCFBP8418_015030	RSBDBR229_03192
XFCFBP8418_018300	RSBDBR229_02660
XFCFBP8418_018300	RSBDBR229_02661
XFCFBP8418_004140	RSBDBR229_03895
XFCFBP8418_005230	RSBDBR229_01580
XFCFBP8418_007410	RSBDBR229_01860
XFCFBP8418_003050	RSBDBR229_04691
XFCFBP8418_006320	RSBDBR229_02662
XFCFBP8418_007650	RSBDBR229_02860
XFCFBP8418_016370	RSBDBR229_03016
XFCFBP8418_018790	RSBDBR229_03381
XFCFBP8418_020850	RSBDBR229_00138
XFCFBP8418_014190	RSBDBR229_00001
XFCFBP8418_005240	RSBDBR229_01579
XFCFBP8418_009840	RSBDBR229_02801
XFCFBP8418_009600	RSBDBR229_00285
XFCFBP8418_004150	RSBDBR229_00570
XFCFBP8418_008750	RSBDBR229_01391
XFCFBP8418_005000	RSBDBR229_01722
XFCFBP8418_015050	RSBDBR229_04241
XFCFBP8418_019650	RSBDBR229_00863
XFCFBP8418_020400	RSBDBR229_03174
XFCFBP8418_016380	RSBDBR229_04643
XFCFBP8418_023910	RSBDBR229_04159
XFCFBP8418_008520	RSBDBR229_01826
XFCFBP8418_005010	RSBDBR229_01723
XFCFBP8418_006340	RSBDBR229_00102
XFCFBP8418_005250	RSBDBR229_02042
XFCFBP8418_004160	RSBDBR229_02871
XFCFBP8418_027280	RSBDBR229_01437
XFCFBP8418_011920	RSBDBR229_00763
XFCFBP8418_011920	RSBDBR229_00762
XFCFBP8418_007670	RSBDBR229_04154
XFCFBP8418_009850	RSBDBR229_04524
XFCFBP8418_019420	RSBDBR229_04306
XFCFBP8418_020870	RSBDBR229_03680
XFCFBP8418_018570	RSBDBR229_04291
XFCFBP8418_020630	RSBDBR229_04433
XFCFBP8418_023900	RSBDBR229_04161
XFCFBP8418_016390	RSBDBR229_04642
XFCFBP8418_006110	RSBDBR229_04182
XFCFBP8418_011930	RSBDBR229_02709
XFCFBP8418_006590	RSBDBR229_04258
XFCFBP8418_004170	RSBDBR229_02870
XFCFBP8418_007680	RSBDBR229_00186
XFCFBP8418_008530	RSBDBR229_03166
XFCFBP8418_009860	RSBDBR229_01558
XFCFBP8418_020420	RSBDBR229_00382
XFCFBP8418_023930	RSBDBR229_01536
XFCFBP8418_017010	RSBDBR229_00935
XFCFBP8418_019430	RSBDBR229_04305
XFCFBP8418_021510	RSBDBR229_04471
XFCFBP8418_019670	RSBDBR229_03019
XFCFBP8418_018340	RSBDBR229_01032
XFCFBP8418_015070	RSBDBR229_04239
XFCFBP8418_011940	RSBDBR229_02690
XFCFBP8418_006360	RSBDBR229_02892
XFCFBP8418_004180	RSBDBR229_03314
XFCFBP8418_007690	RSBDBR229_00185
XFCFBP8418_008780	RSBDBR229_03731
XFCFBP8418_009870	RSBDBR229_00869
XFCFBP8418_018110	RSBDBR229_00351
XFCFBP8418_021500	RSBDBR229_04470
XFCFBP8418_019440	RSBDBR229_04304
XFCFBP8418_020410	RSBDBR229_03173
XFCFBP8418_019680	RSBDBR229_03695
XFCFBP8418_015080	RSBDBR229_04238
XFCFBP8418_005040	RSBDBR229_04494
XFCFBP8418_006370	RSBDBR229_00611
XFCFBP8418_007460	RSBDBR229_01320
XFCFBP8418_009880	RSBDBR229_00868
XFCFBP8418_008550	RSBDBR229_00599
XFCFBP8418_009640	RSBDBR229_04177
XFCFBP8418_023710	RSBDBR229_03534
XFCFBP8418_023710	RSBDBR229_02065
XFCFBP8418_023950	RSBDBR229_04313
XFCFBP8418_019450	RSBDBR229_04303
XFCFBP8418_017270	RSBDBR229_01958
XFCFBP8418_015090	RSBDBR229_01896
XFCFBP8418_000830	RSBDBR229_03167
XFCFBP8418_011970	RSBDBR229_00765
XFCFBP8418_011720	RSBDBR229_01042
XFCFBP8418_010630	RSBDBR229_01630
XFCFBP8418_011960	RSBDBR229_00766
XFCFBP8418_006380	RSBDBR229_00612
XFCFBP8418_007470	RSBDBR229_00010
XFCFBP8418_023960	RSBDBR229_04314
XFCFBP8418_021520	RSBDBR229_04472
XFCFBP8418_020430	RSBDBR229_03911
XFCFBP8418_023700	RSBDBR229_03535
XFCFBP8418_023700	RSBDBR229_02066
XFCFBP8418_019220	RSBDBR229_03165
XFCFBP8418_018130	RSBDBR229_00354
XFCFBP8418_000840	RSBDBR229_00363
XFCFBP8418_017040	RSBDBR229_03381
XFCFBP8418_010890	RSBDBR229_02998
XFCFBP8418_011730	RSBDBR229_01041
XFCFBP8418_010640	RSBDBR229_01631
XFCFBP8418_006150	RSBDBR229_01957
XFCFBP8418_012820	RSBDBR229_02943
XFCFBP8418_012820	RSBDBR229_02922
XFCFBP8418_007480	RSBDBR229_01322
XFCFBP8418_007240	RSBDBR229_01638
XFCFBP8418_024820	RSBDBR229_01900
XFCFBP8418_023730	RSBDBR229_04229
XFCFBP8418_019230	RSBDBR229_03730
XFCFBP8418_017050	RSBDBR229_03380
XFCFBP8418_000610	RSBDBR229_00828
XFCFBP8418_018380	RSBDBR229_03139
XFCFBP8418_011750	RSBDBR229_01040
XFCFBP8418_010660	RSBDBR229_01632
XFCFBP8418_011990	RSBDBR229_03818
XFCFBP8418_009670	RSBDBR229_01567
XFCFBP8418_007250	RSBDBR229_01637
XFCFBP8418_021560	RSBDBR229_02405
XFCFBP8418_023740	RSBDBR229_04230
XFCFBP8418_021320	RSBDBR229_04610
XFCFBP8418_021320	RSBDBR229_03325
XFCFBP8418_021300	RSBDBR229_01917
XFCFBP8418_020210	RSBDBR229_00823
XFCFBP8418_019240	RSBDBR229_01166
XFCFBP8418_019480	RSBDBR229_02997
XFCFBP8418_018390	RSBDBR229_03140
XFCFBP8418_012850	RSBDBR229_00316
XFCFBP8418_011760	RSBDBR229_01039
XFCFBP8418_011510	RSBDBR229_04290
XFCFBP8418_012840	RSBDBR229_02786
XFCFBP8418_012600	RSBDBR229_02651
XFCFBP8418_007260	RSBDBR229_02634
XFCFBP8418_000870	RSBDBR229_00802
XFCFBP8418_023970	RSBDBR229_04317
XFCFBP8418_008110	RSBDBR229_04391
XFCFBP8418_020220	RSBDBR229_00823
XFCFBP8418_021550	RSBDBR229_03071
XFCFBP8418_023510	RSBDBR229_02916
XFCFBP8418_002810	RSBDBR229_03062
XFCFBP8418_003900	RSBDBR229_01024
XFCFBP8418_000630	RSBDBR229_00139
XFCFBP8418_019490	RSBDBR229_02765
XFCFBP8418_012860	RSBDBR229_00315
XFCFBP8418_011530	RSBDBR229_03127
XFCFBP8418_010440	RSBDBR229_00866
XFCFBP8418_011770	RSBDBR229_01038
XFCFBP8418_010680	RSBDBR229_02388
XFCFBP8418_011520	RSBDBR229_04291
XFCFBP8418_000880	RSBDBR229_00800
XFCFBP8418_009690	RSBDBR229_01808
XFCFBP8418_000640	RSBDBR229_02635
XFCFBP8418_025940	RSBDBR229_04486
XFCFBP8418_022430	RSBDBR229_01913
XFCFBP8418_024850	RSBDBR229_01903
XFCFBP8418_023520	RSBDBR229_02917
XFCFBP8418_021100	RSBDBR229_04271
XFCFBP8418_024830	RSBDBR229_01901
XFCFBP8418_023500	RSBDBR229_02915
XFCFBP8418_000400	RSBDBR229_00322
XFCFBP8418_003910	RSBDBR229_01881
XFCFBP8418_001730	RSBDBR229_04402
XFCFBP8418_012870	RSBDBR229_00314
XFCFBP8418_010210	RSBDBR229_00555
XFCFBP8418_011540	RSBDBR229_03128
XFCFBP8418_011780	RSBDBR229_01037
XFCFBP8418_012620	RSBDBR229_04214
XFCFBP8418_007280	RSBDBR229_01652
XFCFBP8418_000890	RSBDBR229_03691
XFCFBP8418_023750	RSBDBR229_01093
XFCFBP8418_021570	RSBDBR229_02406
XFCFBP8418_025710	RSBDBR229_02241
XFCFBP8418_026800	RSBDBR229_01588
XFCFBP8418_002830	RSBDBR229_00045
XFCFBP8418_003920	RSBDBR229_00336
XFCFBP8418_007290	RSBDBR229_01650
XFCFBP8418_011790	RSBDBR229_01036
XFCFBP8418_012640	RSBDBR229_02312
XFCFBP8418_011310	RSBDBR229_02734
XFCFBP8418_010460	RSBDBR229_00435
XFCFBP8418_011300	RSBDBR229_02733
XFCFBP8418_000660	RSBDBR229_03922
XFCFBP8418_018180	RSBDBR229_00398
XFCFBP8418_002840	RSBDBR229_00046
XFCFBP8418_023780	RSBDBR229_01345
XFCFBP8418_020270	RSBDBR229_02845
XFCFBP8418_025720	RSBDBR229_02242
XFCFBP8418_022210	RSBDBR229_01552
XFCFBP8418_023300	RSBDBR229_02893
XFCFBP8418_024870	RSBDBR229_01905
XFCFBP8418_023540	RSBDBR229_02919
XFCFBP8418_025700	RSBDBR229_02240
XFCFBP8418_024610	RSBDBR229_04475
XFCFBP8418_001510	RSBDBR229_03917
XFCFBP8418_012650	RSBDBR229_03618
XFCFBP8418_012410	RSBDBR229_00353
XFCFBP8418_012890	RSBDBR229_00312
XFCFBP8418_011560	RSBDBR229_03717
XFCFBP8418_002850	RSBDBR229_00055
XFCFBP8418_000670	RSBDBR229_02102
XFCFBP8418_020260	RSBDBR229_02844
XFCFBP8418_024620	RSBDBR229_04476
XFCFBP8418_023530	RSBDBR229_02918
XFCFBP8418_025950	RSBDBR229_02741
XFCFBP8418_025950	RSBDBR229_00789
XFCFBP8418_022200	RSBDBR229_00883
XFCFBP8418_021350	RSBDBR229_04121
XFCFBP8418_022440	RSBDBR229_01914
XFCFBP8418_027910	RSBDBR229_04519
XFCFBP8418_027910	RSBDBR229_00013
XFCFBP8418_002610	RSBDBR229_01383
XFCFBP8418_003700	RSBDBR229_02804
XFCFBP8418_019050	RSBDBR229_01958
XFCFBP8418_011330	RSBDBR229_02736
XFCFBP8418_003950	RSBDBR229_00088
XFCFBP8418_024890	RSBDBR229_01908
XFCFBP8418_023560	RSBDBR229_02921
XFCFBP8418_002620	RSBDBR229_01384
XFCFBP8418_022230	RSBDBR229_01549
XFCFBP8418_023320	RSBDBR229_02895
XFCFBP8418_026810	RSBDBR229_02625
XFCFBP8418_027900	RSBDBR229_00012
XFCFBP8418_027900	RSBDBR229_04520
XFCFBP8418_003710	RSBDBR229_02803
XFCFBP8418_004800	RSBDBR229_03329
XFCFBP8418_004800	RSBDBR229_01301
XFCFBP8418_011580	RSBDBR229_01138
XFCFBP8418_011100	RSBDBR229_03861
XFCFBP8418_024880	RSBDBR229_01907
XFCFBP8418_023790	RSBDBR229_01346
XFCFBP8418_003720	RSBDBR229_02802
XFCFBP8418_022460	RSBDBR229_04232
XFCFBP8418_002870	RSBDBR229_03212
XFCFBP8418_000210	RSBDBR229_04402
XFCFBP8418_002630	RSBDBR229_01385
XFCFBP8418_021370	RSBDBR229_01635
XFCFBP8418_009020	RSBDBR229_00935
XFCFBP8418_023310	RSBDBR229_02894
XFCFBP8418_025730	RSBDBR229_02243
XFCFBP8418_023550	RSBDBR229_02920
XFCFBP8418_022220	RSBDBR229_01551
XFCFBP8418_025970	RSBDBR229_02829
