XFCFBP8418_010140	RSCFB2957_00904
XFCFBP8418_013120	RSCFB2957_03057
XFCFBP8418_014210	RSCFB2957_03224
XFCFBP8418_015540	RSCFB2957_00136
XFCFBP8418_000290	RSCFB2957_00732
XFCFBP8418_023390	RSCFB2957_02811
XFCFBP8418_026420	RSCFB2957_01976
XFCFBP8418_024000	RSCFB2957_02131
XFCFBP8418_006830	RSCFB2957_02746
XFCFBP8418_005980	RSCFB2957_02123
XFCFBP8418_015790	RSCFB2957_01392
XFCFBP8418_012280	RSCFB2957_01374
XFCFBP8418_013370	RSCFB2957_02498
XFCFBP8418_011190	RSCFB2957_02634
XFCFBP8418_016400	RSCFB2957_00733
XFCFBP8418_012040	RSCFB2957_00831
XFCFBP8418_014460	RSCFB2957_00524
XFCFBP8418_014460	RSCFB2957_00523
XFCFBP8418_015550	RSCFB2957_00147
XFCFBP8418_016880	RSCFB2957_00426
XFCFBP8418_015310	RSCFB2957_02267
XFCFBP8418_025360	RSCFB2957_00051
XFCFBP8418_023180	RSCFB2957_01633
XFCFBP8418_024030	RSCFB2957_00956
XFCFBP8418_025120	RSCFB2957_01417
XFCFBP8418_006600	RSCFB2957_00476
XFCFBP8418_003330	RSCFB2957_02796
XFCFBP8418_003570	RSCFB2957_00303
XFCFBP8418_004660	RSCFB2957_02295
XFCFBP8418_005990	RSCFB2957_02124
XFCFBP8418_012290	RSCFB2957_01373
XFCFBP8418_016890	RSCFB2957_01868
XFCFBP8418_013140	RSCFB2957_02869
XFCFBP8418_015560	RSCFB2957_00456
XFCFBP8418_017980	RSCFB2957_03302
XFCFBP8418_003580	RSCFB2957_00304
XFCFBP8418_001160	RSCFB2957_04240
XFCFBP8418_000070	RSCFB2957_03766
XFCFBP8418_026440	RSCFB2957_01270
XFCFBP8418_006610	RSCFB2957_00473
XFCFBP8418_027770	RSCFB2957_00736
XFCFBP8418_003100	RSCFB2957_00148
XFCFBP8418_004670	RSCFB2957_02312
XFCFBP8418_017990	RSCFB2957_03303
XFCFBP8418_014480	RSCFB2957_00936
XFCFBP8418_014240	RSCFB2957_03223
XFCFBP8418_004680	RSCFB2957_02311
XFCFBP8418_000080	RSCFB2957_03766
XFCFBP8418_001170	RSCFB2957_04512
XFCFBP8418_026470	RSCFB2957_01267
XFCFBP8418_026230	RSCFB2957_00684
XFCFBP8418_014490	RSCFB2957_02736
XFCFBP8418_015580	RSCFB2957_00457
XFCFBP8418_016430	RSCFB2957_00736
XFCFBP8418_015100	RSCFB2957_01361
XFCFBP8418_004690	RSCFB2957_02310
XFCFBP8418_000090	RSCFB2957_03767
XFCFBP8418_003360	RSCFB2957_02288
XFCFBP8418_026460	RSCFB2957_01268
XFCFBP8418_024040	RSCFB2957_01751
XFCFBP8418_025370	RSCFB2957_00003
XFCFBP8418_023190	RSCFB2957_01634
XFCFBP8418_026220	RSCFB2957_00682
XFCFBP8418_015350	RSCFB2957_00172
XFCFBP8418_020700	RSCFB2957_02859
XFCFBP8418_019710	RSCFB2957_02554
XFCFBP8418_002280	RSCFB2957_02651
XFCFBP8418_001190	RSCFB2957_03595
XFCFBP8418_026250	RSCFB2957_00681
XFCFBP8418_009910	RSCFB2957_03446
XFCFBP8418_004220	RSCFB2957_02529
XFCFBP8418_012090	RSCFB2957_01367
XFCFBP8418_015120	RSCFB2957_01358
XFCFBP8418_007740	RSCFB2957_00455
XFCFBP8418_008830	RSCFB2957_02094
XFCFBP8418_009920	RSCFB2957_03447
XFCFBP8418_003380	RSCFB2957_02411
XFCFBP8418_026240	RSCFB2957_00683
XFCFBP8418_025390	RSCFB2957_02632
XFCFBP8418_006650	RSCFB2957_02439
XFCFBP8418_016460	RSCFB2957_00309
XFCFBP8418_020720	RSCFB2957_02866
XFCFBP8418_013190	RSCFB2957_03076
XFCFBP8418_006660	RSCFB2957_02307
XFCFBP8418_003150	RSCFB2957_02184
XFCFBP8418_026270	RSCFB2957_00854
XFCFBP8418_004000	RSCFB2957_01454
XFCFBP8418_014290	RSCFB2957_01875
XFCFBP8418_019500	RSCFB2957_00680
XFCFBP8418_009940	RSCFB2957_00080
XFCFBP8418_004250	RSCFB2957_02435
XFCFBP8418_004250	RSCFB2957_02434
XFCFBP8418_007520	RSCFB2957_03804
XFCFBP8418_007520	RSCFB2957_04983
XFCFBP8418_026260	RSCFB2957_00853
XFCFBP8418_016360	RSCFB2957_01677
XFCFBP8418_016360	RSCFB2957_04336
XFCFBP8418_015270	RSCFB2957_02137
XFCFBP8418_017690	RSCFB2957_00299
XFCFBP8418_015030	RSCFB2957_00692
XFCFBP8418_013090	RSCFB2957_04810
XFCFBP8418_018300	RSCFB2957_02574
XFCFBP8418_004140	RSCFB2957_00785
XFCFBP8418_005230	RSCFB2957_01128
XFCFBP8418_008740	RSCFB2957_04236
XFCFBP8418_007410	RSCFB2957_01339
XFCFBP8418_003050	RSCFB2957_04908
XFCFBP8418_006320	RSCFB2957_02575
XFCFBP8418_007650	RSCFB2957_02767
XFCFBP8418_016370	RSCFB2957_00462
XFCFBP8418_018790	RSCFB2957_03279
XFCFBP8418_020850	RSCFB2957_03101
XFCFBP8418_014190	RSCFB2957_00001
XFCFBP8418_005240	RSCFB2957_01127
XFCFBP8418_009840	RSCFB2957_02714
XFCFBP8418_009600	RSCFB2957_00379
XFCFBP8418_004150	RSCFB2957_03947
XFCFBP8418_008750	RSCFB2957_02036
XFCFBP8418_005000	RSCFB2957_01264
XFCFBP8418_015050	RSCFB2957_00874
XFCFBP8418_019650	RSCFB2957_01674
XFCFBP8418_020400	RSCFB2957_00675
XFCFBP8418_016380	RSCFB2957_00731
XFCFBP8418_023910	RSCFB2957_00955
XFCFBP8418_019410	RSCFB2957_04760
XFCFBP8418_008520	RSCFB2957_01313
XFCFBP8418_005010	RSCFB2957_01265
XFCFBP8418_006340	RSCFB2957_00104
XFCFBP8418_005250	RSCFB2957_01455
XFCFBP8418_004160	RSCFB2957_02778
XFCFBP8418_011920	RSCFB2957_00524
XFCFBP8418_011920	RSCFB2957_00523
XFCFBP8418_007670	RSCFB2957_00960
XFCFBP8418_009850	RSCFB2957_04065
XFCFBP8418_019420	RSCFB2957_01794
XFCFBP8418_020870	RSCFB2957_02176
XFCFBP8418_018570	RSCFB2957_01780
XFCFBP8418_020630	RSCFB2957_01866
XFCFBP8418_023900	RSCFB2957_00953
XFCFBP8418_016390	RSCFB2957_00732
XFCFBP8418_006110	RSCFB2957_00932
XFCFBP8418_011930	RSCFB2957_02622
XFCFBP8418_006590	RSCFB2957_00846
XFCFBP8418_004170	RSCFB2957_02777
XFCFBP8418_007680	RSCFB2957_03146
XFCFBP8418_008530	RSCFB2957_00666
XFCFBP8418_009860	RSCFB2957_01103
XFCFBP8418_020420	RSCFB2957_00283
XFCFBP8418_023930	RSCFB2957_01082
XFCFBP8418_017010	RSCFB2957_01060
XFCFBP8418_019430	RSCFB2957_01793
XFCFBP8418_021510	RSCFB2957_01900
XFCFBP8418_019670	RSCFB2957_00459
XFCFBP8418_018340	RSCFB2957_01735
XFCFBP8418_015070	RSCFB2957_00876
XFCFBP8418_011940	RSCFB2957_02603
XFCFBP8418_006360	RSCFB2957_02799
XFCFBP8418_004180	RSCFB2957_03077
XFCFBP8418_007690	RSCFB2957_03145
XFCFBP8418_008780	RSCFB2957_02238
XFCFBP8418_009870	RSCFB2957_01668
XFCFBP8418_018110	RSCFB2957_00313
XFCFBP8418_021500	RSCFB2957_01899
XFCFBP8418_019440	RSCFB2957_01792
XFCFBP8418_020410	RSCFB2957_00674
XFCFBP8418_019680	RSCFB2957_02197
XFCFBP8418_015080	RSCFB2957_00877
XFCFBP8418_005040	RSCFB2957_01923
XFCFBP8418_006370	RSCFB2957_00633
XFCFBP8418_007460	RSCFB2957_02120
XFCFBP8418_009880	RSCFB2957_01669
XFCFBP8418_008550	RSCFB2957_03975
XFCFBP8418_009640	RSCFB2957_00937
XFCFBP8418_023710	RSCFB2957_00617
XFCFBP8418_023710	RSCFB2957_03481
XFCFBP8418_023950	RSCFB2957_01802
XFCFBP8418_019450	RSCFB2957_01791
XFCFBP8418_015090	RSCFB2957_01372
XFCFBP8418_000830	RSCFB2957_00667
XFCFBP8418_011970	RSCFB2957_00521
XFCFBP8418_011720	RSCFB2957_01725
XFCFBP8418_010630	RSCFB2957_01179
XFCFBP8418_011960	RSCFB2957_00520
XFCFBP8418_006380	RSCFB2957_00634
XFCFBP8418_007470	RSCFB2957_00012
XFCFBP8418_023960	RSCFB2957_01803
XFCFBP8418_021520	RSCFB2957_01901
XFCFBP8418_020430	RSCFB2957_00770
XFCFBP8418_023700	RSCFB2957_00618
XFCFBP8418_023700	RSCFB2957_02011
XFCFBP8418_019220	RSCFB2957_00665
XFCFBP8418_018130	RSCFB2957_00310
XFCFBP8418_000840	RSCFB2957_00301
XFCFBP8418_017040	RSCFB2957_03279
XFCFBP8418_010890	RSCFB2957_00479
XFCFBP8418_011730	RSCFB2957_01726
XFCFBP8418_010640	RSCFB2957_01180
XFCFBP8418_006150	RSCFB2957_03804
XFCFBP8418_006150	RSCFB2957_04983
XFCFBP8418_012820	RSCFB2957_02829
XFCFBP8418_012820	RSCFB2957_02850
XFCFBP8418_007480	RSCFB2957_02118
XFCFBP8418_007240	RSCFB2957_01187
XFCFBP8418_024820	RSCFB2957_01376
XFCFBP8418_023730	RSCFB2957_00886
XFCFBP8418_019230	RSCFB2957_02237
XFCFBP8418_017050	RSCFB2957_03278
XFCFBP8418_000610	RSCFB2957_01706
XFCFBP8418_018380	RSCFB2957_00387
XFCFBP8418_011750	RSCFB2957_01727
XFCFBP8418_010660	RSCFB2957_01181
XFCFBP8418_011990	RSCFB2957_04369
XFCFBP8418_009670	RSCFB2957_01112
XFCFBP8418_007250	RSCFB2957_01186
XFCFBP8418_021560	RSCFB2957_04471
XFCFBP8418_023740	RSCFB2957_00885
XFCFBP8418_021320	RSCFB2957_03227
XFCFBP8418_021320	RSCFB2957_02346
XFCFBP8418_021300	RSCFB2957_01393
XFCFBP8418_020210	RSCFB2957_01711
XFCFBP8418_023720	RSCFB2957_02010
XFCFBP8418_023720	RSCFB2957_00616
XFCFBP8418_019240	RSCFB2957_02400
XFCFBP8418_019480	RSCFB2957_00480
XFCFBP8418_018390	RSCFB2957_00386
XFCFBP8418_012850	RSCFB2957_00348
XFCFBP8418_011760	RSCFB2957_01728
XFCFBP8418_011510	RSCFB2957_01779
XFCFBP8418_012840	RSCFB2957_02699
XFCFBP8418_012600	RSCFB2957_02565
XFCFBP8418_007260	RSCFB2957_02559
XFCFBP8418_000870	RSCFB2957_00486
XFCFBP8418_023970	RSCFB2957_01805
XFCFBP8418_008110	RSCFB2957_03845
XFCFBP8418_008110	RSCFB2957_03776
XFCFBP8418_008110	RSCFB2957_05018
XFCFBP8418_020220	RSCFB2957_01711
XFCFBP8418_021550	RSCFB2957_00409
XFCFBP8418_023510	RSCFB2957_02823
XFCFBP8418_002810	RSCFB2957_00418
XFCFBP8418_003900	RSCFB2957_01743
XFCFBP8418_000630	RSCFB2957_03102
XFCFBP8418_019490	RSCFB2957_02678
XFCFBP8418_012860	RSCFB2957_00349
XFCFBP8418_011530	RSCFB2957_00398
XFCFBP8418_010440	RSCFB2957_01671
XFCFBP8418_011770	RSCFB2957_01729
XFCFBP8418_010680	RSCFB2957_04451
XFCFBP8418_011520	RSCFB2957_01780
XFCFBP8418_000880	RSCFB2957_00488
XFCFBP8418_009690	RSCFB2957_01295
XFCFBP8418_000640	RSCFB2957_02560
XFCFBP8418_025940	RSCFB2957_01915
XFCFBP8418_022430	RSCFB2957_01389
XFCFBP8418_024850	RSCFB2957_01379
XFCFBP8418_023520	RSCFB2957_02824
XFCFBP8418_021100	RSCFB2957_00833
XFCFBP8418_024830	RSCFB2957_01377
XFCFBP8418_023500	RSCFB2957_02822
XFCFBP8418_000400	RSCFB2957_00341
XFCFBP8418_003910	RSCFB2957_01356
XFCFBP8418_001730	RSCFB2957_01842
XFCFBP8418_012870	RSCFB2957_00350
XFCFBP8418_010210	RSCFB2957_03934
XFCFBP8418_011540	RSCFB2957_00397
XFCFBP8418_011780	RSCFB2957_01730
XFCFBP8418_012620	RSCFB2957_00901
XFCFBP8418_007280	RSCFB2957_01201
XFCFBP8418_000890	RSCFB2957_02194
XFCFBP8418_023750	RSCFB2957_02474
XFCFBP8418_021570	RSCFB2957_04472
XFCFBP8418_025710	RSCFB2957_01968
XFCFBP8418_026800	RSCFB2957_01136
XFCFBP8418_002830	RSCFB2957_00047
XFCFBP8418_003920	RSCFB2957_00329
XFCFBP8418_007290	RSCFB2957_01199
XFCFBP8418_011790	RSCFB2957_01731
XFCFBP8418_012640	RSCFB2957_01548
XFCFBP8418_013730	RSCFB2957_04958
XFCFBP8418_011310	RSCFB2957_02647
XFCFBP8418_010460	RSCFB2957_00231
XFCFBP8418_011300	RSCFB2957_02646
XFCFBP8418_000660	RSCFB2957_00762
XFCFBP8418_018180	RSCFB2957_00265
XFCFBP8418_002840	RSCFB2957_00048
XFCFBP8418_023780	RSCFB2957_02096
XFCFBP8418_020270	RSCFB2957_02753
XFCFBP8418_025720	RSCFB2957_01969
XFCFBP8418_022210	RSCFB2957_01097
XFCFBP8418_023300	RSCFB2957_02800
XFCFBP8418_024870	RSCFB2957_01381
XFCFBP8418_023540	RSCFB2957_02826
XFCFBP8418_025700	RSCFB2957_01967
XFCFBP8418_024610	RSCFB2957_01904
XFCFBP8418_001510	RSCFB2957_00766
XFCFBP8418_003930	RSCFB2957_03466
XFCFBP8418_012650	RSCFB2957_04728
XFCFBP8418_012410	RSCFB2957_00311
XFCFBP8418_012890	RSCFB2957_00352
XFCFBP8418_011560	RSCFB2957_02223
XFCFBP8418_002850	RSCFB2957_00057
XFCFBP8418_000670	RSCFB2957_04635
XFCFBP8418_020260	RSCFB2957_02752
XFCFBP8418_024620	RSCFB2957_01905
XFCFBP8418_023530	RSCFB2957_02825
XFCFBP8418_025950	RSCFB2957_00499
XFCFBP8418_025950	RSCFB2957_02654
XFCFBP8418_022200	RSCFB2957_01652
XFCFBP8418_021350	RSCFB2957_00993
XFCFBP8418_022440	RSCFB2957_01390
XFCFBP8418_027910	RSCFB2957_04069
XFCFBP8418_027910	RSCFB2957_00015
XFCFBP8418_002610	RSCFB2957_02044
XFCFBP8418_003700	RSCFB2957_02717
XFCFBP8418_011330	RSCFB2957_02649
XFCFBP8418_003950	RSCFB2957_00091
XFCFBP8418_024890	RSCFB2957_01384
XFCFBP8418_023560	RSCFB2957_02828
XFCFBP8418_002620	RSCFB2957_02043
XFCFBP8418_022230	RSCFB2957_01094
XFCFBP8418_023320	RSCFB2957_02802
XFCFBP8418_026810	RSCFB2957_02550
XFCFBP8418_027900	RSCFB2957_04068
XFCFBP8418_027900	RSCFB2957_03519
XFCFBP8418_027900	RSCFB2957_00014
XFCFBP8418_003710	RSCFB2957_02716
XFCFBP8418_004800	RSCFB2957_03231
XFCFBP8418_004800	RSCFB2957_02138
XFCFBP8418_011580	RSCFB2957_02428
XFCFBP8418_011100	RSCFB2957_03753
XFCFBP8418_024880	RSCFB2957_01383
XFCFBP8418_023790	RSCFB2957_02095
XFCFBP8418_003720	RSCFB2957_02715
XFCFBP8418_022460	RSCFB2957_00883
XFCFBP8418_002870	RSCFB2957_00133
XFCFBP8418_000210	RSCFB2957_01842
XFCFBP8418_002630	RSCFB2957_02042
XFCFBP8418_021370	RSCFB2957_01184
XFCFBP8418_009020	RSCFB2957_01060
XFCFBP8418_023310	RSCFB2957_02801
XFCFBP8418_025730	RSCFB2957_01970
XFCFBP8418_023550	RSCFB2957_02827
XFCFBP8418_022220	RSCFB2957_01096
XFCFBP8418_025970	RSCFB2957_02738
