H16_B0626	RSBA7_02199
H16_A2233	RSBA7_01314
H16_A3564	RSBA7_02928
H16_A3563	RSBA7_02927
H16_A3599	RSBA7_02956
H16_A3599	RSBA7_00024
H16_A2268	RSBA7_01293
H16_A2267	RSBA7_01294
H16_A3598	RSBA7_02955
H16_A2269	RSBA7_01285
H16_A3591	RSBA7_02951
H16_A3590	RSBA7_02950
H16_A2262	RSBA7_01300
H16_A2261	RSBA7_01301
H16_A2264	RSBA7_01298
H16_A2263	RSBA7_01299
H16_A2266	RSBA7_01295
H16_A3596	RSBA7_01324
H16_A3596	RSBA7_02954
H16_A2265	RSBA7_01296
H16_A3588	RSBA7_02947
H16_A2256	RSBA7_03548
H16_A2259	RSBA7_00016
H16_A3580	RSBA7_02940
H16_A2251	RSBA7_01302
H16_A3582	RSBA7_02942
H16_A3581	RSBA7_02941
H16_A3583	RSBA7_02943
H16_A2255	RSBA7_03547
H16_A3585	RSBA7_02945
H16_A3533	RSBA7_03094
H16_A3532	RSBA7_02875
H16_A3535	RSBA7_04790
H16_A3535	RSBA7_04620
H16_A3535	RSBA7_02876
H16_A3534	RSBA7_03093
H16_A3537	RSBA7_02878
H16_A3536	RSBA7_02877
H16_A2208	RSBA7_01725
H16_A3539	RSBA7_02880
H16_A3538	RSBA7_02879
H16_B2483	RSBA7_01960
H16_B1152	RSBA7_02823
H16_A3531	RSBA7_02874
H16_A3530	RSBA7_02872
RALH11882	RSBA7_01948
H16_A3522	RSBA7_04185
H16_A0497	RSBA7_00507
H16_A3521	RSBA7_04186
H16_A3524	RSBA7_04183
H16_A0498	RSBA7_00508
H16_A3523	RSBA7_04184
H16_A0499	RSBA7_00509
H16_A3526	RSBA7_04173
H16_A3525	RSBA7_02861
RALH1_K20345	RSBA7_04805
H16_A3528	RSBA7_02865
H16_A3527	RSBA7_02864
H16_A3529	RSBA7_02866
H16_B2475	RSBA7_03223
H16_B1142	RSBA7_00754
H16_B2472	RSBA7_01531
H16_B2472	RSBA7_01532
H16_B2470	RSBA7_00651
H16_A0490	RSBA7_00502
H16_A0491	RSBA7_00503
H16_A0492	RSBA7_00504
RALH11891	RSBA7_03189
H16_A0493	RSBA7_00505
H16_A3520	RSBA7_04187
RALH11892	RSBA7_01695
H16_A0494	RSBA7_00506
H16_A0495	RSBA7_01773
H16_A3555	RSBA7_00801
H16_A3554	RSBA7_00019
H16_A3559	RSBA7_02841
H16_A2227	RSBA7_01320
H16_A3558	RSBA7_04128
H16_A2229	RSBA7_01317
H16_B1179	RSBA7_03729
H16_B1179	RSBA7_00033
H16_B1179	RSBA7_00761
H16_B1179	RSBA7_04924
H16_B1177	RSBA7_04553
H16_B1176	RSBA7_04552
H16_B1171	RSBA7_02132
H16_A2220	RSBA7_01321
H16_A3550	RSBA7_02997
H16_A3553	RSBA7_00626
H16_A3552	RSBA7_02903
H16_A3544	RSBA7_02886
H16_A3543	RSBA7_02884
H16_A3545	RSBA7_02888
H16_A2217	RSBA7_01326
H16_A3547	RSBA7_02893
H16_A2219	RSBA7_01324
H16_A2219	RSBA7_02954
RALH1_K21657	RSBA7_00813
H16_A2218	RSBA7_01325
H16_B2496	RSBA7_01514
H16_B1165	RSBA7_03984
H16_B2493	RSBA7_03494
H16_B2491	RSBA7_00191
H16_A3540	RSBA7_02881
H16_A3542	RSBA7_02883
H16_A3541	RSBA7_02882
H16_A0464	RSBA7_00481
H16_A0465	RSBA7_00482
H16_A0466	RSBA7_00483
H16_A0468	RSBA7_01164
H16_B2449	RSBA7_01547
H16_B1117	RSBA7_03154
H16_B2447	RSBA7_02604
H16_B1115	RSBA7_04484
H16_B1113	RSBA7_04482
H16_B1114	RSBA7_04483
H16_B1111	RSBA7_04480
H16_B1112	RSBA7_04481
H16_B1110	RSBA7_02149
H16_A0460	RSBA7_00478
H16_A0461	RSBA7_00479
H16_A0462	RSBA7_00480
H16_A0452	RSBA7_00470
H16_A0453	RSBA7_00471
H16_A1784	RSBA7_01420
H16_A0455	RSBA7_00473
H16_A0456	RSBA7_00474
H16_A0457	RSBA7_00622
H16_A1788	RSBA7_01948
H16_A1789	RSBA7_01167
H16_A0458	RSBA7_00475
H16_A0459	RSBA7_00477
H16_B2438	RSBA7_03494
H16_B1105	RSBA7_02860
H16_B2434	RSBA7_04054
H16_B2433	RSBA7_04053
H16_B1100	RSBA7_02619
H16_A1780	RSBA7_04894
H16_A0450	RSBA7_00468
H16_A0451	RSBA7_00469
H16_A0485	RSBA7_00500
H16_A0488	RSBA7_00501
H16_A0489	RSBA7_02530
H16_A3515	RSBA7_03392
H16_A3514	RSBA7_00446
H16_A3516	RSBA7_00456
H16_A3519	RSBA7_04883
H16_A3518	RSBA7_01755
H16_B2469	RSBA7_02258
H16_B1138	RSBA7_03205
H16_B2463	RSBA7_01340
H16_B2463	RSBA7_01134
H16_B2460	RSBA7_02949
RALH13649	RSBA7_02739
H16_A0480	RSBA7_00494
H16_A0481	RSBA7_00495
H16_A0482	RSBA7_00496
H16_A0483	RSBA7_00497
H16_A0484	RSBA7_00499
H16_A0474	RSBA7_00488
H16_A3500	RSBA7_02798
H16_A0475	RSBA7_03836
H16_A0475	RSBA7_02076
H16_A0475	RSBA7_00489
H16_A0475	RSBA7_03106
H16_A3502	RSBA7_02800
H16_A0476	RSBA7_00490
H16_A0477	RSBA7_04925
H16_A0477	RSBA7_03728
H16_A3501	RSBA7_02799
H16_A0478	RSBA7_00492
H16_A0479	RSBA7_00493
H16_A3503	RSBA7_02801
H16_A3505	RSBA7_02803
H16_A3505	RSBA7_02782
H16_B1124	RSBA7_01780
H16_B1124	RSBA7_02561
H16_B1125	RSBA7_01779
H16_B1125	RSBA7_02562
H16_B2455	RSBA7_02948
H16_B2454	RSBA7_02950
H16_B1123	RSBA7_04534
H16_B2452	RSBA7_01315
H16_A0470	RSBA7_00484
H16_A0471	RSBA7_00485
H16_A0472	RSBA7_02079
H16_A0472	RSBA7_00486
H16_A0473	RSBA7_00487
H16_A0420	RSBA7_00161
H16_A0421	RSBA7_00160
H16_A1753	RSBA7_01642
H16_A0422	RSBA7_00159
H16_B2409	RSBA7_04345
H16_A0423	RSBA7_00158
H16_B2408	RSBA7_04344
H16_A0424	RSBA7_00157
H16_A0425	RSBA7_01160
H16_A0425	RSBA7_03155
H16_B2407	RSBA7_04343
H16_A0426	RSBA7_00453
H16_A1757	RSBA7_01586
H16_A0427	RSBA7_00454
H16_A0428	RSBA7_04465
H16_B2400	RSBA7_02213
H16_A1744	RSBA7_01408
H16_A1744	RSBA7_03660
H16_A1744	RSBA7_02105
H16_A1744	RSBA7_02107
H16_A1744	RSBA7_03604
H16_A1744	RSBA7_04626
H16_A0414	RSBA7_02390
H16_A0415	RSBA7_02389
H16_A0416	RSBA7_02388
H16_A0417	RSBA7_02387
H16_A1749	RSBA7_00266
H16_A0418	RSBA7_02386
H16_A0419	RSBA7_02385
H16_B0691	RSBA7_04530
H16_A0441	RSBA7_00458
H16_A1772	RSBA7_03240
H16_A0442	RSBA7_00459
H16_A0443	RSBA7_00460
H16_A0443	RSBA7_00461
H16_A0444	RSBA7_00462
H16_A0445	RSBA7_00463
H16_A0446	RSBA7_00464
H16_A0447	RSBA7_00465
H16_A0448	RSBA7_00466
H16_B2428	RSBA7_04048
H16_B2427	RSBA7_04243
H16_B2427	RSBA7_04498
H16_A0449	RSBA7_00467
H16_A1770	RSBA7_04484
H16_A0440	RSBA7_00457
H16_A0430	RSBA7_04069
H16_A0430	RSBA7_04464
H16_A0432	RSBA7_04827
H16_A0433	RSBA7_01437
H16_A0434	RSBA7_01438
H16_A0435	RSBA7_01439
H16_A1766	RSBA7_02064
H16_A0436	RSBA7_01440
H16_A1768	RSBA7_04482
H16_A0437	RSBA7_01441
H16_A1769	RSBA7_04483
H16_A0438	RSBA7_01442
H16_A0439	RSBA7_01443
H16_B2413	RSBA7_00039
H16_B2412	RSBA7_00040
H16_B0668	RSBA7_01528
H16_B0666	RSBA7_02110
H16_B0667	RSBA7_01886
H16_B1998	RSBA7_01116
H16_B1995	RSBA7_00962
H16_A1716	RSBA7_01857
H16_B1996	RSBA7_02827
H16_B0663	RSBA7_02110
H16_A1701	RSBA7_01443
H16_A1706	RSBA7_05078
H16_B0651	RSBA7_02110
H16_B1983	RSBA7_04967
H16_A1709	RSBA7_03146
H16_A1709	RSBA7_02216
H16_B1980	RSBA7_02893
H16_A0400	RSBA7_00421
H16_A0401	RSBA7_00422
H16_A0402	RSBA7_00423
H16_A1733	RSBA7_04893
H16_A0403	RSBA7_03513
H16_A0403	RSBA7_03857
H16_A1734	RSBA7_02409
H16_A1735	RSBA7_00962
H16_A1737	RSBA7_04893
H16_A0406	RSBA7_03391
H16_B0686	RSBA7_03576
H16_A0407	RSBA7_00863
H16_B0684	RSBA7_01435
H16_A1720	RSBA7_01528
H16_A1721	RSBA7_01438
H16_A1722	RSBA7_01443
H16_A1723	RSBA7_01442
H16_B0676	RSBA7_01889
H16_A1729	RSBA7_01437
H16_B0673	RSBA7_03607
H16_A1910	RSBA7_01274
H16_B0864	RSBA7_02555
H16_A1915	RSBA7_01431
H16_A1916	RSBA7_01114
H16_B0860	RSBA7_00860
H16_A1917	RSBA7_01115
H16_A1919	RSBA7_01430
H16_A1909	RSBA7_01845
H16_B0859	RSBA7_02934
H16_B0858	RSBA7_01803
H16_B0856	RSBA7_04196
H16_A1901	RSBA7_00636
H16_A1901	RSBA7_02278
H16_A1903	RSBA7_03305
H16_A1904	RSBA7_03219
H16_A1905	RSBA7_01842
H16_A1905	RSBA7_03218
H16_A1906	RSBA7_03217
H16_A1906	RSBA7_01843
H16_A1907	RSBA7_03216
H16_A1908	RSBA7_03215
H16_A1930	RSBA7_04562
H16_A0600	RSBA7_03250
H16_B0889	RSBA7_01164
H16_A0602	RSBA7_02299
H16_A0603	RSBA7_02298
H16_B0886	RSBA7_04389
H16_A0604	RSBA7_02297
H16_A0605	RSBA7_02296
H16_A0606	RSBA7_02295
H16_A0607	RSBA7_02294
H16_A0608	RSBA7_02293
H16_A0609	RSBA7_02292
H16_A1920	RSBA7_01429
H16_A1921	RSBA7_01428
H16_B0877	RSBA7_05018
H16_A1922	RSBA7_01427
H16_A1923	RSBA7_01426
H16_B0875	RSBA7_05026
H16_A1924	RSBA7_01425
H16_A1925	RSBA7_01424
H16_B0873	RSBA7_05024
H16_B0874	RSBA7_05025
H16_B0874	RSBA7_00383
H16_A1926	RSBA7_03361
H16_B0871	RSBA7_01524
H16_B0828	RSBA7_01068
H16_B0825	RSBA7_01915
H16_B0825	RSBA7_01465
H16_B0820	RSBA7_03890
H16_B0819	RSBA7_03889
H16_B0817	RSBA7_01443
H16_B0818	RSBA7_03888
H16_B0848	RSBA7_04123
H16_B0849	RSBA7_01889
H16_B0843	RSBA7_03872
H16_B0835	RSBA7_00419
H16_B0834	RSBA7_01797
H16_A1079	RSBA7_01881
H16_A1070	RSBA7_01886
H16_A1071	RSBA7_02616
H16_A1072	RSBA7_02615
H16_A1073	RSBA7_02614
H16_A1074	RSBA7_02613
H16_A1075	RSBA7_01885
H16_A1076	RSBA7_01884
H16_A1077	RSBA7_01883
H16_A1078	RSBA7_01882
H16_A1068	RSBA7_01888
H16_A2399	RSBA7_01144
H16_A1069	RSBA7_01887
H16_A2390	RSBA7_03801
H16_A1060	RSBA7_01896
H16_A2392	RSBA7_01153
H16_A1061	RSBA7_01895
H16_A2391	RSBA7_01154
H16_A2394	RSBA7_01152
H16_A1062	RSBA7_01894
H16_A1063	RSBA7_01893
H16_A1064	RSBA7_01892
H16_A2396	RSBA7_01148
H16_A2395	RSBA7_01151
H16_A1065	RSBA7_01891
H16_A1066	RSBA7_01890
H16_A2398	RSBA7_01145
H16_A1067	RSBA7_01889
H16_A2397	RSBA7_01146
H16_B0806	RSBA7_03040
H16_B0804	RSBA7_03037
H16_B0805	RSBA7_03038
H16_B0802	RSBA7_01204
H16_B0803	RSBA7_05023
H16_B0801	RSBA7_05021
RALH11949	RSBA7_02261
H16_A1090	RSBA7_01868
H16_A1091	RSBA7_01867
H16_A1098	RSBA7_02620
H16_A1099	RSBA7_01860
RALH11953	RSBA7_03704
H16_A1080	RSBA7_01880
H16_A1081	RSBA7_01879
H16_A1082	RSBA7_01878
H16_A1083	RSBA7_01877
H16_A1084	RSBA7_01876
H16_A1085	RSBA7_01875
H16_A1086	RSBA7_01874
H16_A1087	RSBA7_01873
H16_A1088	RSBA7_00327
H16_A1035	RSBA7_01921
H16_A2367	RSBA7_01177
H16_A3698	RSBA7_00079
H16_A1036	RSBA7_01920
H16_A3697	RSBA7_00080
H16_A2366	RSBA7_01178
H16_A1037	RSBA7_01919
H16_A2369	RSBA7_01175
H16_A2368	RSBA7_01176
H16_A3699	RSBA7_00077
H16_A1038	RSBA7_01918
H16_A1039	RSBA7_01917
RALH11964	RSBA7_01085
H16_A3690	RSBA7_04487
H16_A2361	RSBA7_01183
H16_A2360	RSBA7_01184
H16_A1030	RSBA7_01926
H16_A2363	RSBA7_01181
H16_A1031	RSBA7_01925
H16_A3694	RSBA7_00083
H16_A1032	RSBA7_01924
H16_A2362	RSBA7_01182
H16_A1033	RSBA7_01923
H16_A2365	RSBA7_01179
H16_A3696	RSBA7_00081
H16_A2364	RSBA7_01180
H16_A1034	RSBA7_01922
H16_A3695	RSBA7_00082
H16_A3687	RSBA7_00613
H16_A1024	RSBA7_01933
H16_A2356	RSBA7_01188
H16_A1025	RSBA7_01931
H16_A2355	RSBA7_01190
H16_A3686	RSBA7_01654
H16_A2358	RSBA7_01186
H16_A1026	RSBA7_01930
H16_A1027	RSBA7_01929
H16_A2357	RSBA7_01187
H16_A1028	RSBA7_01928
H16_A2359	RSBA7_01185
H16_A1029	RSBA7_01927
RALH11977	RSBA7_04470
H16_A3681	RSBA7_03055
H16_A3680	RSBA7_03054
H16_A1020	RSBA7_01936
H16_A1020	RSBA7_01937
H16_A2352	RSBA7_04318
H16_A3682	RSBA7_03056
H16_A1021	RSBA7_02246
H16_A2351	RSBA7_04317
H16_A2354	RSBA7_01191
H16_A1022	RSBA7_01935
H16_A3685	RSBA7_03058
H16_A3684	RSBA7_03057
H16_A1023	RSBA7_01934
H16_A2353	RSBA7_01192
H16_A1057	RSBA7_01899
H16_A2389	RSBA7_01156
H16_A1058	RSBA7_01898
H16_A2388	RSBA7_01159
H16_A1059	RSBA7_01897
H16_A2381	RSBA7_01165
H16_A1050	RSBA7_01906
H16_A2380	RSBA7_01550
H16_A1051	RSBA7_01905
H16_A2383	RSBA7_01163
H16_A2382	RSBA7_01164
H16_A1052	RSBA7_01904
H16_A1053	RSBA7_01903
H16_A1054	RSBA7_01902
H16_A1055	RSBA7_01901
H16_A2387	RSBA7_01161
H16_A1056	RSBA7_01900
H16_A2386	RSBA7_01162
H16_A1046	RSBA7_01910
H16_A2378	RSBA7_01548
H16_A1047	RSBA7_01909
H16_A2377	RSBA7_01168
H16_A1048	RSBA7_01908
H16_A2379	RSBA7_01549
H16_A2370	RSBA7_01174
H16_A1040	RSBA7_01968
H16_A1041	RSBA7_01916
H16_A2371	RSBA7_01173
H16_A1042	RSBA7_01915
H16_A1042	RSBA7_01465
H16_A2374	RSBA7_01171
H16_A1043	RSBA7_01914
H16_A2373	RSBA7_01172
H16_A2376	RSBA7_01169
H16_A1044	RSBA7_01913
H16_A2375	RSBA7_01170
H16_A1045	RSBA7_01912
H16_A2323	RSBA7_01240
H16_A3654	RSBA7_04094
H16_A2322	RSBA7_01241
H16_A3653	RSBA7_04093
H16_A2325	RSBA7_01238
H16_A3656	RSBA7_03034
H16_A2324	RSBA7_01239
H16_A3655	RSBA7_03026
H16_A2327	RSBA7_01236
H16_A3658	RSBA7_03037
H16_A2326	RSBA7_01237
H16_A2329	RSBA7_01234
H16_A2328	RSBA7_01235
H16_A3659	RSBA7_03038
H16_B1279	RSBA7_03234
H16_A2321	RSBA7_01243
H16_A3652	RSBA7_04092
H16_A2320	RSBA7_01244
H16_A3643	RSBA7_03019
H16_A2312	RSBA7_01252
H16_A3642	RSBA7_03018
H16_A2311	RSBA7_01253
H16_A3645	RSBA7_03022
H16_A2314	RSBA7_01250
H16_A2313	RSBA7_01251
H16_A3644	RSBA7_03020
H16_A2316	RSBA7_01248
H16_A3647	RSBA7_03024
H16_A3646	RSBA7_03023
H16_A2315	RSBA7_01249
H16_A2318	RSBA7_01246
H16_A3648	RSBA7_03025
H16_A2317	RSBA7_01247
H16_A2319	RSBA7_01245
H16_B1267	RSBA7_03193
H16_B1268	RSBA7_03194
H16_B1261	RSBA7_05085
H16_B1261	RSBA7_05035
H16_A3641	RSBA7_03017
H16_A2310	RSBA7_01254
H16_A3640	RSBA7_03016
H16_A2345	RSBA7_01198
H16_A1013	RSBA7_01945
H16_A2344	RSBA7_01201
H16_A1014	RSBA7_01944
H16_A3675	RSBA7_03049
H16_A3678	RSBA7_03051
H16_A2347	RSBA7_01196
H16_A1015	RSBA7_01943
H16_A2346	RSBA7_01197
H16_A1016	RSBA7_01942
H16_A3677	RSBA7_03050
H16_A2349	RSBA7_01194
H16_A1017	RSBA7_01941
H16_A2348	RSBA7_01195
H16_A1018	RSBA7_01940
H16_A3679	RSBA7_03052
H16_A1019	RSBA7_01939
H16_B1299	RSBA7_03451
RALH10692	RSBA7_04330
RALH10692	RSBA7_04025
RALH10692	RSBA7_03203
RALH10692	RSBA7_02977
H16_B1293	RSBA7_03033
H16_B1290	RSBA7_00629
H16_A3670	RSBA7_03047
H16_A2341	RSBA7_01221
H16_A3671	RSBA7_00123
H16_A1010	RSBA7_01956
H16_A2340	RSBA7_01222
H16_A2343	RSBA7_01219
H16_A1011	RSBA7_01946
H16_A2342	RSBA7_01220
H16_A3673	RSBA7_03048
H16_A1002	RSBA7_02464
H16_A1002	RSBA7_01963
H16_A2334	RSBA7_01228
H16_A3664	RSBA7_03683
H16_A1003	RSBA7_03265
H16_A2333	RSBA7_01229
H16_A1004	RSBA7_04729
H16_A1004	RSBA7_01962
H16_A2336	RSBA7_01226
H16_A3667	RSBA7_03044
H16_A2335	RSBA7_03891
H16_A2335	RSBA7_01227
H16_A1005	RSBA7_01961
H16_A3666	RSBA7_03043
H16_A1006	RSBA7_01960
H16_A3669	RSBA7_03046
H16_A2338	RSBA7_01224
H16_A3668	RSBA7_03045
H16_A2337	RSBA7_01225
H16_A1008	RSBA7_01958
H16_A1009	RSBA7_01957
H16_A2339	RSBA7_01223
H16_A3661	RSBA7_03040
H16_A2330	RSBA7_01233
H16_A3660	RSBA7_03039
H16_A1000	RSBA7_01965
H16_A3663	RSBA7_03042
H16_A2332	RSBA7_01230
H16_A3662	RSBA7_03041
H16_A1001	RSBA7_01964
H16_A2331	RSBA7_01232
H16_A0584	RSBA7_04544
H16_A0586	RSBA7_04543
H16_A0587	RSBA7_04542
H16_A0588	RSBA7_02310
H16_A3614	RSBA7_02845
H16_A0589	RSBA7_02309
H16_A3616	RSBA7_02962
H16_A3615	RSBA7_02961
H16_A3618	RSBA7_01814
H16_A3617	RSBA7_02968
H16_B2569	RSBA7_04525
H16_B1236	RSBA7_04824
H16_B2567	RSBA7_04882
H16_A3619	RSBA7_02973
H16_B1237	RSBA7_01445
H16_B2566	RSBA7_04881
H16_B2565	RSBA7_04880
H16_B1235	RSBA7_02286
H16_B2564	RSBA7_04879
H16_B1232	RSBA7_01992
H16_B1233	RSBA7_02373
H16_B2563	RSBA7_04876
H16_B1230	RSBA7_02608
H16_B2562	RSBA7_04875
H16_B2561	RSBA7_04340
H16_B1231	RSBA7_02072
H16_A0581	RSBA7_04547
H16_A0582	RSBA7_04546
H16_A0583	RSBA7_04545
H16_A0573	RSBA7_00612
H16_A0574	RSBA7_00611
H16_A3601	RSBA7_02958
H16_A3601	RSBA7_04387
H16_A0575	RSBA7_00623
H16_A3600	RSBA7_02957
H16_A0576	RSBA7_00634
H16_A3603	RSBA7_02265
H16_A3602	RSBA7_02959
H16_A3602	RSBA7_04388
H16_A0578	RSBA7_00633
H16_B1229	RSBA7_02607
H16_A3607	RSBA7_04834
H16_A3606	RSBA7_02348
H16_B2557	RSBA7_04097
H16_B1223	RSBA7_04538
H16_B2555	RSBA7_04106
H16_B1221	RSBA7_02831
H16_B2551	RSBA7_02267
H16_B2550	RSBA7_02268
H16_A0570	RSBA7_00618
H16_A0571	RSBA7_00619
H16_A0572	RSBA7_00620
H16_A3632	RSBA7_02994
H16_A3631	RSBA7_02993
H16_A3634	RSBA7_03008
H16_A3633	RSBA7_02995
H16_A3636	RSBA7_03012
H16_A3636	RSBA7_03982
H16_A2305	RSBA7_01259
H16_A2304	RSBA7_01260
H16_A3635	RSBA7_03009
H16_A3638	RSBA7_03014
H16_A2307	RSBA7_01257
H16_A3637	RSBA7_03013
H16_A2306	RSBA7_01258
H16_A2309	RSBA7_01255
H16_A3639	RSBA7_03015
H16_A2308	RSBA7_01256
H16_B1258	RSBA7_03377
H16_B1255	RSBA7_04558
H16_B1252	RSBA7_01200
H16_B1252	RSBA7_01795
H16_B1253	RSBA7_03310
H16_A3630	RSBA7_02992
H16_A3621	RSBA7_02975
H16_A0595	RSBA7_02304
H16_A3620	RSBA7_02974
H16_A0596	RSBA7_02303
H16_A0597	RSBA7_02302
H16_A3622	RSBA7_02976
H16_A0598	RSBA7_02301
H16_A0599	RSBA7_02300
H16_A3627	RSBA7_02990
H16_A3628	RSBA7_02991
H16_B2579	RSBA7_03131
H16_B2579	RSBA7_02245
H16_B2579	RSBA7_03687
H16_B2578	RSBA7_04995
H16_B1248	RSBA7_05032
H16_B1245	RSBA7_04351
H16_B1243	RSBA7_03987
H16_B2575	RSBA7_01150
H16_B2572	RSBA7_04982
H16_B1242	RSBA7_03988
H16_B2571	RSBA7_04979
H16_A0590	RSBA7_02308
H16_A0591	RSBA7_02307
H16_A0593	RSBA7_02306
H16_A0540	RSBA7_00570
H16_A0541	RSBA7_00571
H16_A0542	RSBA7_00572
H16_A0543	RSBA7_00573
H16_A0544	RSBA7_00574
H16_A0545	RSBA7_00575
H16_B2528	RSBA7_02550
H16_A0546	RSBA7_00576
H16_A0547	RSBA7_00577
H16_A0548	RSBA7_00578
H16_A0549	RSBA7_00579
H16_A0530	RSBA7_03149
H16_A0531	RSBA7_00549
H16_A0532	RSBA7_00550
H16_A1864	RSBA7_00732
H16_A0533	RSBA7_00668
H16_A0535	RSBA7_02065
H16_B2517	RSBA7_03385
H16_B2515	RSBA7_04746
H16_B2510	RSBA7_04706
H16_A0562	RSBA7_04003
H16_A0562	RSBA7_01475
H16_A0562	RSBA7_04997
H16_A0562	RSBA7_01863
H16_A0562	RSBA7_03978
RALH1_K22476	RSBA7_00748
H16_A0566	RSBA7_00614
H16_A1897	RSBA7_04872
H16_A0567	RSBA7_00615
H16_A0568	RSBA7_00616
H16_A0569	RSBA7_00617
H16_B1214	RSBA7_04556
H16_B1214	RSBA7_00249
H16_B2545	RSBA7_02071
H16_B1212	RSBA7_04531
H16_B2544	RSBA7_00957
H16_B1213	RSBA7_04537
H16_B1210	RSBA7_04533
H16_B1211	RSBA7_04532
H16_A0560	RSBA7_00609
H16_A0561	RSBA7_00610
H16_A0554	RSBA7_00603
H16_B1209	RSBA7_04534
H16_A0555	RSBA7_00604
H16_A0556	RSBA7_00605
H16_B1207	RSBA7_04536
H16_A0557	RSBA7_00606
H16_B2538	RSBA7_00752
H16_A0558	RSBA7_00607
H16_B1208	RSBA7_04535
H16_A0559	RSBA7_00608
H16_B2531	RSBA7_02315
H16_A0550	RSBA7_00580
H16_A0550	RSBA7_00581
H16_A1830	RSBA7_05055
H16_A0500	RSBA7_00510
H16_A0501	RSBA7_00511
H16_A0502	RSBA7_00512
H16_A0503	RSBA7_00513
H16_A1834	RSBA7_03700
H16_B0787	RSBA7_03969
H16_A0504	RSBA7_00515
H16_A0506	RSBA7_00516
H16_B0785	RSBA7_02437
H16_A0507	RSBA7_00518
H16_B0786	RSBA7_02436
H16_B0783	RSBA7_02496
H16_A0508	RSBA7_00519
H16_A0509	RSBA7_00520
H16_B0781	RSBA7_03191
H16_B0782	RSBA7_03192
H16_B0780	RSBA7_04568
H16_A1821	RSBA7_03702
H16_B0778	RSBA7_04566
H16_B0779	RSBA7_04567
H16_B0776	RSBA7_04564
H16_B0777	RSBA7_04565
H16_A1825	RSBA7_03806
H16_A1850	RSBA7_00731
H16_A1851	RSBA7_00730
H16_A0520	RSBA7_00530
H16_A0521	RSBA7_00531
H16_B2509	RSBA7_04712
H16_A0522	RSBA7_00532
H16_B2508	RSBA7_04365
H16_A0523	RSBA7_00533
H16_B2507	RSBA7_01453
H16_B2506	RSBA7_01053
H16_A0524	RSBA7_00534
H16_A0525	RSBA7_00535
H16_A1856	RSBA7_03755
H16_B2505	RSBA7_04472
H16_A0526	RSBA7_00537
H16_A1857	RSBA7_03757
H16_A0527	RSBA7_00538
H16_A0528	RSBA7_00539
H16_A0529	RSBA7_00540
H16_A0510	RSBA7_00521
H16_A0511	RSBA7_00522
H16_A0512	RSBA7_00523
H16_A0513	RSBA7_00524
H16_A0514	RSBA7_00525
H16_B0798	RSBA7_00830
H16_A1847	RSBA7_00744
H16_A0516	RSBA7_00526
H16_A1848	RSBA7_00733
H16_A0517	RSBA7_00527
H16_A0518	RSBA7_00528
H16_A0519	RSBA7_00529
H16_B0989	RSBA7_04756
H16_A0700	RSBA7_04830
H16_A0701	RSBA7_04829
H16_A0705	RSBA7_00669
H16_B0984	RSBA7_02261
H16_B0981	RSBA7_00034
H16_A0706	RSBA7_00670
H16_B0982	RSBA7_03729
H16_B0982	RSBA7_00033
H16_B0982	RSBA7_00761
H16_B0982	RSBA7_04924
H16_A0709	RSBA7_00699
H16_B0980	RSBA7_00035
H16_B0977	RSBA7_01616
H16_B0977	RSBA7_03688
H16_A0720	RSBA7_00706
H16_A0722	RSBA7_03636
H16_A0724	RSBA7_00696
H16_A0725	RSBA7_00695
H16_A0726	RSBA7_00685
H16_A0728	RSBA7_01150
H16_A0729	RSBA7_04299
H16_A0710	RSBA7_00700
H16_B0998	RSBA7_01961
H16_A0711	RSBA7_00701
H16_A0712	RSBA7_00702
H16_B0996	RSBA7_02132
H16_A0713	RSBA7_00698
H16_A0714	RSBA7_00698
H16_B0997	RSBA7_01940
H16_B0994	RSBA7_01957
H16_A0715	RSBA7_00697
H16_B0995	RSBA7_01957
H16_A0716	RSBA7_00703
H16_A0717	RSBA7_00704
H16_A0718	RSBA7_00705
H16_B0943	RSBA7_04641
H16_B0941	RSBA7_02957
H16_B0940	RSBA7_04089
H16_B0939	RSBA7_00814
H16_B0936	RSBA7_04556
H16_B0936	RSBA7_00249
H16_B0965	RSBA7_03953
H16_B0966	RSBA7_03030
H16_B0961	RSBA7_02959
H16_B0961	RSBA7_04388
H16_B0960	RSBA7_02160
H16_B0903	RSBA7_03665
H16_B0900	RSBA7_00016
H16_A1190	RSBA7_01088
H16_A1191	RSBA7_01089
H16_A1192	RSBA7_01090
H16_A1193	RSBA7_01091
H16_A1198	RSBA7_01092
H16_A1199	RSBA7_01096
H16_A1189	RSBA7_01087
H16_A1180	RSBA7_01078
H16_A1181	RSBA7_01079
H16_A1182	RSBA7_01080
H16_A1183	RSBA7_01081
H16_A1184	RSBA7_01082
H16_A1185	RSBA7_01083
H16_A1186	RSBA7_01084
H16_A1187	RSBA7_01085
H16_A1188	RSBA7_01086
H16_B0919	RSBA7_03500
H16_A1156	RSBA7_00985
H16_A1157	RSBA7_00991
H16_A1158	RSBA7_00992
H16_A1159	RSBA7_00993
H16_A1150	RSBA7_00982
H16_A1151	RSBA7_00983
H16_A1152	RSBA7_00984
H16_A1147	RSBA7_00979
H16_A1148	RSBA7_00980
H16_A1149	RSBA7_00981
H16_B0097	RSBA7_02895
H16_B0098	RSBA7_02610
