ID	Name	Formula_with_ids	Formula_with_Names	EC	Type	Pathways	GPR	Complete_GPR	networks	percentageNetworks
R_CHLabcpp	Choline transport via ABC system (periplasm)	M_atp_c + M_chol_p + M_h2o_c --> M_adp_c + M_chol_c + M_h_c + M_pi_c	ATP + Choline + H2O --> ADP + Choline + proton_H_ + Phosphate	null	transport	Transport_osmoprotectant	( RSBA7_02279 ) OR ( RSBDBR229_01185 ) OR ( RSCFB2957_02381 ) OR ( RSGMI1000_02567 ) OR ( RSK60_02706 ) OR ( RSMOLK2_01895 ) OR ( RSPSI07_00895 ) OR ( RSPSS4_02671 ) OR ( RSR24_02566 ) OR ( RSRUN2340_02635 ) OR ( RSUW551_00715 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHLt3pp	Choline transport via proton antiport (periplasm)	M_chol_c + M_h_p --> M_chol_p + M_h_c	Choline + proton_H_ --> Choline + proton_H_	null	transport	Transport, Inner Membrane	RSPSI07_04694	complete_gpr	[RSPSI07]	9
R_CHLtex	Choline transport via diffusion (extracellular to periplasm)	M_chol_e <==> M_chol_p	Choline <==> Choline	null	transport	Transport_osmoprotectant		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHOLD	Choline dehydrogenase	M_chol_c + M_nad_c --> M_betald_c + M_h_c + M_nadh_c	Choline + Nicotinamide_adenine_dinucleotide --> Betaine_aldehyde + proton_H_ + Nicotinamide_adenine_dinucleotide___reduced	1.1.1.-;1.1.1.1	normal	Glycine_betain_biosynthesis	( RSBA7_00123 ) OR ( RSBA7_03042 ) OR ( RSBDBR229_00157 ) OR ( RSCFB2957_00121 ) OR ( RSCFB2957_03120 ) OR ( RSGMI1000_00124 ) OR ( RSGMI1000_03405 ) OR ( RSK60_01600 ) OR ( RSK60_01831 ) OR ( RSMOLK2_00128 ) OR ( RSMOLK2_02563 ) OR ( RSPSI07_00089 ) OR ( RSPSS4_00124 ) OR ( RSPSS4_03501 ) OR ( RSR24_00120 ) OR ( RSR24_03419 ) OR ( RSRUN2340_00144 ) OR ( RSRUN2340_03453 ) OR ( RSUW551_00172 ) OR ( RSUW551_03144 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHORM	Chorismate mutase	M_chor_c --> M_pphn_c	chorismate --> Prephenate	5.4.99.5	normal	Phenylalanine, tyrosine and tryptophan biosynthesis;Tyrosine__tryptophan__and_phenylalanine_metabolism	( RSBA7_00883 ) OR ( RSBA7_04745 ) OR ( RSBDBR229_00639 ) OR ( RSBDBR229_04270 ) OR ( RSCFB2957_00834 ) OR ( RSCFB2957_03395 ) OR ( RSGMI1000_00924 ) OR ( RSGMI1000_03672 ) OR ( RSK60_00801 ) OR ( RSK60_03766 ) OR ( RSMOLK2_04318 ) OR ( RSMOLK2_04488 ) OR ( RSPSI07_02392 ) OR ( RSPSI07_03391 ) OR ( RSPSS4_00928 ) OR ( RSPSS4_04832 ) OR ( RSR24_00913 ) OR ( RSR24_03642 ) OR ( RSRUN2340_02313 ) OR ( RSRUN2340_03721 ) OR ( RSUW551_02196 ) OR ( RSUW551_03712 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHORS	Chorismate synthase	M_3psme_c --> M_chor_c + M_pi_c	5_O__1_Carboxyvinyl__3_phosphoshikimate --> chorismate + Phosphate	4.2.3.5	normal	Tyrosine__tryptophan__and_phenylalanine_metabolism	( RSBA7_01677 ) OR ( RSBDBR229_01024 ) OR ( RSCFB2957_01743 ) OR ( RSGMI1000_01609 ) OR ( RSK60_03351 ) OR ( RSMOLK2_03380 ) OR ( RSPSI07_01572 ) OR ( RSPSS4_01917 ) OR ( RSR24_01433 ) OR ( RSRUN2340_01354 ) OR ( RSUW551_01136 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHRPL	Chorismate pyruvate lyase	M_chor_c <==> M_4hbz_c + M_pyr_c	chorismate <==> 4_Hydroxybenzoate + Pyruvate	4.1.3.40	normal	Ubiquinone_biosynthesis	( RSBA7_02476 ) OR ( RSBDBR229_02665 ) OR ( RSCFB2957_02578 ) OR ( RSGMI1000_02832 ) OR ( RSK60_02493 ) OR ( RSMOLK2_02104 ) OR ( RSPSI07_00690 ) OR ( RSPSS4_02888 ) OR ( RSR24_02779 ) OR ( RSRUN2340_02875 ) OR ( RSUW551_02599 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHTBSabcpp	chitobiose_transport_via_ABC_system__periplasm_	M_atp_c + M_chtbs_p + M_h2o_c --> M_adp_c + M_chtbs_c + M_h_c + M_pi_c	ATP + N_N_diacetylchitobiose + H2O --> ADP + N_N_diacetylchitobiose + proton_H_ + Phosphate	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHTBStex	Chitobiose transport via diffusion (extracellular to periplasm)	M_chtbs_e <==> M_chtbs_p	N_N_diacetylchitobiose <==> N_N_diacetylchitobiose	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHTNASEe	Chitinase, extracellular	M_chtn_e + 2.0 M_h2o_e --> 3.0 M_chtbs_e	chitin + 2.0 H2O --> 3.0 N_N_diacetylchitobiose	null	normal	Chitin_degradation	( RSBA7_03301 ) OR ( RSBDBR229_03417 ) OR ( RSCFB2957_03479 ) OR ( RSGMI1000_03752 ) OR ( RSK60_03820 ) OR ( RSMOLK2_04410 ) OR ( RSPSI07_03486 ) OR ( RSPSS4_04753 ) OR ( RSR24_03719 ) OR ( RSRUN2340_03805 ) OR ( RSUW551_03796 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CHTNDA	Chitin deacetylase	M_chtbs_c + 2.0 M_h2o_c <==> 2.0 M_ac_c + M_chitos_c + 2.0 M_h_c	N_N_diacetylchitobiose + 2.0 H2O <==> 2.0 Acetate + Chitosan + 2.0 proton_H_	null	normal	Chitin_degradation	( RSBA7_00432 ) OR ( RSBA7_01286 ) OR ( RSBA7_01960 ) OR ( RSBDBR229_01809 ) OR ( RSBDBR229_02289 ) OR ( RSBDBR229_03138 ) OR ( RSCFB2957_00388 ) OR ( RSCFB2957_01296 ) OR ( RSCFB2957_02022 ) OR ( RSGMI1000_00437 ) OR ( RSGMI1000_01350 ) OR ( RSGMI1000_02165 ) OR ( RSK60_00347 ) OR ( RSK60_01270 ) OR ( RSK60_03065 ) OR ( RSMOLK2_00401 ) OR ( RSMOLK2_03136 ) OR ( RSMOLK2_03878 ) OR ( RSPSI07_01249 ) OR ( RSPSI07_01956 ) OR ( RSPSI07_02842 ) OR ( RSPSS4_00439 ) OR ( RSPSS4_01401 ) OR ( RSPSS4_02267 ) OR ( RSR24_00483 ) OR ( RSR24_01899 ) OR ( RSR24_02215 ) OR ( RSRUN2340_00470 ) OR ( RSRUN2340_01093 ) OR ( RSRUN2340_01833 ) OR ( RSUW551_00459 ) OR ( RSUW551_01542 ) OR ( RSUW551_01980 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CINNDO	Cinnamate dioxygenase	M_cinnm_c + M_h_c + M_nadh_c + M_o2_c --> M_cenchddd_c + M_nad_c	Trans-Cinnamate + proton_H_ + Nicotinamide_adenine_dinucleotide___reduced + Dioxygen --> Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol + Nicotinamide_adenine_dinucleotide	1.14.12.19	normal	Alternate Carbon Metabolism	( RSBA7_05023 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSBDBR229_04098 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSGMI1000_01108 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSMOLK2_04132 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSPSI07_02217 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSPSS4_01112 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSRUN2340_02128 AND no_ortholog AND no_ortholog2 AND no_ortholog3 ) OR ( RSUW551_01785 AND no_ortholog AND no_ortholog2 AND no_ortholog3 )	incomplete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSUW551, RSBDBR229, RSBA7, RSRUN2340]	73
R_CITL	Citrate lyase	M_cit_c --> M_ac_c + M_oaa_c	Citrate --> Acetate + Oxaloacetate	null	normal	Citric Acid Cycle	( RSBA7_01841 ) OR ( RSBDBR229_04481 ) OR ( RSCFB2957_01910 ) OR ( RSGMI1000_02047 ) OR ( RSK60_03179 ) OR ( RSMOLK2_03223 ) OR ( RSPSI07_01367 ) OR ( RSPSS4_02149 ) OR ( RSR24_02100 ) OR ( RSRUN2340_01210 ) OR ( RSUW551_00991 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CITNCL	Citronellyl-CoA ligase	M_atp_c + M_citnl_c + M_coa_c --> M_amp_c + M_citnlcoa_c + M_h_c + M_ppi_c	ATP + Citronellate + Coenzyme_A --> AMP + Citronellyl-CoA + proton_H_ + Diphosphate	null	normal	Geraniol degrdation	( RSBA7_00436 ) OR ( RSBDBR229_03134 ) OR ( RSCFB2957_00392 ) OR ( RSGMI1000_00441 ) OR ( RSK60_01266 ) OR ( RSMOLK2_00405 ) OR ( RSPSI07_02838 ) OR ( RSPSS4_00443 ) OR ( RSR24_00487 ) OR ( RSRUN2340_00474 ) OR ( RSUW551_00463 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_CITR_Ltex	L_citrulline_transport_via_diffusion__extracellular_to_periplasm_	M_citr__L_e <==> M_citr_L_p	L_Citrulline <==> L_Citrulline	null	transport	Transport_carbon_substrate		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
