RSc0338	RSCFB2957_00294
RSc3312	RSCFB2957_03086
RSc0290	RSCFB2957_04484
RSc0290	RSCFB2957_00244
RSc0293	RSCFB2957_00247
RSc0294	RSCFB2957_00248
RSc0291	RSCFB2957_00245
RSc0292	RSCFB2957_00246
RSc3306	RSCFB2957_03080
RSc3307	RSCFB2957_03081
RSc3308	RSCFB2957_03082
RSc3309	RSCFB2957_03083
RSc3302	RSCFB2957_03076
RSc0275	RSCFB2957_00229
RSc3303	RSCFB2957_03077
RSc0276	RSCFB2957_00230
RSc0273	RSCFB2957_00227
RSc3304	RSCFB2957_03078
RSc0274	RSCFB2957_03927
RSc0274	RSCFB2957_00228
RSc3305	RSCFB2957_03079
RSc0279	RSCFB2957_00233
RSc0277	RSCFB2957_00231
RSc3300	RSCFB2957_03074
RSc3301	RSCFB2957_03075
RSc0278	RSCFB2957_00232
RSc0282	RSCFB2957_00236
RSc0283	RSCFB2957_00237
RSc0280	RSCFB2957_00234
RSc0281	RSCFB2957_00235
RSc1596	RSCFB2957_01703
RSc0264	RSCFB2957_00218
RSc0265	RSCFB2957_00219
RSc1595	RSCFB2957_01704
RSc1594	RSCFB2957_01705
RSc0262	RSCFB2957_00216
RSc1593	RSCFB2957_01706
RSc0263	RSCFB2957_00217
RSc0268	RSCFB2957_00222
RSc0269	RSCFB2957_00223
RSc0266	RSCFB2957_00220
RSc1598	RSCFB2957_01701
RSc0267	RSCFB2957_00221
RSc1597	RSCFB2957_01702
RSc0271	RSCFB2957_00225
RSc0272	RSCFB2957_00226
RSc0270	RSCFB2957_00224
RSc0259	RSCFB2957_00213
RSp1080	RSCFB2957_04376
RSp1081	RSCFB2957_04377
RSp1084	RSCFB2957_04380
RSc0253	RSCFB2957_00204
RSc1585	RSCFB2957_01715
RSc1584	RSCFB2957_01725
RSp1085	RSCFB2957_04381
RSc0254	RSCFB2957_00207
RSc1583	RSCFB2957_01726
RSp1082	RSCFB2957_04378
RSc0252	RSCFB2957_00609
RSc0252	RSCFB2957_01716
RSc0252	RSCFB2957_04717
RSc0252	RSCFB2957_03539
RSc0252	RSCFB2957_00863
RSc0252	RSCFB2957_03192
RSc0252	RSCFB2957_04901
RSc0252	RSCFB2957_04359
RSc0252	RSCFB2957_00176
RSc0252	RSCFB2957_02159
RSc1582	RSCFB2957_01727
RSp1083	RSCFB2957_04379
RSc0257	RSCFB2957_00210
RSc1589	RSCFB2957_01710
RSc1588	RSCFB2957_01711
RSc0258	RSCFB2957_00212
RSp1089	RSCFB2957_04384
RSc0255	RSCFB2957_00208
RSc1587	RSCFB2957_01712
RSp1086	RSCFB2957_04382
RSc0256	RSCFB2957_00209
RSp1087	RSCFB2957_04383
RSc1586	RSCFB2957_01713
RSc0260	RSCFB2957_00214
RSc1592	RSCFB2957_01707
RSc1591	RSCFB2957_01708
RSc1591	RSCFB2957_04884
RSc0261	RSCFB2957_00215
RSc1590	RSCFB2957_01709
RSc0249	RSCFB2957_00199
RSc1579	RSCFB2957_01730
RSp1070	RSCFB2957_04361
RSp1070	RSCFB2957_03758
RSp1073	RSCFB2957_04365
RSp1073	RSCFB2957_04363
RSp1073	RSCFB2957_04367
RSp1074	RSCFB2957_04368
RSc1573	RSCFB2957_01736
RSc0243	RSCFB2957_00195
RSp1071	RSCFB2957_04365
RSp1071	RSCFB2957_04363
RSp1071	RSCFB2957_04367
RSc1572	RSCFB2957_01737
RSc1571	RSCFB2957_01738
RSc1571	RSCFB2957_02149
RSc0246	RSCFB2957_00199
RSc1578	RSCFB2957_01731
RSp1077	RSCFB2957_04373
RSc1577	RSCFB2957_01732
RSp1078	RSCFB2957_04374
RSc1576	RSCFB2957_01734
RSc0244	RSCFB2957_00196
RSp1075	RSCFB2957_04369
RSc1575	RSCFB2957_01735
RSc0245	RSCFB2957_00197
RSp1076	RSCFB2957_04372
RSp1079	RSCFB2957_04375
RSc1581	RSCFB2957_01728
RSc1580	RSCFB2957_01729
RSc0250	RSCFB2957_00201
RSc0237	RSCFB2957_00194
RSc1569	RSCFB2957_01740
RSc1568	RSCFB2957_01741
RSc2899	RSCFB2957_02700
RSc1563	RSCFB2957_01746
RSc0231	RSCFB2957_00189
RSc2894	RSCFB2957_02695
RSc1562	RSCFB2957_01747
RSc2893	RSCFB2957_02694
RSc1561	RSCFB2957_01748
RSc2892	RSCFB2957_02693
RSc2891	RSCFB2957_02692
RSc1560	RSCFB2957_01749
RSc0230	RSCFB2957_00188
RSc1567	RSCFB2957_01742
RSc2898	RSCFB2957_02699
RSc0235	RSCFB2957_00192
RSc1566	RSCFB2957_01743
RSc0236	RSCFB2957_00193
RSc2897	RSCFB2957_02698
RSc1565	RSCFB2957_00778
RSc1565	RSCFB2957_01744
RSc0233	RSCFB2957_00190
RSc0233	RSCFB2957_01397
RSc2896	RSCFB2957_02697
RSc1564	RSCFB2957_01745
RSc2895	RSCFB2957_02696
RSc0234	RSCFB2957_00191
RSc1570	RSCFB2957_01739
RSc1570	RSCFB2957_02150
RSc1559	RSCFB2957_01750
RSc0229	RSCFB2957_00187
RSc1558	RSCFB2957_01751
RSc2889	RSCFB2957_02690
RSc0226	RSCFB2957_00185
RSc2888	RSCFB2957_02688
RSc1557	RSCFB2957_01752
RSp1091	RSCFB2957_04386
RSp1092	RSCFB2957_04387
RSp1090	RSCFB2957_04385
RSp1095	RSCFB2957_04390
RSc0220	RSCFB2957_00179
RSc2883	RSCFB2957_02683
RSc2882	RSCFB2957_02682
RSp1096	RSCFB2957_04391
RSc0221	RSCFB2957_00180
RSc2881	RSCFB2957_02681
RSp1093	RSCFB2957_04388
RSp1094	RSCFB2957_03309
RSp1094	RSCFB2957_04389
RSc2880	RSCFB2957_02680
RSc2887	RSCFB2957_02687
RSc1556	RSCFB2957_01753
RSc0224	RSCFB2957_00183
RSp1099	RSCFB2957_04394
RSc2886	RSCFB2957_02686
RSc0225	RSCFB2957_00184
RSc1555	RSCFB2957_01754
RSc2885	RSCFB2957_03949
RSc2885	RSCFB2957_02685
RSc0222	RSCFB2957_00181
RSp1097	RSCFB2957_04392
RSp1098	RSCFB2957_05004
RSp1098	RSCFB2957_03827
RSp1098	RSCFB2957_04393
RSp1098	RSCFB2957_02326
RSp1098	RSCFB2957_03257
RSp1098	RSCFB2957_03542
RSc2884	RSCFB2957_02684
RSc2884	RSCFB2957_03950
RSc0223	RSCFB2957_00182
RSc2890	RSCFB2957_02691
RSp1161	RSCFB2957_04439
RSc2079	RSCFB2957_01987
RSp1162	RSCFB2957_04440
RSc2078	RSCFB2957_01986
RSc2077	RSCFB2957_01985
RSp1160	RSCFB2957_04438
RSp1165	RSCFB2957_01764
RSp1166	RSCFB2957_01763
RSp1163	RSCFB2957_04441
RSc2083	RSCFB2957_01991
RSp1169	RSCFB2957_04685
RSc2082	RSCFB2957_01990
RSc2081	RSCFB2957_01989
RSp1167	RSCFB2957_04683
RSc2080	RSCFB2957_01988
RSp1168	RSCFB2957_04684
RSc2087	RSCFB2957_01995
RSc2086	RSCFB2957_01994
RSc2085	RSCFB2957_01993
RSc2084	RSCFB2957_01992
RSc2069	RSCFB2957_01977
RSc2067	RSCFB2957_01976
RSc2066	RSCFB2957_01975
RSc3397	RSCFB2957_03169
RSp1154	RSCFB2957_04431
RSc3398	RSCFB2957_03170
RSp1155	RSCFB2957_04432
RSp1152	RSCFB2957_04812
RSc3399	RSCFB2957_04763
RSp1153	RSCFB2957_04430
RSc2072	RSCFB2957_01980
RSp1158	RSCFB2957_04436
RSc2071	RSCFB2957_01979
RSc2071	RSCFB2957_01456
RSp1159	RSCFB2957_04437
RSc2070	RSCFB2957_01978
RSp1156	RSCFB2957_04434
RSp1157	RSCFB2957_04435
RSc2076	RSCFB2957_01984
RSc2075	RSCFB2957_01983
RSc2074	RSCFB2957_01982
RSc2073	RSCFB2957_01981
RSp1180	RSCFB2957_04454
RSp1180	RSCFB2957_04453
RSp1180	RSCFB2957_04452
RSc2058	RSCFB2957_01966
RSp1183	RSCFB2957_04457
RSc2057	RSCFB2957_01965
RSp1184	RSCFB2957_04458
RSc2056	RSCFB2957_01964
RSp1181	RSCFB2957_04455
RSc2055	RSCFB2957_01963
RSp1182	RSCFB2957_04456
RSc3386	RSCFB2957_00852
RSc3386	RSCFB2957_03157
RSp1187	RSCFB2957_04461
RSc3387	RSCFB2957_03158
RSp1188	RSCFB2957_04462
RSp1185	RSCFB2957_04459
RSc3388	RSCFB2957_03159
RSc2059	RSCFB2957_01967
RSp1186	RSCFB2957_04460
RSc3389	RSCFB2957_03161
RSc3393	RSCFB2957_04812
RSc2061	RSCFB2957_01969
RSc2060	RSCFB2957_01968
RSc3394	RSCFB2957_03166
RSp1189	RSCFB2957_04463
RSc3395	RSCFB2957_03167
RSc3396	RSCFB2957_03168
RSc2065	RSCFB2957_01974
RSc2064	RSCFB2957_01973
RSc3390	RSCFB2957_03162
RSc2063	RSCFB2957_01972
RSc3391	RSCFB2957_03163
RSc2062	RSCFB2957_01970
RSc3392	RSCFB2957_03164
RSc3379	RSCFB2957_03150
RSc3379	RSCFB2957_00297
RSc2047	RSCFB2957_01955
RSp1172	RSCFB2957_04443
RSc2046	RSCFB2957_01954
RSp1173	RSCFB2957_04444
RSc2045	RSCFB2957_01953
RSp1170	RSCFB2957_04686
RSc2044	RSCFB2957_01952
RSc3375	RSCFB2957_03148
RSp1176	RSCFB2957_04448
RSp1177	RSCFB2957_04450
RSc2049	RSCFB2957_01957
RSp1174	RSCFB2957_04446
RSc2048	RSCFB2957_01956
RSp1175	RSCFB2957_04447
RSc3382	RSCFB2957_03153
RSc2050	RSCFB2957_01958
RSc3383	RSCFB2957_03154
RSc3384	RSCFB2957_03155
RSp1178	RSCFB2957_04451
RSp1179	RSCFB2957_03831
RSp1179	RSCFB2957_03830
RSc3385	RSCFB2957_03156
RSc2054	RSCFB2957_01962
RSc2053	RSCFB2957_01961
RSc2052	RSCFB2957_01960
RSc3380	RSCFB2957_03151
RSc2051	RSCFB2957_01959
RSc3381	RSCFB2957_03152
RSc3368	RSCFB2957_03142
RSc2036	RSCFB2957_01944
RSc2035	RSCFB2957_01943
RSc3369	RSCFB2957_03143
RSc2034	RSCFB2957_01942
RSc2033	RSCFB2957_01941
RSc3364	RSCFB2957_03138
RSc3365	RSCFB2957_03139
RSc2039	RSCFB2957_01947
RSc3366	RSCFB2957_03140
RSc2038	RSCFB2957_01946
RSc2037	RSCFB2957_01945
RSc3367	RSCFB2957_03141
RSc3371	RSCFB2957_03145
RSc3372	RSCFB2957_03146
RSc3373	RSCFB2957_03147
RSp1124	RSCFB2957_02012
RSp1124	RSCFB2957_00619
RSp1124	RSCFB2957_04677
RSc3374	RSCFB2957_03149
RSc2043	RSCFB2957_01951
RSp1129	RSCFB2957_04416
RSc2042	RSCFB2957_01950
RSc2041	RSCFB2957_01949
RSp1127	RSCFB2957_04413
RSc3370	RSCFB2957_03144
RSc3370	RSCFB2957_00178
RSp1128	RSCFB2957_04414
RSc2040	RSCFB2957_01948
RSc2025	RSCFB2957_01936
RSc3358	RSCFB2957_03133
RSc2024	RSCFB2957_01935
RSc3359	RSCFB2957_03134
RSc2022	RSCFB2957_01933
RSc2029	RSCFB2957_01937
RSc3353	RSCFB2957_03127
RSp1110	RSCFB2957_04406
RSc3354	RSCFB2957_03128
RSp1111	RSCFB2957_04407
RSc3355	RSCFB2957_03129
RSc3356	RSCFB2957_03130
RSp1114	RSCFB2957_04410
RSc3360	RSCFB2957_03135
RSc3361	RSCFB2957_03136
RSp1115	RSCFB2957_00381
RSp1112	RSCFB2957_04408
RSc3363	RSCFB2957_03137
RSp1113	RSCFB2957_04409
RSc2032	RSCFB2957_01940
RSc2031	RSCFB2957_01939
RSc2030	RSCFB2957_01938
RSp1116	RSCFB2957_00382
RSc2019	RSCFB2957_01930
RSc2014	RSCFB2957_01926
RSc3346	RSCFB2957_03121
RSp1140	RSCFB2957_00120
RSp1140	RSCFB2957_00899
RSp1140	RSCFB2957_04424
RSc2013	RSCFB2957_01925
RSc3347	RSCFB2957_03122
RSc3348	RSCFB2957_03123
RSc2012	RSCFB2957_01924
RSc2011	RSCFB2957_01923
RSc3349	RSCFB2957_03124
RSp1143	RSCFB2957_04427
RSc3342	RSCFB2957_03117
RSc2018	RSCFB2957_01929
RSp1144	RSCFB2957_04428
RSc3343	RSCFB2957_03118
RSp1141	RSCFB2957_04425
RSp1141	RSCFB2957_04105
RSp1141	RSCFB2957_04466
RSc2016	RSCFB2957_01928
RSc3344	RSCFB2957_03119
RSc3345	RSCFB2957_03120
RSc2015	RSCFB2957_01927
RSp1142	RSCFB2957_04426
RSc3350	RSCFB2957_03125
RSp1145	RSCFB2957_04429
RSp1146	RSCFB2957_03106
RSc3352	RSCFB2957_03126
RSc2021	RSCFB2957_01932
RSc2020	RSCFB2957_01931
RSc2009	RSCFB2957_01921
RSc2008	RSCFB2957_01920
RSc3339	RSCFB2957_03114
RSc2003	RSCFB2957_01915
RSc3335	RSCFB2957_03110
RSc2002	RSCFB2957_01914
RSc3336	RSCFB2957_03111
RSc2001	RSCFB2957_01913
RSc3337	RSCFB2957_03112
RSc2000	RSCFB2957_01911
RSc2000	RSCFB2957_03313
RSc3338	RSCFB2957_03113
RSc2007	RSCFB2957_01919
RSc3331	RSCFB2957_03105
RSc2006	RSCFB2957_01918
RSc3332	RSCFB2957_03106
RSc2005	RSCFB2957_01917
RSc3333	RSCFB2957_03108
RSp1130	RSCFB2957_04417
RSc3334	RSCFB2957_03109
RSc2004	RSCFB2957_01916
RSp1131	RSCFB2957_04418
RSp1136	RSCFB2957_03831
RSp1136	RSCFB2957_03830
RSp1137	RSCFB2957_04421
RSc3340	RSCFB2957_03115
RSp1135	RSCFB2957_03861
RSc3341	RSCFB2957_03116
RSc2010	RSCFB2957_01922
RSp1138	RSCFB2957_04422
RSp1139	RSCFB2957_04708
RSp1139	RSCFB2957_04423
RSc2913	RSCFB2957_02714
RSc2912	RSCFB2957_02713
RSc2911	RSCFB2957_02712
RSc2910	RSCFB2957_02711
RSc2917	RSCFB2957_02718
RSc2916	RSCFB2957_02717
RSc2915	RSCFB2957_02716
RSc2914	RSCFB2957_02715
RSc2919	RSCFB2957_02720
RSc2918	RSCFB2957_02719
RSc2902	RSCFB2957_02703
RSc2901	RSCFB2957_02702
RSc2900	RSCFB2957_02701
RSc2906	RSCFB2957_02707
RSc2905	RSCFB2957_02706
RSc2904	RSCFB2957_02705
RSc2903	RSCFB2957_02704
RSc2909	RSCFB2957_02710
RSc2908	RSCFB2957_02709
RSc2907	RSCFB2957_02708
RSp1100	RSCFB2957_04395
RSp1103	RSCFB2957_04398
RSp1104	RSCFB2957_04399
RSp1101	RSCFB2957_04396
RSp1102	RSCFB2957_04397
RSp1107	RSCFB2957_04402
RSp1108	RSCFB2957_04403
RSp1105	RSCFB2957_03994
RSp1105	RSCFB2957_04400
RSp1106	RSCFB2957_04401
RSp1109	RSCFB2957_04404
RSp0670	RSCFB2957_04644
RSp0670	RSCFB2957_01760
RSp0671	RSCFB2957_03940
RSp0674	RSCFB2957_03943
RSp0675	RSCFB2957_03944
RSp0672	RSCFB2957_03941
RSp0673	RSCFB2957_03942
RSp0678	RSCFB2957_03947
RSp0679	RSCFB2957_03948
RSp0676	RSCFB2957_03945
RSp0677	RSCFB2957_03946
RSp0660	RSCFB2957_00615
RSp0663	RSCFB2957_03932
RSp0664	RSCFB2957_03933
RSp0667	RSCFB2957_03936
RSp0668	RSCFB2957_03937
RSp0665	RSCFB2957_03934
RSp0666	RSCFB2957_03935
RSc2099	RSCFB2957_02007
RSp0692	RSCFB2957_03961
RSp0693	RSCFB2957_02969
RSp0690	RSCFB2957_03959
RSp0691	RSCFB2957_03960
RSp0696	RSCFB2957_02972
RSp0697	RSCFB2957_02973
RSp0694	RSCFB2957_02970
RSp0695	RSCFB2957_02971
RSp0698	RSCFB2957_02974
RSp0699	RSCFB2957_03962
RSc2089	RSCFB2957_01997
RSc2088	RSCFB2957_01996
RSp0681	RSCFB2957_02684
RSp0681	RSCFB2957_03950
RSp0682	RSCFB2957_03951
RSp0680	RSCFB2957_03949
RSp0680	RSCFB2957_02685
RSc2094	RSCFB2957_02002
RSp0685	RSCFB2957_03954
RSc2093	RSCFB2957_02001
RSp0686	RSCFB2957_03955
RSc2092	RSCFB2957_02000
RSp0683	RSCFB2957_03952
RSc2091	RSCFB2957_01999
RSp0684	RSCFB2957_03953
RSc2098	RSCFB2957_02006
RSp0689	RSCFB2957_03958
RSc2097	RSCFB2957_02005
RSp0687	RSCFB2957_03956
RSc2096	RSCFB2957_02004
RSc2095	RSCFB2957_02003
RSp0688	RSCFB2957_03957
RSc2090	RSCFB2957_01998
RSc0578	RSCFB2957_03354
RSc0572	RSCFB2957_00538
RSc0573	RSCFB2957_00539
RSc0570	RSCFB2957_00536
RSc0571	RSCFB2957_00537
RSc0576	RSCFB2957_00542
RSc0577	RSCFB2957_00543
RSc0574	RSCFB2957_00540
RSc0575	RSCFB2957_00541
RSp0993	RSCFB2957_03734
RSp0994	RSCFB2957_04244
RSp0991	RSCFB2957_04709
RSp0992	RSCFB2957_03735
RSp0997	RSCFB2957_04693
RSp0998	RSCFB2957_04245
RSc0580	RSCFB2957_00544
RSp0995	RSCFB2957_04696
RSp0996	RSCFB2957_04694
RSc0569	RSCFB2957_00535
RSc0567	RSCFB2957_00533
RSc0568	RSCFB2957_00534
RSc1893	RSCFB2957_01858
RSc0561	RSCFB2957_00527
RSc0562	RSCFB2957_00528
RSc1892	RSCFB2957_01857
RSc1891	RSCFB2957_01856
RSc0560	RSCFB2957_00526
RSc1890	RSCFB2957_01855
RSc0565	RSCFB2957_00531
RSc0566	RSCFB2957_00532
RSc1896	RSCFB2957_02059
RSc1896	RSCFB2957_02057
RSc1896	RSCFB2957_02058
RSc1895	RSCFB2957_01860
RSc0563	RSCFB2957_00529
RSc0564	RSCFB2957_00530
RSc1894	RSCFB2957_01859
RSp0982	RSCFB2957_04828
RSp0983	RSCFB2957_04829
RSp0980	RSCFB2957_04766
RSp0986	RSCFB2957_04832
RSp0984	RSCFB2957_04830
RSp0985	RSCFB2957_04831
RSp0988	RSCFB2957_03737
RSp0989	RSCFB2957_03736
RSc0558	RSCFB2957_00524
RSc0558	RSCFB2957_00523
RSc1889	RSCFB2957_01854
RSc0559	RSCFB2957_00525
RSc0556	RSCFB2957_00522
RSc1888	RSCFB2957_01853
RSc0557	RSCFB2957_00524
RSc0557	RSCFB2957_00523
RSc1887	RSCFB2957_01852
RSc1882	RSCFB2957_01847
RSc1882	RSCFB2957_02666
RSc0550	RSCFB2957_00516
RSc0551	RSCFB2957_00517
RSc1881	RSCFB2957_01846
RSc1880	RSCFB2957_01845
RSc0554	RSCFB2957_00520
RSc1886	RSCFB2957_01851
RSc1885	RSCFB2957_01850
RSc1885	RSCFB2957_02663
RSc0555	RSCFB2957_00521
RSc1884	RSCFB2957_01849
RSc1884	RSCFB2957_02664
RSc0552	RSCFB2957_00518
RSc1883	RSCFB2957_01848
RSc1883	RSCFB2957_02665
RSc0553	RSCFB2957_00519
RSc0547	RSCFB2957_00513
RSc1879	RSCFB2957_01844
RSc1878	RSCFB2957_01843
RSc0548	RSCFB2957_00514
RSc1877	RSCFB2957_01842
RSc0545	RSCFB2957_00510
RSc0546	RSCFB2957_00511
RSc1876	RSCFB2957_01841
RSc0549	RSCFB2957_00515
RSc1871	RSCFB2957_01835
RSc0540	RSCFB2957_00505
RSc1870	RSCFB2957_01834
RSc1875	RSCFB2957_01840
RSc0543	RSCFB2957_00508
RSc1874	RSCFB2957_01839
RSc0544	RSCFB2957_00509
RSc1873	RSCFB2957_01838
RSc0541	RSCFB2957_00506
RSc1872	RSCFB2957_01837
RSc0542	RSCFB2957_00507
RSc0536	RSCFB2957_00501
RSc1868	RSCFB2957_01832
RSc0537	RSCFB2957_00502
RSc1867	RSCFB2957_01831
RSc0534	RSCFB2957_00498
RSc1866	RSCFB2957_01830
RSc0535	RSCFB2957_00500
RSc1865	RSCFB2957_01829
RSc0538	RSCFB2957_00503
RSc0539	RSCFB2957_00504
RSc1869	RSCFB2957_01833
RSc1860	RSCFB2957_02716
RSc0532	RSCFB2957_00495
RSc0533	RSCFB2957_00496
RSc0530	RSCFB2957_00493
RSc0531	RSCFB2957_00494
RSp0950	RSCFB2957_04176
RSp0950	RSCFB2957_02542
RSp0954	RSCFB2957_04175
RSp0954	RSCFB2957_02543
RSp0951	RSCFB2957_04175
RSp0951	RSCFB2957_02543
RSp0957	RSCFB2957_04600
RSp0955	RSCFB2957_04174
RSp0955	RSCFB2957_04612
RSp0956	RSCFB2957_04231
RSc0525	RSCFB2957_00487
RSc0526	RSCFB2957_00488
RSc1856	RSCFB2957_01464
RSc0523	RSCFB2957_00485
RSc0524	RSCFB2957_00486
RSc0529	RSCFB2957_00492
RSc1859	RSCFB2957_02717
RSc0527	RSCFB2957_00489
RSc1858	RSCFB2957_02718
RSc0528	RSCFB2957_00490
RSc0521	RSCFB2957_00483
RSc0522	RSCFB2957_00484
RSc0520	RSCFB2957_00482
RSp0942	RSCFB2957_04184
RSp0943	RSCFB2957_04183
RSp0940	RSCFB2957_04186
RSp0941	RSCFB2957_04185
RSp0946	RSCFB2957_04180
RSp0947	RSCFB2957_04179
RSp0944	RSCFB2957_04182
RSp0945	RSCFB2957_00959
RSp0945	RSCFB2957_04181
RSp0948	RSCFB2957_04178
RSp0949	RSCFB2957_02540
RSp0949	RSCFB2957_04177
RSc0514	RSCFB2957_00476
RSc0515	RSCFB2957_00477
RSc0512	RSCFB2957_00474
RSc0513	RSCFB2957_00475
RSc0518	RSCFB2957_00480
RSc0519	RSCFB2957_00481
RSc0516	RSCFB2957_00478
RSc0517	RSCFB2957_00479
RSc0510	RSCFB2957_00472
RSc0511	RSCFB2957_00473
RSc1841	RSCFB2957_01495
RSp0972	RSCFB2957_04774
RSp0970	RSCFB2957_04782
RSp0975	RSCFB2957_04771
RSp0976	RSCFB2957_04770
RSp0973	RSCFB2957_04773
RSp0974	RSCFB2957_04772
RSp0979	RSCFB2957_04767
RSp0977	RSCFB2957_04769
RSp0978	RSCFB2957_04768
RSc0503	RSCFB2957_00465
RSc0504	RSCFB2957_00466
RSc0501	RSCFB2957_00463
RSc0502	RSCFB2957_00464
RSc1839	RSCFB2957_03728
RSc1839	RSCFB2957_01769
RSc0507	RSCFB2957_00469
RSc0508	RSCFB2957_00470
RSc1838	RSCFB2957_04233
RSc0505	RSCFB2957_00467
RSc0506	RSCFB2957_00468
RSc1831	RSCFB2957_02180
RSc1831	RSCFB2957_00861
RSc1831	RSCFB2957_03763
RSc1830	RSCFB2957_02181
RSc1830	RSCFB2957_03764
RSc1830	RSCFB2957_00860
RSc1830	RSCFB2957_01013
RSc0500	RSCFB2957_00462
RSp0960	RSCFB2957_04143
RSp0961	RSCFB2957_04144
RSp0964	RSCFB2957_04776
RSp0965	RSCFB2957_04777
RSp0962	RSCFB2957_04145
RSp0963	RSCFB2957_04775
RSp0968	RSCFB2957_04780
RSp0969	RSCFB2957_04781
RSc0509	RSCFB2957_00471
RSp0966	RSCFB2957_04778
RSp0967	RSCFB2957_04779
RSc1029	RSCFB2957_00954
RSc1024	RSCFB2957_00949
RSc2355	RSCFB2957_02203
RSc1023	RSCFB2957_00948
RSc2354	RSCFB2957_02202
RSc2353	RSCFB2957_02201
RSc2352	RSCFB2957_04735
RSc2352	RSCFB2957_02200
RSc1021	RSCFB2957_00947
RSc1028	RSCFB2957_00953
RSc1027	RSCFB2957_00952
RSc2358	RSCFB2957_02206
RSc2357	RSCFB2957_02205
RSc1026	RSCFB2957_00951
RSc1025	RSCFB2957_00950
RSc2356	RSCFB2957_02204
RSc1031	RSCFB2957_00956
RSc2362	RSCFB2957_02211
RSc1030	RSCFB2957_00955
RSc2361	RSCFB2957_02210
RSc2360	RSCFB2957_02209
RSc1019	RSCFB2957_00945
RSc2349	RSCFB2957_02197
RSc1018	RSCFB2957_00944
RSc1013	RSCFB2957_00939
RSc2344	RSCFB2957_02191
RSc2343	RSCFB2957_02190
RSc1012	RSCFB2957_00938
RSc2342	RSCFB2957_02189
RSc1011	RSCFB2957_00937
RSc1010	RSCFB2957_00936
RSc2341	RSCFB2957_02188
RSc2348	RSCFB2957_02195
RSc1017	RSCFB2957_00943
RSc2347	RSCFB2957_02194
RSc1016	RSCFB2957_00942
RSc1015	RSCFB2957_00941
RSc2346	RSCFB2957_02193
RSc2345	RSCFB2957_02192
RSc2345	RSCFB2957_00298
RSc1014	RSCFB2957_00940
RSc1020	RSCFB2957_00946
RSc2351	RSCFB2957_02199
RSc2350	RSCFB2957_02198
RSp0902	RSCFB2957_04226
RSp0900	RSCFB2957_04836
RSc1008	RSCFB2957_00935
RSc2339	RSCFB2957_02186
RSc2338	RSCFB2957_02184
RSc1007	RSCFB2957_00934
RSc1002	RSCFB2957_00929
RSc2332	RSCFB2957_02180
RSc2332	RSCFB2957_00861
RSc2332	RSCFB2957_03763
RSc1001	RSCFB2957_00928
RSc2331	RSCFB2957_02181
RSc2331	RSCFB2957_03764
RSc2331	RSCFB2957_00860
RSc2331	RSCFB2957_01013
RSc1000	RSCFB2957_00927
RSc2337	RSCFB2957_02176
RSc1006	RSCFB2957_00933
RSc1005	RSCFB2957_00932
RSc2335	RSCFB2957_02180
RSc2335	RSCFB2957_00861
RSc2335	RSCFB2957_03763
RSc1004	RSCFB2957_00931
RSc1003	RSCFB2957_00930
RSc2340	RSCFB2957_02187
RSp0931	RSCFB2957_04195
RSp0932	RSCFB2957_03185
RSp0932	RSCFB2957_04194
RSp0932	RSCFB2957_00444
RSp0932	RSCFB2957_02156
RSp0930	RSCFB2957_04232
RSp0935	RSCFB2957_04191
RSp0936	RSCFB2957_04190
RSp0933	RSCFB2957_02155
RSp0933	RSCFB2957_04193
RSp0934	RSCFB2957_04192
RSp0939	RSCFB2957_04187
RSp0937	RSCFB2957_04189
RSp0938	RSCFB2957_04188
RSc2328	RSCFB2957_02728
RSc2327	RSCFB2957_02729
RSc2322	RSCFB2957_04357
RSc2321	RSCFB2957_04356
RSp0924	RSCFB2957_04238
RSp0925	RSCFB2957_04918
RSp0928	RSCFB2957_04921
RSp0929	RSCFB2957_04922
RSp0926	RSCFB2957_04919
RSp0927	RSCFB2957_04920
RSc2319	RSCFB2957_04358
RSc2310	RSCFB2957_02920
RSc2310	RSCFB2957_03349
RSc2310	RSCFB2957_03645
RSc2315	RSCFB2957_02337
RSc0594	RSCFB2957_00561
RSc0595	RSCFB2957_00562
RSc0592	RSCFB2957_00559
RSc0592	RSCFB2957_02380
RSc0593	RSCFB2957_00560
RSc0598	RSCFB2957_00566
RSc0599	RSCFB2957_00567
RSc0596	RSCFB2957_00564
RSc0597	RSCFB2957_00565
RSc0589	RSCFB2957_00555
RSc0583	RSCFB2957_00545
RSc0584	RSCFB2957_00546
RSc0587	RSCFB2957_00551
RSc0588	RSCFB2957_00554
RSc0588	RSCFB2957_03588
RSc0585	RSCFB2957_00549
RSc0586	RSCFB2957_00550
RSc0590	RSCFB2957_00557
RSc0591	RSCFB2957_00558
RSp0190	RSCFB2957_03391
RSp0194	RSCFB2957_03392
RSp0191	RSCFB2957_04741
RSp0192	RSCFB2957_04583
RSp0197	RSCFB2957_03395
RSp0198	RSCFB2957_03396
RSp0195	RSCFB2957_03393
RSp0196	RSCFB2957_03394
RSp0199	RSCFB2957_03397
RSp0182	RSCFB2957_00614
RSp0182	RSCFB2957_03381
RSp0183	RSCFB2957_03382
RSp0183	RSCFB2957_00613
RSp0181	RSCFB2957_03380
RSp0186	RSCFB2957_03385
RSp0186	RSCFB2957_00610
RSp0187	RSCFB2957_03386
RSp0185	RSCFB2957_03384
RSp0185	RSCFB2957_00611
