RSc0338	XFCFBP8418_023280
RSc2410	XFCFBP8418_021170
RSc2651	XFCFBP8418_021250
RSc2891	XFCFBP8418_007320
RSc1567	XFCFBP8418_022160
RSc2898	XFCFBP8418_012840
RSc1566	XFCFBP8418_003900
RSc1565	XFCFBP8418_018690
RSc2649	XFCFBP8418_021240
RSc1317	XFCFBP8418_009690
RSc1558	XFCFBP8418_024040
RSc1316	XFCFBP8418_009710
RSc1310	XFCFBP8418_012120
RSc2882	XFCFBP8418_026740
RSc2881	XFCFBP8418_026750
RSc0461	XFCFBP8418_017800
RSc0466	XFCFBP8418_016880
RSc1314	XFCFBP8418_006050
RSc2403	XFCFBP8418_001400
RSc2887	XFCFBP8418_013210
RSc2885	XFCFBP8418_026720
RSc2643	XFCFBP8418_006790
RSp1098	XFCFBP8418_007360
RSc2884	XFCFBP8418_026730
RSc1311	XFCFBP8418_008690
RSc2077	XFCFBP8418_017900
RSp0076	XFCFBP8418_017050
RSp0076	XFCFBP8418_018800
RSp0077	XFCFBP8418_018790
RSp0077	XFCFBP8418_017040
RSp0075	XFCFBP8418_014890
RSc3171	XFCFBP8418_001620
RSc3171	XFCFBP8418_000100
RSc2085	XFCFBP8418_021180
RSc2069	XFCFBP8418_026430
RSc2067	XFCFBP8418_026420
RSp0065	XFCFBP8418_017820
RSc3156	XFCFBP8418_012650
RSc2072	XFCFBP8418_017930
RSc2075	XFCFBP8418_017890
RSc2073	XFCFBP8418_007390
RSc2058	XFCFBP8418_025690
RSc2057	XFCFBP8418_025680
RSc2056	XFCFBP8418_025670
RSc2055	XFCFBP8418_025660
RSc3386	XFCFBP8418_010520
RSc2059	XFCFBP8418_025700
RSc2061	XFCFBP8418_025720
RSc2060	XFCFBP8418_025710
RSc2064	XFCFBP8418_025760
RSc2062	XFCFBP8418_025730
RSc2287	XFCFBP8418_001160
RSp1177	XFCFBP8418_025340
RSc2049	XFCFBP8418_025600
RSc2050	XFCFBP8418_025610
RSc2291	XFCFBP8418_010140
RSp1178	XFCFBP8418_010680
RSc2054	XFCFBP8418_025650
RSc2053	XFCFBP8418_025640
RSc2052	XFCFBP8418_025630
RSc2051	XFCFBP8418_025620
RSc1188	XFCFBP8418_013260
RSc1187	XFCFBP8418_013270
RSp0274	XFCFBP8418_025410
RSc3365	XFCFBP8418_004300
RSc3366	XFCFBP8418_004310
RSc3125	XFCFBP8418_001470
RSp0031	XFCFBP8418_011130
RSc3371	XFCFBP8418_007690
RSc1192	XFCFBP8418_018040
RSc1191	XFCFBP8418_018050
RSc3372	XFCFBP8418_007680
RSp0276	XFCFBP8418_006490
RSp1124	XFCFBP8418_021600
RSp1124	XFCFBP8418_023690
RSc2285	XFCFBP8418_000730
RSc1194	XFCFBP8418_018030
RSc3115	XFCFBP8418_002510
RSc1178	XFCFBP8418_014660
RSc3358	XFCFBP8418_002910
RSc1179	XFCFBP8418_011070
RSc0091	XFCFBP8418_023810
RSp0029	XFCFBP8418_007360
RSc0093	XFCFBP8418_024950
RSp1358	XFCFBP8418_001240
RSc1182	XFCFBP8418_002330
RSc1167	XFCFBP8418_025320
RSp0292	XFCFBP8418_004550
RSc1165	XFCFBP8418_022990
RSc0075	XFCFBP8418_009940
RSc1164	XFCFBP8418_022990
RSc2011	XFCFBP8418_005040
RSc1169	XFCFBP8418_026800
RSp1389	XFCFBP8418_001490
RSc0085	XFCFBP8418_003950
RSc2003	XFCFBP8418_025940
RSc1398	XFCFBP8418_012090
RSc2000	XFCFBP8418_022790
RSc0068	XFCFBP8418_009980
RSc0070	XFCFBP8418_009960
RSc1163	XFCFBP8418_012350
RSc1161	XFCFBP8418_005230
RSc0072	XFCFBP8418_009950
RSc1160	XFCFBP8418_005240
RSc0976	XFCFBP8418_022260
RSc2913	XFCFBP8418_009840
RSc0977	XFCFBP8418_010140
RSc0732	XFCFBP8418_000290
RSc0732	XFCFBP8418_016390
RSc0732	XFCFBP8418_027730
RSc0733	XFCFBP8418_016400
RSc0733	XFCFBP8418_027740
RSc0975	XFCFBP8418_012620
RSc2917	XFCFBP8418_003690
RSc0738	XFCFBP8418_016870
RSc2916	XFCFBP8418_003700
RSc2915	XFCFBP8418_003710
RSc0736	XFCFBP8418_016430
RSc0736	XFCFBP8418_027770
RSc0978	XFCFBP8418_004030
RSc2914	XFCFBP8418_003720
RSc0730	XFCFBP8418_015390
RSp0230	XFCFBP8418_020730
RSc0731	XFCFBP8418_016380
RSc0731	XFCFBP8418_027720
RSc0731	XFCFBP8418_000310
RSp1560	XFCFBP8418_024710
RSp1327	XFCFBP8418_001240
RSc2901	XFCFBP8418_012930
RSc2900	XFCFBP8418_012920
RSc0728	XFCFBP8418_009800
RSc2904	XFCFBP8418_013020
RSc2903	XFCFBP8418_002570
RSc0726	XFCFBP8418_014430
RSp1559	XFCFBP8418_024680
RSp1557	XFCFBP8418_024690
RSc2909	XFCFBP8418_018520
RSc0729	XFCFBP8418_009820
RSc0712	XFCFBP8418_009760
RSc0713	XFCFBP8418_009770
RSc0711	XFCFBP8418_009750
RSc0714	XFCFBP8418_009780
RSc0715	XFCFBP8418_009790
RSp0252	XFCFBP8418_009920
RSp0253	XFCFBP8418_025400
RSp0251	XFCFBP8418_009910
RSp1107	XFCFBP8418_017860
RSp1108	XFCFBP8418_022490
RSc0944	XFCFBP8418_023740
RSc0942	XFCFBP8418_022460
RSc0947	XFCFBP8418_021160
RSc0945	XFCFBP8418_023730
RSc0703	XFCFBP8418_011370
RSc0946	XFCFBP8418_021150
RSp0245	XFCFBP8418_002380
RSp0246	XFCFBP8418_002370
RSp0002	XFCFBP8418_021320
RSp0007	XFCFBP8418_014890
RSp0489	XFCFBP8418_007860
RSp0006	XFCFBP8418_004800
RSc0933	XFCFBP8418_015050
RSc0936	XFCFBP8418_015080
RSc0935	XFCFBP8418_015070
RSp1521	XFCFBP8418_013100
RSp0678	XFCFBP8418_004150
RSp0676	XFCFBP8418_020760
RSc0921	XFCFBP8418_010510
RSc0922	XFCFBP8418_010520
RSc0920	XFCFBP8418_010500
RSc0926	XFCFBP8418_010710
RSc0923	XFCFBP8418_026260
RSc0924	XFCFBP8418_026270
RSp0665	XFCFBP8418_010210
RSp1516	XFCFBP8418_017920
RSc0910	XFCFBP8418_004850
RSc0913	XFCFBP8418_018680
RSc3192	XFCFBP8418_008110
RSc0918	XFCFBP8418_019770
RSc0916	XFCFBP8418_006590
RSc0917	XFCFBP8418_010980
RSc0903	XFCFBP8418_021100
RSc0904	XFCFBP8418_021090
RSc0901	XFCFBP8418_012040
RSp0681	XFCFBP8418_026730
RSp0680	XFCFBP8418_026720
RSp1530	XFCFBP8418_013090
RSp0446	XFCFBP8418_021610
RSc0908	XFCFBP8418_004870
RSc0909	XFCFBP8418_004860
