RSc0338	H16_A0317
RSc1976	H16_A2607
RSc2823	H16_A3253
RSc0644	H16_A2984
RSc2822	H16_A3252
RSc1975	H16_A2603
RSc2829	H16_A3259
RSc2828	H16_A3258
RSc2827	H16_A3257
RSc0648	H16_A0715
RSc1979	H16_A2610
RSc2826	H16_A3256
RSc0649	H16_A0713
RSc0649	H16_A0714
RSc0642	H16_A0706
RSc2821	H16_A3251
RSc1974	H16_A2602
RSc2820	H16_A3250
RSc0643	H16_A2983
RSc1973	H16_A3618
RSc0641	H16_A0705
RSc1967	H16_A2536
RSc2814	H16_A3244
RSc1966	H16_A2535
RSc1965	H16_A2534
RSc2812	H16_A3242
RSc0633	H16_B2110
RSc1964	H16_A2533
RSc2811	H16_A3241
RSc2818	H16_A3248
RSc0639	H16_B2209
RSc2817	H16_A3247
RSc2816	H16_A3246
RSc2815	H16_A3245
RSc1963	H16_A2532
RSc2810	H16_A3240
RSc1961	H16_A2530
RSc1960	H16_B0858
RSp0613	H16_A3526
RSp0611	H16_B1012
RSp0616	H16_A2969
RSc2819	H16_A3249
RSc1956	H16_A2529
RSc2803	H16_A2094
RSc1955	RALH11842
RSc1955	H16_A2528
RSc2802	H16_B0783
RSc1954	H16_A2527
RSc0622	H16_A0059
RSc1953	H16_A2526
RSc0623	H16_A1354
RSc2807	H16_A3237
RSc2806	H16_A3236
RSc0626	H16_A1653
RSc0626	H16_A0700
RSc0626	H16_B1524
RSc0626	H16_B1378
RSc2805	H16_A3235
RSc1958	H16_A2661
RSc0627	H16_A0701
RSc0627	H16_B1377
RSc2804	H16_A3234
RSc1957	H16_A0693
RSc1952	H16_A2525
RSc1952	H16_B0834
RSc1951	H16_A2524
RSc1950	H16_B1252
RSc1950	H16_B2122
RSc1950	H16_B2295
RSc1950	H16_B0233
RSc1950	H16_A2651
RSp0601	H16_B1645
RSp0601	H16_B2536
RSp0605	H16_B1362
RSp0605	H16_A3521
RSp0606	H16_A3522
RSp0606	H16_B1361
RSp0604	H16_B1363
RSp0604	H16_A3520
RSc2808	H16_A3238
RSp0607	H16_B1360
RSp0607	H16_A3523
RSp0608	H16_A3524
RSp0608	H16_B1359
RSp0608	H16_B0544
RSc3328	H16_A3648
RSc3329	H16_A3655
RSc1145	H16_A1204
RSc0297	H16_A0148
RSc3324	H16_A3644
RSc1144	H16_A1203
RSc3325	H16_A3645
RSc0298	H16_A0147
RSc3326	H16_A3646
RSc0295	H16_A0150
RSc3327	H16_A3647
RSc0296	H16_A0149
RSc1142	H16_A1202
RSc1149	H16_A1208
RSc3320	H16_A3640
RSc3321	H16_A3641
RSc1148	H16_A1207
RSc3322	H16_A3642
RSc0299	H16_A0146
RSc1147	H16_A1206
RSc3323	H16_A3643
RSc1146	H16_A1205
RSc1152	H16_B2163
RSc1151	H16_A1210
RSc1150	H16_A1209
RSc1139	H16_A1199
RSc3317	H16_A3637
RSc3318	H16_A3638
RSc3319	H16_A3639
RSc2465	H16_A3053
RSc1134	H16_A1193
RSc0286	H16_A0160
RSc3313	H16_A3635
RSc0287	H16_A0159
RSc2464	H16_A3052
RSc1133	H16_A1192
RSc2463	H16_A3049
RSc0284	H16_A0162
RSc1132	H16_A1191
RSc3315	H16_B2042
RSc3316	H16_A3636
RSc0285	H16_A0161
RSc1131	H16_A1190
RSc0288	H16_A0158
RSc2467	H16_A1021
RSc2466	H16_A3054
RSc2466	H16_B2579
RSc2466	H16_B0002
RSc2466	H16_B2025
RSc0289	H16_A0155
RSc1135	H16_A1198
RSc3312	H16_A3634
RSc0290	H16_B0936
RSc0290	H16_B1214
RSc1141	H16_A1201
RSc0294	H16_A0151
RSc1140	H16_A1200
RSc0291	H16_A0154
RSc0292	H16_A0153
RSc1129	H16_A1188
RSc2459	H16_A3047
RSc1128	RALH11964
RSc1128	H16_A1187
RSc3309	H16_A0066
RSc2454	H16_A3042
RSc3302	H16_A3632
RSc0275	H16_A0171
RSc1123	H16_A1182
RSc3303	H16_A3633
RSc0276	H16_A0170
RSc0276	PHG232
RSc1122	H16_A1181
RSc2453	H16_A3041
RSc0273	H16_A0173
RSc1121	H16_A1180
RSc2452	H16_B0176
RSc0274	H16_B1192
RSc0274	H16_A0172
RSc1120	H16_A1176
RSc3305	H16_A3550
RSc3305	H16_B2377
RSc2451	H16_A3040
RSc1127	H16_A1186
RSc2458	H16_A3046
RSc0279	H16_A0167
RSc0279	H16_A1972
RSc0279	H16_B0703
RSc2457	H16_A3045
RSc1126	H16_A1185
RSc0277	H16_A0169
RSc1125	H16_A1184
RSc2456	H16_A3044
RSc3300	H16_A3630
RSc3301	H16_A3631
RSc0278	H16_A0168
RSc2455	H16_B0523
RSc2455	H16_A3043
RSc1124	H16_A1183
RSc2461	H16_A3048
RSc1130	H16_A1189
RSc0283	H16_A0163
RSc0280	H16_A0165
RSc0281	H16_B1182
RSc0281	H16_A0164
RSc1119	H16_A1175
RSc1118	H16_B1610
RSc1118	H16_B2139
RSc1118	H16_A1174
RSc2449	H16_A3038
RSc2448	H16_A3037
RSc2448	H16_B0560
RSc1117	H16_A1173
RSc1596	H16_A1370
RSc2443	H16_A3032
RSc2442	H16_A3031
RSc0265	H16_A1974
RSc0265	H16_A0184
RSc1595	H16_A1369
RSc1111	H16_A2540
RSc1594	H16_B1593
RSc0262	H16_A0185
RSc1110	H16_A2541
RSc2441	H16_A3030
RSc2440	H16_A3029
RSc2440	H16_A2625
RSc2440	H16_B2037
RSc1593	H16_A1368
RSc2447	H16_A3036
RSc0268	H16_A0178
RSc1116	H16_A1172
RSc0269	H16_A0177
RSc0269	H16_A1973
RSc1115	H16_A1171
RSc2446	H16_A3035
RSc1114	H16_A0638
RSc1114	H16_A2591
RSc0266	H16_A0183
RSc2445	H16_A3034
RSc1598	H16_A1373
RSc0267	H16_A0179
RSc1597	PHG199
RSc1597	H16_A1372
RSc2444	H16_A3033
RSc1113	H16_B0828
RSc2450	H16_A3039
RSc0271	H16_A0174
RSc0270	H16_A0175
RSc2439	H16_A3028
RSc2439	H16_A2624
RSc2438	H16_A1244
RSc2438	H16_A3027
RSc2438	RALH11797
RSc2438	H16_A2623
RSc2438	H16_A0286
RSc0259	H16_A0189
RSc2437	H16_B2012
RSc2437	H16_A3026
RSc2437	H16_A1543
RSc2437	H16_A2622
RSc2437	H16_B2040
RSc2437	H16_A1709
RSc1106	H16_A2505
RSc1106	H16_B1956
RSp1081	H16_B0191
RSc2432	H16_A2428
RSp1084	H16_B0188
RSc0253	H16_A2781
RSc1585	H16_A2863
RSc1100	H16_A3622
RSc1584	H16_A1346
RSp1085	H16_B0187
RSc0254	H16_B1582
RSc1583	H16_A1345
RSc2430	H16_B0172
RSp1082	H16_B0190
RSc0252	RALH10047
RSc1582	H16_A1344
RSp1083	H16_B0189
RSc2435	H16_A3025
RSc1588	H16_A0277
RSc1588	H16_B0448
RSc0258	H16_A0190
RSp1089	H16_B0184
RSc2434	H16_B1877
RSc2434	H16_B2400
RSc2434	H16_A3024
RSc0255	H16_A0293
RSc0255	PHG395
RSc1587	H16_A3686
RSp1086	H16_B0186
RSc1103	H16_B0641
RSc0256	H16_A0197
RSc2433	H16_A3023
RSp1087	H16_B0185
RSc0260	H16_A0187
RSc1592	H16_A1367
RSc1591	H16_B1180
RSc0261	H16_A0186
RSc0261	RALH12112
RSc1590	H16_A1365
RSc2429	H16_A3004
RSc2428	H16_A3003
RSc2427	H16_A3001
RSc1579	H16_A1341
RSc2426	H16_A3000
RSc2421	H16_A2995
RSc2421	H16_B0626
RSc0242	H16_B1944
RSc0242	H16_B0343
RSc2420	H16_A2994
RSc2420	H16_B2285
RSc1573	H16_A1335
RSc0243	H16_B1936
RSc1572	H16_A1334
RSc1572	H16_A1814
RSc1571	H16_A1332
RSc1571	PHG387
RSc1571	H16_B0199
RSc0241	H16_B1938
RSc1578	H16_A1340
RSc2425	H16_A2999
RSc1577	H16_A1339
RSc2424	H16_A2998
RSc1576	H16_A1337
RSc0244	H16_A0282
RSc2423	H16_A2997
RSc2422	H16_A2996
RSc2422	H16_B0627
RSc1575	H16_A1336
RSp1079	H16_B0193
RSc1581	H16_A1343
RSc1580	H16_A1342
RSc2418	H16_A2993
RSc0239	H16_B1942
RSc2417	H16_A2992
RSc0237	H16_A0280
RSc1569	H16_A1330
RSc2416	H16_A2991
RSc2415	H16_A2990
RSc1568	H16_A1267
RSc1568	H16_A1325
RSc1568	H16_B1334
RSc2899	H16_A3338
RSc2419	H16_A0624
RSc2410	H16_A2985
RSc1563	H16_A1314
RSc1562	H16_A1313
RSc1562	H16_B2229
RSc2893	H16_A3332
RSc1561	H16_A1312
RSc2892	H16_A3331
RSc2891	H16_A3330
RSc1560	H16_A1311
RSc1567	H16_A1324
RSc2898	H16_A3333
RSc2414	H16_A2989
RSc0235	H16_B2491
RSc1566	H16_A1317
RSc1565	H16_A2790
RSc1565	H16_B2178
RSc0233	H16_A2031
RSc2896	PHG353
RSc2412	H16_A2987
RSc1564	H16_A1315
RSc2411	H16_A2986
RSc1570	H16_B0198
RSc1570	H16_A1331
RSc1570	PHG388
RSc2406	H16_B2078
RSc1559	H16_A1310
RSc0229	H16_A1647
RSc2405	H16_A1744
RSc1558	H16_A1309
RSc2889	H16_A3328
RSc2404	H16_A2977
RSc1557	H16_A1308
RSp1091	H16_B0182
RSp1092	H16_B0181
RSp1092	H16_A0722
RSp1090	H16_B0183
RSp1095	H16_B0178
RSc2882	H16_A3320
RSp1096	H16_B0709
RSc0221	H16_B1090
RSc1550	PHG084
RSc1550	PHG032
RSc2881	H16_A3319
RSp1093	H16_B0180
RSp1094	H16_B0179
RSc2880	H16_A3318
RSc2403	H16_A2975
RSc2887	H16_A3324
RSc1556	H16_A1387
RSc1556	H16_A1307
RSc0224	H16_B0555
RSp1099	H16_B2505
RSc2402	H16_A2974
RSc2886	H16_A3323
RSc2885	H16_A3322
RSc2401	H16_A2973
RSp1098	PHG180
RSp1098	H16_B0227
RSp1098	H16_B2256
RSc2884	H16_A3321
RSc2400	H16_A2972
RSc2890	H16_A3329
RSp1161	H16_A0295
RSc2079	H16_A1033
RSp1162	PHG278
RSc2078	H16_A1034
RSc2077	H16_A1035
RSc2083	H16_A1029
RSc2082	H16_A1030
RSc2081	H16_A1031
RSc2080	H16_A1032
RSc2087	H16_A1025
RSc2086	H16_A1026
RSc2085	H16_A1027
RSc2084	H16_A1028
RSc2069	H16_A1044
RSc2067	H16_A1045
RSc3397	H16_A3534
RSc3397	PHG235
RSc3398	H16_A3533
RSc3399	H16_B2262
RSc3399	PHG267
RSp1153	H16_A0672
RSc2072	H16_A1041
RSp1158	H16_B1935
RSc2071	H16_B0825
RSc2071	H16_B1633
RSc2071	H16_A1042
RSc2070	H16_A1043
RSc2076	H16_A1036
RSc2075	H16_A1037
RSc2074	H16_A1038
RSc2073	H16_A1039
RSc2058	H16_A1054
RSp1183	H16_B0691
RSc2057	H16_A1055
RSp1184	H16_B1212
RSc2056	H16_A1056
RSc2055	H16_A1057
RSc3386	H16_A2125
RSc3386	H16_B2232
RSc3386	H16_A0813
RSc3386	H16_B1479
RSp1187	H16_B1209
RSp1187	H16_B0531
RSp1187	H16_B2124
RSp1187	H16_B1123
RSc3387	H16_B2088
RSc3387	H16_B1085
RSc3387	H16_A1581
RSc3387	H16_B1971
RSp1188	H16_B1208
RSp1185	H16_B1211
RSc2059	H16_A1053
RSp1186	H16_B1210
RSc2061	H16_A1051
RSc2060	H16_A1052
RSp1189	H16_B1207
RSc2065	H16_A1046
RSc2065	H16_B1340
RSc2065	H16_B0463
RSc2064	H16_A1047
RSc2063	H16_A1048
RSc2062	H16_A1050
RSc3379	H16_B2132
RSc3379	H16_A0319
RSc3379	H16_B0893
RSc2047	H16_A1065
RSp1172	H16_B1720
RSc1199	H16_A0468
RSc1199	H16_B0889
RSc1199	H16_B1868
RSc1199	H16_A2382
RSc1199	H16_A3020
RSc1199	H16_B2246
RSc2046	H16_A1066
RSc2045	H16_B0383
RSc2045	H16_A0101
RSc2045	H16_B0395
RSc2045	H16_B0371
RSc2045	H16_B0849
RSc2045	H16_B0722
RSc2045	H16_B0676
RSc2045	H16_B0751
RSc2045	H16_A1067
RSc1198	H16_A2383
RSc2044	H16_A1068
RSc1197	H16_A2386
RSp1177	H16_B2569
RSc2049	H16_A1063
RSc2048	H16_A1064
RSp1175	H16_B0177
RSc3382	H16_B0898
RSc2050	H16_A1062
RSc3383	H16_B0897
RSc3384	H16_B0896
RSp1179	PHG062
RSp1179	PHG061
RSp1179	RALH10027
RSp1179	RALH10024
RSc3385	H16_A2600
RSc3385	H16_B0895
RSc2054	H16_A1058
RSc2053	H16_A1059
RSc2052	H16_A1060
RSc2051	H16_A1061
RSc3368	H16_A1480
RSc1189	H16_A2392
RSc2036	H16_A1080
RSc1188	H16_A2394
RSc2035	H16_A1081
RSc1187	H16_A2395
RSc2034	H16_A1082
RSc2033	H16_A1083
RSc1186	H16_A0728
RSc1186	H16_B2575
RSp0274	H16_A0784
RSp0274	RALH12597
RSc3364	H16_A0086
RSc3365	H16_A0085
RSc2039	H16_A1077
RSc3366	H16_A0084
RSc2038	H16_A1078
RSc2037	H16_A1079
RSc2037	H16_B0073
RSc3367	H16_A2783
RSp1120	H16_B1770
RSp1120	H16_A1714
RSc3371	H16_A3326
RSc1191	H16_A2389
RSc3372	H16_A3327
RSp1126	H16_B1900
RSp0276	H16_A1903
RSc1190	H16_A2391
RSp0277	H16_B2096
RSc3374	H16_A3337
RSc1196	H16_A3204
RSc1196	H16_A2387
RSc2043	H16_A1069
RSp1129	H16_A2180
RSc1195	H16_A0425
RSc2042	H16_A1070
RSc2042	H16_B0667
RSc2042	H16_B0397
RSc1194	H16_A2388
RSc2041	H16_A1075
RSp1127	H16_A3690
RSc3370	H16_A3325
RSp1128	H16_A2178
RSp1128	H16_A2177
RSc2040	H16_A1076
RSc1178	H16_A2404
RSp1591	H16_A3345
RSc3358	H16_A3682
RSc1177	H16_A2405
RSc2024	H16_A0673
RSc1176	H16_B2463
RSc1176	H16_A2406
RSc1176	H16_A2085
RSc1176	H16_A2101
RSc3359	PHG328
RSc3359	H16_A3684
RSc1175	H16_A2407
RSc2022	H16_A0049
RSc2029	H16_A1087
RSc3353	H16_A3675
RSp1110	H16_B1111
RSc3354	H16_A3677
RSp1111	H16_B1112
RSp1595	H16_A0858
RSc3355	H16_A3678
RSc1179	H16_A2403
RSc3356	H16_A3679
RSp0262	H16_B1721
RSp1593	H16_B0122
RSp1114	H16_B1115
RSp1114	H16_A1770
RSc1181	H16_A2398
RSc3360	H16_A3685
RSc1180	H16_A2399
RSc3361	H16_B1719
RSp1115	H16_B2152
RSp1112	H16_A1768
RSp1112	H16_B1113
RSp0265	H16_A3093
RSp1113	H16_A3356
RSp1113	H16_A1769
RSp1113	H16_B1114
RSc2032	H16_A1084
RSc2031	H16_A1085
RSc1184	H16_A2396
RSp1119	H16_A1742
RSp1119	H16_A1712
RSp1119	H16_A1726
RSp1119	H16_A3353
RSp1119	H16_B0993
RSp1119	H16_B1782
RSp1119	H16_B1772
RSc2030	H16_A1086
RSc1182	H16_A2397
RSc2019	H16_B1907
RSc2019	H16_B1001
RSc1167	H16_A1221
RSp0292	H16_B2312
RSc2498	H16_B0169
RSc2498	H16_B2469
RSc2014	H16_A1101
RSc2014	H16_A1716
RSc3346	H16_A3666
RSp1140	H16_B1634
RSc2497	H16_A0769
RSc2013	H16_A1102
RSc1166	H16_A1220
RSc3347	H16_A3667
RSc1165	H16_A1218
RSc1165	H16_A1219
RSc3348	H16_A3668
RSc3348	H16_A1976
RSc3348	H16_A2173
RSc2012	H16_A1103
RSc2496	H16_A2509
RSc1164	H16_A1218
RSc1164	H16_A1219
RSc2011	H16_A1104
RSc3349	H16_A3669
RSc3342	H16_A3660
RSc2018	H16_A1092
RSp1144	H16_A0676
RSc3343	H16_B0806
RSc3343	H16_A1245
RSc3343	H16_A1418
RSc3343	H16_B0502
RSc3343	H16_A3661
RSc1169	H16_A1223
RSc2016	H16_A1268
RSc2016	H16_A0848
RSc2016	H16_B1333
RSc2016	H16_A1099
RSc3344	H16_B0501
RSc3344	H16_A3662
RSc3345	H16_B2131
RSc3345	H16_B1851
RSc3345	H16_A3663
RSc2015	H16_A1100
RSc1168	H16_A1222
RSc2499	H16_B0168
RSc1170	H16_A1224
RSc3350	H16_A3670
RSp1145	H16_A0675
RSc3352	H16_A3673
RSc2021	H16_B0571
RSc2021	H16_A1090
RSc2021	H16_A1801
RSc1174	H16_A2408
RSc1173	H16_A2409
RSc2020	H16_A1091
RSc2020	PHG222
RSc1172	H16_A2410
RSc1172	PHG261
RSc1171	H16_A1225
RSc2009	H16_A1106
RSc2008	H16_A1107
RSc2003	H16_A2638
RSp0281	H16_B1253
RSc2002	H16_A1909
RSc3336	H16_B1293
RSc1154	H16_B2162
RSc2001	H16_A2637
RSc3337	H16_A3656
RSc2000	H16_A1905
RSc1153	H16_A1695
RSc1153	H16_B2260
RSc2007	H16_A1108
RSc2006	H16_A2642
RSc2006	H16_A1300
RSc1159	H16_B1998
RSc1158	H16_A1917
RSc2005	H16_A2640
RSc3333	H16_B0966
RSc3334	H16_A0097
RSc1157	H16_A1916
RSp1136	PHG062
RSp1136	PHG061
RSp1136	RALH10027
RSp1136	RALH10024
RSc2490	H16_A3056
RSc3340	H16_B0804
RSc3340	H16_A3658
RSc3340	H16_B0504
RSc3341	H16_B0805
RSc3341	H16_A1415
RSc3341	H16_B0503
RSc3341	H16_A3659
RSc1163	H16_A1217
RSc2010	H16_A1105
RSc2494	H16_A3059
RSc1162	H16_A1216
RSc1161	H16_A1215
RSp1139	H16_B2427
RSc1160	H16_A1214
RSc2491	H16_A3058
RSc2913	H16_A3360
RSc0734	H16_A2830
RSc0734	H16_A1671
RSc0735	H16_A2829
RSc0732	H16_A2832
RSc2911	H16_B0098
RSc2911	H16_A2776
RSc0733	H16_A2831
RSc2917	H16_A1643
RSc2917	H16_A1071
RSc2917	H16_B1025
RSc0738	H16_A2826
RSc2916	H16_A1642
RSc2916	H16_A1072
RSc2916	H16_B1026
RSc0739	H16_A2825
RSc2915	H16_A1641
RSc2915	H16_A1073
RSc2915	H16_B1027
RSc0736	H16_A2828
RSc2914	H16_A1074
RSc2914	H16_B1028
RSc0737	H16_A2827
RSc0737	PHG146
RSp1561	H16_A3519
RSc0731	H16_A2833
RSp1560	H16_A1178
RSp1560	H16_B2567
RSp0234	PHG386
RSp0234	H16_B1873
RSp0234	H16_B1760
RSp1565	H16_B2061
RSp0235	H16_B1564
RSp1566	H16_B2060
RSp1563	H16_B2063
RSp1563	H16_A2431
RSp1563	H16_A1672
RSp0232	H16_B0633
RSp1564	H16_B2062
RSp0233	H16_B0515
RSp0238	H16_B1560
RSp0239	H16_B1559
RSp0236	H16_B1561
RSp1567	H16_B2059
RSp0237	H16_B1563
RSp1568	H16_B2058
RSc2901	H16_A3340
RSc0724	H16_A2839
RSc2900	H16_A3339
RSc0727	H16_A2836
RSc2905	H16_B2447
RSc2905	H16_A3372
RSc2905	H16_A3344
RSc0728	H16_A2835
RSc2904	H16_A3343
RSc0725	H16_A2838
RSc2903	H16_A3342
RSp1551	H16_B0160
RSp0220	H16_B0586
RSp0223	H16_B0739
RSp0223	H16_B1279
RSp0223	H16_B2135
RSp1554	H16_B2563
RSp1552	H16_B0159
RSp1553	H16_B2562
RSp1558	H16_B2565
RSp1559	H16_A0316
RSp1559	H16_B1501
RSp1559	H16_B2566
RSp0228	H16_B0538
RSp1556	H16_A1177
RSp1557	H16_B2564
RSp0226	H16_A1114
RSc2909	H16_B1230
RSc0729	H16_A2834
RSc2908	H16_B1229
RSp0229	H16_A1772
RSp0229	RALH11769
RSc2907	H16_A3349
RSc0712	H16_A2855
RSc0713	H16_A2854
RSc0710	H16_A2857
RSc0711	H16_A2856
RSc0717	H16_A2840
RSc0714	H16_A2849
RSc0715	H16_A2848
RSp0252	H16_B0085
RSp1581	H16_A3109
RSp1581	H16_B1428
RSp0251	H16_B0084
RSp1587	H16_B0450
RSp1587	RALH11833
RSp1587	RALH11837
RSp1588	H16_B0450
RSp1588	RALH11833
RSp1588	RALH11837
RSp1104	H16_A0428
RSp1101	RALH11977
RSp1101	H16_B0226
RSp1102	H16_B0225
RSp1107	H16_B0157
RSp1105	H16_A0430
RSp0258	H16_B1183
RSp1106	H16_A1663
RSp1109	H16_A0248
RSc0701	H16_A2871
RSc0702	H16_B1142
RSc0700	H16_A2872
RSc0700	H16_B2538
RSc0706	H16_B2341
RSc0706	H16_B2337
RSc0703	H16_A2870
RSp1572	H16_A1733
RSp1572	H16_B1548
RSp1572	H16_A1737
RSp1572	H16_B1401
RSp0241	H16_B1557
RSp1573	H16_A1780
RSp0240	H16_B1558
RSp0249	H16_A0966
RSp0247	H16_B0116
RSp0248	H16_A1003
RSp0248	H16_B0115
RSc0709	H16_A2858
RSc0708	H16_A2859
RSp0671	H16_B0848
RSp0674	H16_B0250
RSp0675	H16_B0251
RSp0673	H16_B0249
RSp0676	H16_B1581
RSp1523	H16_B1258
RSp1524	H16_B2050
RSp1524	H16_B1522
RSp1524	H16_B2212
RSp0677	H16_B1580
RSp0660	H16_B1077
RSp0660	H16_B2147
RSp0663	H16_B2083
RSp1510	H16_A3515
RSp0664	H16_B2082
RSp1511	H16_A0678
RSp0662	H16_B1922
RSp1515	H16_B2517
RSp0665	H16_A0087
RSp1512	H16_B0569
RSp0666	H16_A3558
RSp1519	H16_A2027
RSp1516	H16_B0554
RSc2099	H16_A1013
RSp0690	H16_B1670
RSp0691	H16_B1671
RSp1547	RALH11904
RSp1548	H16_A1926
RSp0214	H16_B0070
RSc2089	H16_A1024
RSp0681	H16_A3321
RSp0680	H16_A3322
RSc2094	H16_A1018
RSc2094	H16_B0997
RSp1532	H16_A3383
RSc2093	H16_A1019
RSp0686	H16_B1895
RSp1533	H16_A3384
RSc2092	H16_A1020
RSc2091	H16_A1022
RSc2098	H16_A1014
RSc2098	H16_B2033
RSp0205	H16_A0628
RSp0205	H16_A0629
RSp0689	H16_B1978
RSp0206	PHG062
RSp0206	PHG061
RSp0206	RALH10027
RSp0206	RALH10024
RSc2097	H16_A1015
RSp0687	H16_B1371
RSp0687	H16_B2555
RSp0687	H16_B0485
RSc2096	H16_A1016
RSp0203	H16_B1236
RSp0204	RALH10692
RSp0204	H16_A3206
RSc2095	H16_A1017
RSp0209	H16_B0166
RSp0207	H16_A0628
RSp0207	H16_A0629
RSc2090	H16_A1023
RSc1428	H16_A2031
RSc1427	H16_A2032
RSc0578	PHG031
RSc0578	PHG030
RSc2757	H16_B1498
RSc1426	H16_A2033
RSc0579	PHG084
RSc0579	PHG032
RSc1425	H16_A2034
RSc1429	H16_A2030
RSc0572	H16_A0567
RSc1420	H16_A2039
RSc2750	H16_A3147
RSc2750	PHG420
RSc2750	H16_B1388
RSc0573	H16_A0568
RSc0570	H16_A3687
RSc0571	PHG417
RSc0571	H16_B1385
RSc0571	H16_A0566
RSc0576	H16_A0571
RSc1424	H16_A2035
RSc1423	H16_A2036
RSc0577	H16_A0572
RSc2753	H16_B0361
RSc2753	RALH1_K20452
RSc2753	RALH1_K20453
RSc2753	H16_B0666
RSc2753	H16_B0651
RSc2753	H16_B1696
RSc2753	H16_B0663
RSc2753	H16_B1442
RSc0574	H16_A0569
RSc1422	H16_A2037
RSc0575	H16_A0570
RSc1421	H16_A2038
RSp0994	H16_B1571
RSp0997	H16_B2273
RSp0997	H16_A2134
RSp0996	H16_A2133
RSp0515	RALH10692
RSp0515	H16_A3206
RSp0516	H16_A0628
RSp0516	H16_A0629
RSc1417	H16_A2042
RSc0569	H16_A0573
RSc2748	H16_A3144
RSc1416	H16_A2043
RSc2747	H16_A3143
RSc1415	H16_A2044
RSc0567	H16_A0561
RSc2746	H16_A3142
RSc1414	H16_A2045
RSc2745	H16_A3141
RSc0568	H16_A0574
RSc1419	H16_A2040
RSc2749	H16_A3146
RSc1418	H16_A2041
RSc2740	H16_A3135
RSc0561	H16_A0555
RSc0562	H16_A0556
RSc0560	H16_A0554
RSc1890	H16_A0921
RSc2744	H16_A3139
RSc0565	H16_A0559
RSc1413	H16_A2046
RSc0566	H16_A0560
RSc1412	H16_A2047
RSc2743	H16_A3138
RSc0563	H16_A0557
RSc1411	H16_A2048
RSc2742	H16_A3137
RSc2741	H16_A3136
RSc1410	H16_A2049
RSc0564	H16_A0558
RSp0980	PHG266
RSp0980	H16_B2334
RSp0980	H16_B1342
RSp0981	H16_B1933
RSp0503	H16_B2078
RSp0985	H16_B2067
RSp0985	H16_A1897
RSp0985	H16_B1852
RSp0506	H16_B0173
RSp0507	H16_A2292
RSp0504	H16_A1744
RSp0505	H16_B2561
RSp0505	H16_A0679
RSc0558	H16_A0550
RSc1406	H16_A2053
RSc2737	H16_A3118
RSc1405	H16_A2054
RSc1889	H16_A1652
RSc2736	H16_A3119
RSc1404	H16_A2055
RSc0556	H16_A0549
RSc1888	H16_A1584
RSc2735	H16_A3120
RSc0557	H16_A0550
RSc1403	H16_A2056
RSc1887	H16_A1585
RSc2734	H16_A3132
RSc1409	H16_A2050
RSc1408	H16_A2051
RSc2739	H16_A3133
RSc1407	H16_A2052
RSc2738	H16_A3117
RSc1882	H16_A1301
RSc1882	H16_A3297
RSc0550	H16_A0543
RSc0551	H16_A0544
RSc1881	H16_A1586
RSc1880	H16_A1587
RSc2733	H16_A1266
RSc2733	H16_A0852
RSc2733	H16_B1714
RSc2733	H16_A3131
RSc0554	H16_A0547
RSc1402	H16_A2057
RSc1885	H16_B0716
RSc1885	H16_A1304
RSc1885	H16_A2953
RSc1885	H16_A3294
RSc1885	H16_A1471
RSc1885	H16_B1124
RSc2732	H16_A0851
RSc2732	H16_A3130
RSc2732	H16_A1265
RSc0555	H16_A0548
RSc1401	H16_A2058
RSc1884	H16_A2952
RSc1884	H16_B0717
RSc1884	H16_A1303
RSc1884	H16_A1470
RSc1884	H16_A3295
RSc1884	H16_B1125
RSc2731	H16_A3129
RSc0552	H16_A0545
RSc1400	H16_B0220
RSc2730	H16_A0850
RSc2730	H16_A3128
RSc2730	H16_B1715
RSc2730	H16_A1264
RSc1883	H16_A1302
RSc1883	H16_A3296
RSc0553	H16_A0546
RSp0530	H16_B1857
RSp0535	H16_B1508
RSp0536	H16_B1506
RSc2726	H16_B1781
RSc2726	H16_A2875
RSc0547	H16_A0540
RSc1879	H16_B0061
RSc1878	H16_A3188
RSc1878	H16_A0495
RSc0548	H16_A0541
RSc1877	H16_A0967
RSc2724	H16_A3127
RSc0545	H16_B0750
RSc2723	H16_A3126
RSc2729	H16_B0785
RSc0549	H16_A0542
RSc2728	H16_B0786
RSc0540	H16_A0532
RSc1875	H16_A2510
RSc1874	H16_A2506
RSc2721	H16_A3125
RSc1873	H16_A2505
RSc1873	H16_B1956
RSc2720	H16_A3124
RSc0541	H16_A0939
RSc0541	H16_A1286
RSc1872	H16_A2467
RSp0525	H16_A2352
RSp0528	H16_B1859
RSp0529	H16_B1858
RSp0526	H16_A2351
RSc2715	H16_A3115
RSc2714	H16_A3114
RSc2713	H16_A3113
RSc0534	H16_A3735
RSc2712	H16_A3112
RSc2719	H16_A3123
RSc2718	H16_A3122
RSc0538	H16_A3736
RSc2717	H16_A3121
RSc0539	H16_A0531
RSc2716	H16_A3116
RSc1860	H16_A1641
RSc1860	H16_A1073
RSc1860	H16_B1027
RSc2711	H16_A3111
RSc0532	H16_A0529
RSc1863	H16_A1638
RSc0530	H16_A0527
RSc1862	H16_A1639
RSc0531	H16_A0528
RSc1861	H16_A1640
RSp0950	H16_A0851
RSp0950	H16_A3130
RSp0950	H16_A1265
RSp0954	H16_A1266
RSp0954	H16_A0852
RSp0954	H16_B1714
RSp0954	H16_A3131
