PP_0514	RSCFB2957_00716
PP_1771	RSCFB2957_00838
PP_4805	RSCFB2957_00848
PP_3959	RSCFB2957_00896
PP_4807	RSCFB2957_00067
PP_0687	RSCFB2957_02619
PP_0203	RSCFB2957_01280
PP_0686	RSCFB2957_04589
PP_3951	RSCFB2957_01739
PP_3951	RSCFB2957_02150
PP_2862	RSCFB2957_00700
PP_3952	RSCFB2957_01738
PP_3952	RSCFB2957_02149
PP_4800	RSCFB2957_00278
PP_0209	RSCFB2957_01174
PP_4801	RSCFB2957_00279
PP_3713	RSCFB2957_01448
PP_3714	RSCFB2957_01447
PP_4803	RSCFB2957_00283
PP_3715	RSCFB2957_01446
PP_1782	RSCFB2957_00684
PP_0691	RSCFB2957_02615
PP_0415	RSCFB2957_02679
PP_1989	RSCFB2957_01897
PP_1506	RSCFB2957_02401
PP_0414	RSCFB2957_01562
PP_0897	RSCFB2957_01868
PP_0413	RSCFB2957_01561
PP_0412	RSCFB2957_01560
PP_0411	RSCFB2957_01559
PP_1985	RSCFB2957_01901
PP_1986	RSCFB2957_01900
PP_2834	RSCFB2957_04886
PP_0417	RSCFB2957_02681
PP_1988	RSCFB2957_01899
PP_0660	RSCFB2957_01539
PP_0660	RSCFB2957_01540
PP_2847	RSCFB2957_01942
PP_2848	RSCFB2957_01938
PP_2849	RSCFB2957_01937
PP_0422	RSCFB2957_03949
PP_0422	RSCFB2957_02685
PP_0664	RSCFB2957_01305
PP_0421	RSCFB2957_02684
PP_0421	RSCFB2957_03950
PP_0420	RSCFB2957_02682
PP_0662	RSCFB2957_01306
PP_1995	RSCFB2957_01894
PP_1996	RSCFB2957_01890
PP_2843	RSCFB2957_01943
PP_1755	RSCFB2957_04562
PP_1997	RSCFB2957_01889
PP_2844	RSCFB2957_01941
PP_2845	RSCFB2957_01940
PP_0427	RSCFB2957_02651
PP_2846	RSCFB2957_01939
PP_0671	RSCFB2957_00729
