PP_0514	RSGMI1000_00738
PP_1300	RSGMI1000_04389
PP_1783	RSGMI1000_00706
PP_2872	RSGMI1000_03320
PP_1784	RSGMI1000_00705
PP_1785	RSGMI1000_00704
PP_4811	RSGMI1000_02793
PP_0219	RSGMI1000_00941
PP_0228	RSGMI1000_01185
PP_0228	RSGMI1000_04896
PP_1317	RSGMI1000_02984
PP_2407	RSGMI1000_04854
PP_2408	RSGMI1000_03964
PP_0226	RSGMI1000_03471
PP_2409	RSGMI1000_03965
PP_0225	RSGMI1000_03470
PP_0225	RSGMI1000_02151
PP_0225	RSGMI1000_02307
PP_0225	RSGMI1000_00493
PP_0225	RSGMI1000_04389
PP_4822	RSGMI1000_00515
PP_4823	RSGMI1000_02237
PP_1319	RSGMI1000_02982
PP_3736	RSGMI1000_03699
PP_1318	RSGMI1000_02983
PP_3737	RSGMI1000_03700
PP_2406	RSGMI1000_04855
PP_1769	RSGMI1000_00924
PP_3947	RSGMI1000_01944
PP_0436	RSGMI1000_00507
PP_0434	RSGMI1000_00506
PP_3940	RSGMI1000_02402
PP_1764	RSGMI1000_00917
PP_3942	RSGMI1000_01871
PP_1765	RSGMI1000_00918
PP_1525	RSGMI1000_01422
PP_1768	RSGMI1000_00923
PP_1771	RSGMI1000_00928
PP_4805	RSGMI1000_00938
PP_3959	RSGMI1000_00988
PP_4807	RSGMI1000_00064
PP_0687	RSGMI1000_02873
PP_0203	RSGMI1000_01334
PP_0686	RSGMI1000_04837
PP_3951	RSGMI1000_01613
PP_3951	RSGMI1000_02301
PP_2862	RSGMI1000_00723
PP_3952	RSGMI1000_01614
PP_3952	RSGMI1000_02300
PP_4800	RSGMI1000_00327
PP_0209	RSGMI1000_01229
PP_4801	RSGMI1000_00328
PP_4803	RSGMI1000_00332
PP_1782	RSGMI1000_00707
PP_0691	RSGMI1000_02869
PP_0415	RSGMI1000_02932
PP_1989	RSGMI1000_02034
PP_1506	RSGMI1000_02584
PP_0414	RSGMI1000_01782
PP_0897	RSGMI1000_02003
PP_0413	RSGMI1000_01783
PP_0412	RSGMI1000_01784
PP_0411	RSGMI1000_01785
PP_1741	RSGMI1000_03555
PP_1985	RSGMI1000_02038
PP_1986	RSGMI1000_02037
PP_2834	RSGMI1000_05064
PP_0417	RSGMI1000_02934
PP_1988	RSGMI1000_02036
PP_0660	RSGMI1000_01808
PP_0660	RSGMI1000_01807
PP_2847	RSGMI1000_02079
PP_2848	RSGMI1000_02075
PP_2849	RSGMI1000_02074
PP_0422	RSGMI1000_02938
PP_0422	RSGMI1000_04145
PP_0664	RSGMI1000_01359
PP_0421	RSGMI1000_02937
PP_0421	RSGMI1000_04146
PP_0420	RSGMI1000_02935
PP_0662	RSGMI1000_01360
PP_1995	RSGMI1000_02031
PP_1996	RSGMI1000_02027
PP_2843	RSGMI1000_02080
PP_1755	RSGMI1000_04741
PP_1997	RSGMI1000_02026
PP_2844	RSGMI1000_02078
PP_2845	RSGMI1000_02077
PP_0427	RSGMI1000_02905
PP_2846	RSGMI1000_02076
PP_0671	RSGMI1000_00752
