PP_0514	H16_A2848
PP_1323	H16_A3578
PP_0233	H16_B0888
PP_0232	H16_A0468
PP_0232	H16_B0889
PP_0232	H16_B1868
PP_0232	H16_A2382
PP_0232	H16_A3020
PP_0232	H16_B2246
PP_3741	H16_A0116
PP_2410	H16_B2407
PP_3745	H16_A3094
PP_2657	H16_A2443
PP_3746	H16_A3096
PP_2658	H16_A2442
PP_3747	H16_A3097
PP_2659	H16_A2441
PP_4840	H16_B2165
PP_4840	H16_B1082
PP_3751	H16_B0047
PP_1331	H16_A3279
PP_0240	H16_A2242
PP_0481	H16_A3109
PP_0481	H16_B1428
PP_1339	H16_A3271
PP_1338	H16_A3272
PP_1337	H16_A3273
PP_1336	H16_A3274
PP_0489	H16_B1452
PP_1335	H16_A3275
PP_1334	H16_A3276
PP_1333	H16_A3277
PP_1332	H16_A3278
PP_4842	H16_A1076
PP_4841	H16_A1075
PP_2423	H16_A0967
PP_4844	H16_A1078
PP_3754	H16_A1445
PP_3755	H16_A0282
PP_4843	H16_A1077
PP_2667	H16_B1044
PP_3999	H16_A2994
PP_3999	H16_B2285
PP_4845	H16_A1079
PP_4845	H16_B0073
PP_2668	H16_B1041
PP_2669	H16_B1042
PP_1100	H16_A2931
PP_0491	H16_B1454
PP_0490	H16_B1453
PP_3727	H16_B2472
PP_3727	H16_A1525
PP_4817	H16_A1070
PP_4817	H16_B0667
PP_4817	H16_B0397
PP_0217	H16_A3039
PP_1304	H16_A2995
PP_1304	H16_B0626
PP_0214	H16_B0981
PP_1303	H16_A2996
PP_1303	H16_B0627
PP_0213	H16_B1537
PP_0213	H16_B1179
PP_0213	H16_B0982
PP_0213	H16_B2057
PP_1300	H16_A0045
PP_1300	H16_A0475
PP_1300	H16_A2756
PP_1300	H16_A3308
PP_1300	H16_B1810
PP_1783	H16_A1864
PP_1783	H16_A2907
PP_2872	H16_A3574
PP_1784	H16_A1850
PP_1784	H16_A2908
PP_3720	H16_B2315
PP_1785	H16_A1851
PP_1785	H16_A2909
PP_4811	H16_A3136
PP_0219	H16_A0812
PP_0219	H16_B1477
PP_1308	H16_A2606
PP_0220	H16_B1478
PP_0228	H16_A1216
PP_1317	H16_A3398
PP_2408	H16_B2409
PP_0227	H16_A0772
PP_0226	H16_A0046
PP_0226	H16_A3309
PP_2409	H16_B2408
PP_0225	H16_A0045
PP_0225	H16_A0475
PP_0225	H16_A2756
PP_0225	H16_A3308
PP_0225	H16_B1810
PP_4822	H16_A0501
PP_4823	H16_A0915
PP_1799	H16_A2900
PP_1319	H16_A3396
PP_1318	H16_A3397
PP_3737	H16_B0739
PP_3737	H16_B1279
PP_3737	H16_B2135
PP_0231	H16_B0890
PP_0230	H16_A0037
PP_0230	H16_A0038
PP_0230	H16_A1263
PP_1769	H16_A0792
PP_3947	H16_A0921
PP_0436	H16_A0490
PP_3948	H16_A0928
PP_1529	H16_B1515
PP_0434	H16_A0488
PP_0675	H16_B1945
PP_1761	H16_A0696
PP_1761	H16_A2823
PP_1761	H16_B1710
PP_3940	H16_A0742
PP_3940	H16_B1171
PP_3940	H16_A1559
PP_3940	H16_B0996
PP_3940	H16_B2127
PP_3941	H16_B0814
PP_3941	H16_A0926
PP_1764	H16_A0786
PP_3942	H16_B0811
PP_3942	H16_A0923
PP_1765	H16_A0787
PP_3943	H16_B0812
PP_3943	H16_A0924
PP_3944	H16_A0922
PP_1525	H16_A2069
PP_3945	H16_B0813
PP_3945	H16_A0925
PP_1768	H16_A0791
PP_1771	H16_A0797
PP_3958	H16_B0439
PP_4805	H16_A0808
PP_4807	H16_A0116
PP_0687	H16_A3253
PP_0203	H16_B1096
PP_0686	H16_B1008
PP_3951	H16_B0198
PP_3951	H16_A1331
PP_3951	PHG388
PP_2862	H16_A2871
PP_3952	H16_A1332
PP_3952	PHG387
PP_3952	H16_B0199
PP_4800	H16_A0123
PP_1776	H16_A1854
PP_1776	H16_A2905
PP_0209	H16_A0468
PP_0209	H16_B0889
PP_0209	H16_B1868
PP_0209	H16_A2382
PP_0209	H16_A3020
PP_0209	H16_B2246
PP_4801	H16_A0122
PP_3713	H16_A1964
PP_3714	PHG404
PP_3714	PHG393
PP_3714	RALH10490
PP_3714	H16_A1967
PP_3714	PHG384
PP_3714	H16_B1584
PP_1778	H16_A2904
PP_0208	H16_B2245
PP_4803	H16_A0302
PP_3715	PHG405
PP_3715	PHG394
PP_3715	H16_B0536
PP_3715	H16_A1966
PP_1779	H16_A2903
PP_0207	H16_B2244
PP_1782	H16_A1848
PP_1782	H16_A2906
PP_0691	H16_A3249
PP_0415	H16_A3317
PP_0415	H16_B1391
PP_0415	PHG423
PP_1989	H16_A2618
PP_1506	H16_A0603
PP_0414	H16_B1830
PP_0897	RALH11842
PP_0897	H16_A2528
PP_0411	H16_B1829
PP_0411	H16_B0109
PP_0411	H16_B1951
PP_0411	H16_B0462
PP_1985	H16_A1236
PP_1985	H16_A2621
PP_1743	H16_B1337
PP_1743	H16_B1355
PP_1986	H16_A2620
PP_1986	H16_A1237
PP_0659	H16_A2606
PP_2834	H16_A2758
PP_2834	H16_B0321
PP_0417	H16_A3319
PP_1988	H16_A2619
PP_0660	H16_B2472
PP_0660	H16_A1525
PP_2847	H16_A1082
PP_2848	H16_A1086
PP_2849	H16_A1087
PP_0422	H16_A3322
PP_0664	H16_A2266
PP_0421	H16_A3321
PP_0420	H16_A3320
PP_0662	H16_A2265
PP_1995	H16_A2615
PP_1996	H16_A2611
PP_2843	H16_A1081
PP_1755	H16_B0103
PP_1997	H16_A2610
PP_2844	H16_A1083
PP_2845	H16_A1084
PP_0427	H16_A3283
PP_2846	H16_A1085
PP_0671	H16_A2834
