PP_0514	RSMOLK2_00700
PP_3952	RSMOLK2_03021
PP_3952	RSMOLK2_03385
PP_4800	RSMOLK2_00291
PP_0209	RSMOLK2_04005
PP_4801	RSMOLK2_00292
PP_3713	RSMOLK2_03655
PP_3714	RSMOLK2_03656
PP_4803	RSMOLK2_00296
PP_3715	RSMOLK2_03657
PP_1782	RSMOLK2_00668
PP_0691	RSMOLK2_02141
PP_0415	RSMOLK2_02207
PP_1989	RSMOLK2_03236
PP_1506	RSMOLK2_01916
PP_0414	RSMOLK2_03563
PP_0897	RSMOLK2_03265
PP_0413	RSMOLK2_03564
PP_0412	RSMOLK2_03565
PP_0411	RSMOLK2_01271
PP_0411	RSMOLK2_03566
PP_1985	RSMOLK2_03232
PP_1986	RSMOLK2_03233
PP_2834	RSMOLK2_04700
PP_0417	RSMOLK2_02209
PP_1988	RSMOLK2_03234
PP_0660	RSMOLK2_03586
PP_0660	RSMOLK2_03585
PP_0422	RSMOLK2_01160
PP_0422	RSMOLK2_02213
PP_0664	RSMOLK2_03869
PP_0421	RSMOLK2_01161
PP_0421	RSMOLK2_02212
PP_0420	RSMOLK2_02210
PP_0662	RSMOLK2_03868
PP_1995	RSMOLK2_03239
PP_1996	RSMOLK2_03243
PP_1755	RSMOLK2_01714
PP_1997	RSMOLK2_03244
PP_0427	RSMOLK2_02179
PP_0671	RSMOLK2_00713
